編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWNMLOLJIPFFAE68DA,坡道平面,0,37.49,地下三樓
RPWNMLOLJIPFFAE68DA,坡道平面,0,37.49,地下三樓
RPTNMLMJKIPFFAE08DA,坡道機械,1000000,9.92,地下三樓
RPQOMLLJKIPFFAE77DA,坡道平面,0,16.22,地下三樓
RPTPMLNJKIPFFAE38DA,坡道機械,1280000,10.95,地下五樓含以下
RPTPMLNJKIPFFAE38DA,坡道平面,1800000,18.42,地下五樓含以下
RPUPMLNJKIPFFAE48DA,坡道平面,1800000,18.42,地下五樓含以下
RPUPMLNJKIPFFAE48DA,坡道平面,1800000,18.42,地下五樓含以下
RPPOMLNJKIPFFAE87DA,坡道平面,1900000,18.42,地下四樓
RPPOMLNJKIPFFAE87DA,坡道平面,1900000,18.42,地下四樓
RPSOMLSJKIPFFAE68DA,坡道機械,0,9.09,地下二樓
RPSOMLSJKIPFFAE68DA,坡道機械,0,9.09,地下二樓
RPUNMLKMIIPFFAE08DA,坡道平面,1250000,16.41,地下二樓
RPRNMLNJJIPFFAE87DA,坡道平面,0,17.14,地下二樓
RPWNMLKMIIPFFAE28DA,坡道機械,550000,5.54,地下三樓
RPVNMLSJKIPFFAE88DA,坡道平面,0,38.22,地下三樓
RPPOMLSJKIPFFAE38DA,坡道平面,0,18.57,地下一樓
RPQNMLNKJIPFFAE87DA,坡道平面,0,25.86,地下二樓
RPOPMLQLJIPFFBE38DA,塔式車位,1600000,21.82,
RPWOMLQLJIPFFBE09DA,塔式車位,1600000,21.82,
RPWOMLSJKIPFFBE56DA,坡道平面,0,20.12,地下二樓
RPPPMLQLJIPFFBE48DA,一樓平面,3000000,48.53,一樓
RPRPMLRJKIPFFCE78DA,其他,0,,地下一樓
RPRPMLRJKIPFFCE78DA,其他,0,,地下一樓
RPUNMLOJJIPFFDE58DA,坡道平面,0,24.98,地下一樓
RPROMLOLJIPFFDE58DA,坡道平面,0,37.67,地下一樓
RPTNMLOLJIPFFDE68DA,坡道平面,0,28.92,地下一樓
RPTPMLOLJIPFFDE88DA,坡道平面,0,28.92,地下二樓
RPQPMLRLJIPFFDE88DA,坡道平面,0,28.92,地下一樓
RPOQMLRLJIPFFDE78DA,坡道平面,0,28.92,地下二樓
RPUNMLLJKIPFFCE28DA,坡道平面,0,,地下一樓
RPQPMLSJKIPFFCE78DA,坡道平面,1100000,17.78,地下一樓
RPWQMLLJKIPFFDE88DA,坡道機械,800000,9.24,地下四樓
RPVNMLSLRHPFFDE37DA,坡道平面,0,28.92,地下一樓
RPVNMLSLRHPFFDE37DA,坡道平面,0,28.92,地下一樓
RPOPMLLJKIPFFDE97DA,坡道機械,800000,9.24,地下四樓
RPUQMLNJKIPFFDE88DA,坡道機械,800000,9.24,地下四樓
RPVOMLLJKIPFFDE58DA,坡道機械,600000,9.24,地下四樓
