鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
前金區,房地(土地+建物),高雄市前金區新田路178巷1~30號,62.0,商,,,1091203,土地1建物1車位0,全,2,透天厝,,加強磚造,0620321,94.05,2,1,2,有,無,無,20000,213,,0.0,0,,RPTNMLLKKIPFFAE18CC
鼓山區,建物,高雄市鼓山區昌盛路331~360號,0.0,商,,,1091208,土地0建物1車位2,九層,13,辦公商業大樓,商業用,鋼筋混凝土造,0790122,204.49,0,0,0,無,無,有,29000,142,坡道平面,0.0,0,,RPWNMLLKKIPFFAE48CC
鼓山區,房地(土地+建物),高雄市鼓山區文信路241~270號,10.69,商,,,1091117,土地1建物1車位0,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020604,126.15,3,2,2,有,有,有,29000,230,,0.0,0,,RPTOMLLKKIPFFAE28CC
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路61~90號,18.18,商,,,1091118,土地1建物1車位0,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040323,203.62,4,2,3,有,有,有,33000,162,,0.0,0,,RPOPMLLKKIPFFAE87CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區九如四路1181巷1~30號,21.92,住,,,1091118,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071115,194.29,3,1,2,有,有,有,31000,160,坡道平面,33.15,0,,RPPPMLLKKIPFFAE97CC
鼓山區,房地(土地+建物),高雄市鼓山區大順一路601~630號,12.27,商,,,1091118,土地1建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940915,119.41,3,2,2,有,有,有,26100,219,,0.0,0,,RPQPMLLKKIPFFAE08CC
新興區,建物,高雄市新興區六合一路91~120號,0.0,商,,,1091123,土地0建物1車位0,一層,11,店面(店鋪),,鋼筋混凝土造,0670920,165.29,0,0,0,無,無,無,85000,514,,0.0,0,,RPPNMLLKKIPFFBE87CC
苓雅區,建物,高雄市苓雅區中山二路481~510號,0.0,商,,,1091115,土地0建物1車位0,十一層,12,套房(1房1廳1衛),商業用,鋼筋混凝土造,0851003,27.880000000000003,1,0,1,有,有,有,5000,179,,0.0,0,,RPXOMLLKKIPFFBE78CC
前鎮區,房地(土地+建物)+車位,高雄市前鎮區中山二路1~30號,8.29,商,,,1091123,土地1建物1車位1,二十層,28,辦公商業大樓,商業用,鋼筋混凝土造,0870714,223.77,0,0,0,無,有,無,33000,147,坡道平面,16.76,0,,RPSNMLLKKIPFFCE28CC
前鎮區,建物,高雄市前鎮區新光路1~30號,0.0,商,,,1091126,土地0建物1車位0,六層,39,套房(1房1廳1衛),住家用,見其它登記事項,0880209,41.24,1,0,1,有,有,有,8500,206,,0.0,0,,RPUNMLLKKIPFFCE48CC
前鎮區,建物,高雄市前鎮區新光路1~30號,0.0,商,,,1091129,土地0建物1車位0,三十五層,39,套房(1房1廳1衛),住家用,見其它登記事項,0880209,41.24,1,0,1,有,有,有,8500,206,,0.0,0,,RPVNMLLKKIPFFCE58CC
前鎮區,建物,高雄市前鎮區新光路1~30號,0.0,商,,,1091129,土地0建物1車位0,九層,39,套房(1房1廳1衛),住家用,見其它登記事項,0880209,47.47,1,0,1,有,有,有,16000,337,,0.0,0,,RPWNMLLKKIPFFCE68CC
前鎮區,建物,高雄市前鎮區三多三路121~150號,0.0,商,,,1091208,土地0建物1車位0,十三層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840327,125.83,3,2,2,有,無,無,11000,87,,0.0,0,,RPOOMLLKKIPFFCE97CC
小港區,建物,高雄市小港區永順街151~180號,0.0,商,,,1091210,土地0建物0車位0,十二層,15,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1081002,28.57,1,0,1,有,無,有,6000,210,,0.0,0,本案為共隔2間分租套房，本次僅出租此間為28.57平方公尺,RPROMLLKKIPFFCE28CC
小港區,建物,高雄市小港區永順街151~180號,0.0,商,,,1091210,土地0建物0車位0,十二層,15,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1081002,28.57,1,0,1,有,無,有,6000,210,,0.0,0,本案為共隔2間分租套房，本次僅出租此間為28.57平方公尺,RPSOMLLKKIPFFCE38CC
三民區,房地(土地+建物),高雄市三民區建國三路241~270號,5.19,商,,,1091204,土地1建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1081106,71.88,2,2,1,有,無,無,19500,271,,0.0,0,,RPPPMLLKKIPFFDE28CC
三民區,土地,大順段181~210地號,216.85,商,,,1091124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,16000,74,,0.0,0,,RPXPMLLKKIPFFDE09CC
楠梓區,房地(土地+建物),高雄市楠梓區後昌路1051~1080號,26.12,住,,,1091124,土地1建物1車位0,見其它登記事項,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0700803,96.5,2,2,5,有,無,有,16000,166,,0.0,0,,RPSNMLLKKIPFFEE48CC
左營區,房地(土地+建物)+車位,高雄市左營區重愛路301~330號,17.28,商,,,1091116,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021111,228.82,4,2,2,有,有,有,42000,184,坡道平面,18.64,0,,RPUOMLLKKIPFFEE78CC
楠梓區,房地(土地+建物),高雄市楠梓區盛昌街301~330號,6.61,商,,,1091117,土地1建物1車位0,五層,15,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050224,80.79,2,1,1,有,有,有,9550,118,,0.0,0,,RPVOMLLKKIPFFEE88CC
左營區,房地(土地+建物),高雄市左營區新莊一路181~210號,19.05,住,,,1091117,土地1建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940520,159.6,4,2,2,有,有,有,22000,138,,0.0,0,續租。；,RPQPMLLKKIPFFEE48CC
左營區,房地(土地+建物),高雄市左營區博愛四路301~330號,5.95,商,,,1091117,土地1建物1車位0,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951023,80.11,2,2,1,有,有,有,15000,187,,0.0,0,續租。；,RPRPMLLKKIPFFEE58CC
左營區,建物,高雄市左營區立文路61~90號,0.0,商,,,1091211,土地0建物1車位0,十八層,19,辦公商業大樓,見其它登記事項,鋼筋混凝土造,0790326,70.14,0,0,0,無,有,無,11500,164,,0.0,0,續租。；18樓為整層屋主自行隔間出租,RPWPMLLKKIPFFEE09CC
楠梓區,建物,高雄市楠梓區德民路61~90號,0.0,住,,,1091208,土地0建物1車位0,十層,23,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1090612,85.73,2,1,1,有,有,有,13000,152,,0.0,0,高雄市政府包租代管計畫,RPPQMLLKKIPFFEE48CC
鳳山區,房地(土地+建物),高雄市鳳山區文龍東路661~690號,42.16,住,,,1091119,土地1建物1車位0,全,5,透天厝,見其他登記事項,見其他登記事項,1030820,133.04,0,0,0,無,無,有,45000,338,,0.0,0,,RPUNMLLKKIPFFGE88CC
鳳山區,房地(土地+建物),高雄市鳳山區中山西路91~120號,79.0,住,,,1091204,土地1建物1車位0,全,3,透天厝,住家用,加強磚造,0621120,121.3,1,2,2,有,無,無,20000,165,,0.0,0,,RPQOMLLKKIPFFGE58CC
鳳山區,建物,高雄市鳳山區濱山街31~60號,0.0,住,,,1091125,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0921120,114.35,3,2,2,有,有,有,17000,149,,0.0,0,,RPQPMLLKKIPFFGE68CC
左營區,房地(土地+建物),高雄市左營區自由二路241~270號,137.0,住,,,1091128,土地1建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0940919,194.04,5,2,6,有,無,有,83000,428,,0.0,0,,RPTPMLLKKIPFFEE88DC
阿蓮區,土地,中軍段991~1020地號,232.0,,一般農業區,農牧用地,1091209,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,18000,78,,0.0,0,含增建或未登記建物。；承租地坪約70坪，承租未保存登記建物約45坪,RPQOMLOKKIPFFJE56CC
仁武區,房地(土地+建物)+車位,高雄市仁武區同和路1~30號,34.67,住,,,1091117,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060120,157.66,4,2,2,有,有,有,22600,143,坡道平面,25.0,0,,RPRNMLOKKIPFFIE09CC
仁武區,土地,永仁段121~150地號,443.47,住,,,1091205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,33474,75,,0.0,0,地上物無保存登記,RPXNMLOKKIPFFIE07CC
仁武區,房地(土地+建物),高雄市仁武區仁光路203巷1~30號,88.21,住,,,1091214,土地2建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0950602,199.37,4,2,4,有,無,無,22000,110,,0.0,0,,RPPOMLOKKIPFFIE98CC
鳳山區,房地(土地+建物),高雄市鳳山區自立街238巷1~30號,41.88,住,,,1091114,土地1建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680321,79.8,3,2,2,有,無,有,12000,150,,0.0,0,,RPRNMLOKKIPFFGE88CC
鳳山區,房地(土地+建物),高雄市鳳山區錦田路31~60號,87.0,住,,,1091117,土地1建物1車位0,全,2,透天厝,住商用,加強磚造,0670615,113.32,4,2,1,有,無,無,21000,185,,0.0,0,,RPPPMLOKKIPFFGE88CC
燕巢區,土地,觀水段241~270地號,455.44,其他,,,1091119,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,34000,75,,0.0,0,含增建或未登記建物。；承租未保存登記建物約110坪,RPSNMLOKKIPFFFE88CC
岡山區,房地(土地+建物),高雄市岡山區嘉新西路30巷1~30號,522.0,工,,,1091210,土地1建物1車位0,見其他登記事項,1,工廠,工業用,鋼造,0830610,223.14,0,0,0,無,無,無,45000,,,0.0,0,含增建或未登記建物。；承租含未保存登記建物共約135坪,RPVOMLOKKIPFFFE66CC
左營區,建物,高雄市左營區文學路661~690號,0.0,住,,,1091212,土地0建物1車位0,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920114,115.24,3,1,2,有,有,有,16000,139,,0.0,0,高雄市政府包租代管計畫,RPWOMLOKKIPFFEE66CC
楠梓區,建物,高雄市楠梓區東昌街131巷1~30號,0.0,住,,,1091212,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0870505,183.62,4,1,3,有,無,有,14500,79,,0.0,0,高雄市政府包租代管計畫,RPOQMLOKKIPFFEE68CC
左營區,房地(土地+建物),高雄市左營區自由四路511~540號,87.0,住,,,1091117,土地1建物1車位0,全,3,透天厝,,鋼筋混凝土造,0690110,181.05,5,2,3,有,無,無,22000,122,,0.0,0,,RPOSMLOKKIPFFEE88CC
三民區,房地(土地+建物),高雄市三民區立志街47巷1~30號,65.29,住,,,1091124,土地1建物1車位0,全,2,透天厝,,加強磚造,0631002,74.14,3,2,2,有,無,有,11000,148,,0.0,0,,RPWNMLOKKIPFFDE09CC
三民區,建物,高雄市三民區覺民路531巷1~30號,0.0,住,,,1091211,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0730316,84.95,3,2,2,有,無,有,8500,100,,0.0,0,高雄市政府包租代管計畫,RPQQMLOKKIPFFDE78CC
三民區,房地(土地+建物),高雄市三民區正興路1~30號,41.63,商,,,1091118,土地1建物1車位0,見其他登記事項,25,店面(店鋪),住商用,鋼筋混凝土造,0810514,338.25,0,0,0,無,有,無,50000,148,,0.0,0,,RPTQMLOKKIPFFDE09CC
小港區,房地(土地+建物),高雄市小港區飛機路31~60號,69.0,住,,,1091214,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0770711,187.4,3,2,3,有,無,有,16500,88,,0.0,0,,RPTNMLOKKIPFFCE68CC
