編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPRQMLSJKIPFFAF88DA,大安段,17.55,都市：其他:乙種工業區,75,1,持分移轉
RPRQMLSJKIPFFAF88DA,大安段,4.36,都市：其他:乙種工業區,716404500,9552060,持分移轉
RPTPMLSJKIPFFAF98DA,學林段,5.59,都市：其他:第一種住宅區,20000,26,持分移轉
RPSPMLRJKIPFFAF78DA,江子翠段第一崁小段,2.11,都市：其他:住宅區,10000,13,持分移轉
RPRQMLNJKIPFFAF38DA,新雅段,11.72,都市：其他:住宅區,100000,237,持分移轉
RPRQMLNJKIPFFAF38DA,力行段,1.31,都市：其他:住宅區,100000,237,持分移轉
RPRRMLNLJIPFFAF58DA,瑞興段,24.57,都市：其他:住宅區,10000,140,持分移轉
RPVRMLNJKIPFFAF88DA,學成段,26.63,都市：其他:第二種住宅區,10000,252,持分移轉
RPQQMLKMJIPFFAF18DA,冷水段,26.02,都市：其他:第一種住宅區,5,1,持分移轉
RPRVMLNLJIPFFAF98DA,大庭段,35.30,都市：其他:住宅區,100000,104,持分移轉
RPRRMLSJKIPFFAF98DA,光環段,.05,都市：其他:住宅區,100000,1,持分移轉
RPSRMLSJKIPFFAF09DA,光環段,.05,都市：其他:住宅區,100000,1,持分移轉
RPTSMLSJKIPFFAF66DA,亞東段,30.00,都市：其他:住宅區,4,1,持分移轉
SPROMLTJKIPFFAF88DA,永翠段,18.88,都市：其他:第二種住宅區,10000,40,持分移轉
RPWNMLTJKIPFFAF56DA,江子翠段第三崁小段,4.06,都市：其他:公園、綠地,1536,80,持分移轉
RPROMLTJKIPFFAF78DA,永翠段,18.88,都市：其他:第二種住宅區,10000,40,持分移轉
RPOPMLTJKIPFFAF58DA,介壽段,29.77,都市：其他:,1,1,全筆移轉
RPUQMLTJKIPFFAF66DA,福安段,23.98,都市：其他:住宅區(再),5,1,持分移轉
RPVSMLTJKIPFFAF96DA,中山段,24.80,都市：其他:住宅區,100000,391,持分移轉
RPSSMLSJKIPFFAF56DA,廷寮段,23.21,都市：其他:第一種住宅區,10000,126,持分移轉
RPOTMLTJKIPFFAF98DA,永翠段,12.74,都市：其他:第二種住宅區,10000,27,持分移轉
RPPNMLTJKIPFFAF48DA,仁愛段,24.60,都市：其他:住宅區,5,1,持分移轉
RPSSMLNLJIPFFAF78DA,光仁段,7.96,都市：其他:住宅區,100000,1843,持分移轉
RPSQMLOLJIPFFAF68DA,學成段,15.17,都市：其他:第二種住宅區,100000,103,持分移轉
