編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPWOMLQKKIPFFGF07CB,福德北段,5.78,都市：住,100000,612,持分移轉
RPWOMLQKKIPFFGF07CB,福德北段,3.00,都市：商,100000,612,持分移轉
RPSTMLRKKIPFFAF66CB,江翠段,12.48,都市：商,10000,34,持分移轉
RPUTMLRKKIPFFAF86CB,江翠段,7.71,都市：商,10000,21,持分移轉
RPRTMLRKKIPFFAF56CB,江翠段,5.14,都市：商,10000,14,持分移轉
RPXSMLRKKIPFFAF07CB,江翠段,12.11,都市：商,10000,33,持分移轉
RPOTMLRKKIPFFAF88CB,江翠段,9.91,都市：商,10000,27,持分移轉
RPVTMLRKKIPFFAF96CB,江翠段,8.44,都市：商,10000,23,持分移轉
RPWSMLRKKIPFFAF96CB,江翠段,5.14,都市：商,10000,14,持分移轉
RPWTMLRKKIPFFAF07CB,江翠段,7.34,都市：商,10000,20,持分移轉
RPTSMLRKKIPFFAF66CB,江翠段,8.44,都市：商,10000,23,持分移轉
RPTRNLRKKIPFFBF76CB,麗林段,25.03,都市：住,100000,1200,持分移轉
RPURNLRKKIPFFBF86CB,麗林段,25.03,都市：住,100000,1200,持分移轉
RPORNLRKKIPFFBF88CB,麗林段,25.03,都市：住,100000,1200,持分移轉
RPVRNLRKKIPFFBF96CB,麗林段,36.08,都市：住,100000,1730,持分移轉
RPPRNLRKKIPFFBF98CB,麗林段,25.03,都市：住,100000,1200,持分移轉
RPUQNLRKKIPFFBF76CB,麗林段,27.95,都市：住,100000,1340,持分移轉
RPSRNLRKKIPFFBF66CB,麗林段,25.03,都市：住,100000,1200,持分移轉
RPWQNLRKKIPFFBF96CB,麗林段,31.08,都市：住,100000,1490,持分移轉
RPXQNLRKKIPFFBF07CB,麗林段,25.03,都市：住,100000,1200,持分移轉
RPQRNLRKKIPFFBF09CB,麗林段,25.03,都市：住,100000,1200,持分移轉
RPVQNLRKKIPFFBF86CB,麗林段,30.87,都市：住,100000,1480,持分移轉
RPRRNLRKKIPFFBF56CB,麗林段,25.03,都市：住,100000,1200,持分移轉
RPOSNLRKKIPFFBF98CB,麗林段,36.08,都市：住,100000,1730,持分移轉
RPSSNLRKKIPFFBF76CB,麗林段,36.08,都市：住,100000,1730,持分移轉
RPVSNLRKKIPFFBF07CB,麗林段,37.13,都市：住,100000,1780,持分移轉
RPRSNLRKKIPFFBF66CB,麗林段,36.08,都市：住,100000,1730,持分移轉
RPXRNLRKKIPFFBF17CB,麗林段,36.08,都市：住,100000,1730,持分移轉
RPWRNLRKKIPFFBF07CB,麗林段,36.08,都市：住,100000,1730,持分移轉
RPQSNLRKKIPFFBF56CB,麗林段,36.08,都市：住,100000,1730,持分移轉
RPPSNLRKKIPFFBF09CB,麗林段,36.08,都市：住,100000,1730,持分移轉
RPUSNLRKKIPFFBF96CB,麗林段,36.08,都市：住,100000,1730,持分移轉
RPTSNLRKKIPFFBF86CB,麗林段,37.13,都市：住,100000,1780,持分移轉
RPXSNLRKKIPFFBF27CB,麗林段,37.13,都市：住,100000,1780,持分移轉
RPOTNLRKKIPFFBF09CB,麗林段,37.13,都市：住,100000,1780,持分移轉
RPQTNLRKKIPFFBF66CB,麗林段,37.13,都市：住,100000,1780,持分移轉
RPRTNLRKKIPFFBF76CB,麗林段,37.13,都市：住,100000,1780,持分移轉
RPPTNLRKKIPFFBF56CB,麗林段,37.13,都市：住,100000,1780,持分移轉
RPSTNLRKKIPFFBF86CB,麗林段,37.13,都市：住,100000,1780,持分移轉
RPVTNLRKKIPFFBF17CB,麗林段,36.92,都市：住,100000,1770,持分移轉
RPTTNLRKKIPFFBF96CB,麗林段,37.13,都市：住,100000,1780,持分移轉
RPRUNLRKKIPFFBF86CB,麗林段,36.92,都市：住,100000,1770,持分移轉
RPSUNLRKKIPFFBF96CB,麗林段,36.92,都市：住,100000,1770,持分移轉
RPTUNLRKKIPFFBF07CB,麗林段,25.03,都市：住,100000,1200,持分移轉
RPQUNLRKKIPFFBF76CB,麗林段,36.92,都市：住,100000,1770,持分移轉
RPUTNLRKKIPFFBF07CB,麗林段,36.92,都市：住,100000,1770,持分移轉
RPWTNLRKKIPFFBF27CB,麗林段,36.92,都市：住,100000,1770,持分移轉
RPXTNLRKKIPFFBF37CB,麗林段,36.92,都市：住,100000,1770,持分移轉
RPPUNLRKKIPFFBF66CB,麗林段,36.92,都市：住,100000,1770,持分移轉
RPWPMLSKKIPFFBF86CB,麗林段,36.29,都市：住,100000,1740,持分移轉
RPVPMLSKKIPFFBF76CB,麗林段,36.50,都市：住,100000,1750,持分移轉
RPOUNLRKKIPFFBF56CB,麗林段,36.92,都市：住,100000,1770,持分移轉
RPUPMLSKKIPFFBF66CB,麗林段,36.29,都市：住,100000,1740,持分移轉
RPXPMLSKKIPFFBF96CB,麗林段,36.29,都市：住,100000,1740,持分移轉
RPTRMLSKKIPFFBF76CB,麗林段,23.99,都市：住,100000,1150,持分移轉
RPURMLSKKIPFFBF86CB,麗林段,23.99,都市：住,100000,1150,持分移轉
RPWRMLSKKIPFFBF07CB,麗林段,23.99,都市：住,100000,1150,持分移轉
RPXRMLSKKIPFFBF17CB,麗林段,23.99,都市：住,100000,1150,持分移轉
RPPSMLSKKIPFFBF09CB,麗林段,23.99,都市：住,100000,1150,持分移轉
RPOSMLSKKIPFFBF98CB,麗林段,23.99,都市：住,100000,1150,持分移轉
RPPQMLSKKIPFFBF88CB,麗林段,36.29,都市：住,100000,1740,持分移轉
RPOQMLSKKIPFFBF78CB,麗林段,36.29,都市：住,100000,1740,持分移轉
RPRSMLSKKIPFFBF66CB,麗林段,37.13,都市：住,100000,1780,持分移轉
RPQTMLSKKIPFFBF66CB,麗林段,37.13,都市：住,100000,1780,持分移轉
RPTSMLSKKIPFFBF86CB,麗林段,37.13,都市：住,100000,1780,持分移轉
RPVRMLSKKIPFFBF96CB,麗林段,23.99,都市：住,100000,1150,持分移轉
RPSSMLSKKIPFFBF76CB,麗林段,37.13,都市：住,100000,1780,持分移轉
RPWSMLSKKIPFFBF17CB,麗林段,37.13,都市：住,100000,1780,持分移轉
RPRTMLSKKIPFFBF76CB,麗林段,37.13,都市：住,100000,1780,持分移轉
RPQSMLSKKIPFFBF56CB,麗林段,23.99,都市：住,100000,1150,持分移轉
RPXSMLSKKIPFFBF27CB,麗林段,37.13,都市：住,100000,1780,持分移轉
RPTTMLSKKIPFFBF96CB,麗林段,37.13,都市：住,100000,1780,持分移轉
RPQQMLSKKIPFFBF98CB,麗林段,36.29,都市：住,100000,1740,持分移轉
RPQPMLSKKIPFFAF78CB,江翠段,4.41,都市：商,10000,12,持分移轉
RPXPMLSKKIPFFAF86CB,江翠段,4.41,都市：商,10000,12,持分移轉
RPPQMLSKKIPFFAF78CB,江翠段,8.08,都市：商,10000,22,持分移轉
RPQQMLSKKIPFFAF88CB,江翠段,8.08,都市：商,10000,22,持分移轉
RPUQMLSKKIPFFAF66CB,江翠段,8.08,都市：商,10000,22,持分移轉
RPRQMLSKKIPFFAF98CB,江翠段,7.34,都市：商,10000,20,持分移轉
