編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPOMLOJKIPFFAG18DA,6,308.40,住家用,鋼筋混凝土造,104年1月15日,三層,一層 二層 三層 見其他登記事項
RPVNMLTJKIPFFBG66DA,45,191.04,住商用,見其他登記事項,64年10月7日,二層,一層 二層 騎樓
RPVNMLTJKIPFFBG66DA,,25.81,住家用,磚造,,一層,一層
RPPPMLSJKIPFFBG78DA,3,265.85,見其他登記事項,鋼筋混凝土造,106年9月4日,四層,一層 二層 三層 四層 見其他登記事項
RPQNMLSJKIPFFBG68DA,21,44.42,住家用,鋼筋混凝土造,88年8月31日,九層,四層
RPQNMLSJKIPFFBG68DA,21,22.70,共有部份,鋼筋混凝土造,88年8月31日,九層,
RPQPMLNJKIPFFBG38DA,,70.89,見其他登記事項,鋼筋混凝土造,109年9月21日,五層,三層
RPQPMLNJKIPFFBG38DA,,29.72,見其他登記事項,鋼筋混凝土造,109年9月21日,五層,
RPRNMLTJKIPFFBG88DA,11,174.33,見其他登記事項,見其他登記事項,98年7月9日,一層,一層
RPOOMLTJKIPFFBG68DA,12,200.45,住家用,鋼筋混凝土造,97年12月15日,三層,一層 二層 三層
RPVOMLTJKIPFFBG86EA,5,224.54,見其他登記事項,鋼筋混凝土造,104年7月13日,三層,一層 二層 三層 見其他登記事項
RPWOMLTJKIPFFBG86DA,5,291.37,見其他登記事項,鋼筋混凝土造,104年5月26日,四層,一層 二層 三層 四層 見其他登記事項
RPQPMLSJKIPFFBG88DA,3,290.43,見其他登記事項,鋼筋混凝土造,106年9月4日,四層,一層 二層 三層 四層 見其他登記事項
RPSOMLRJKIPFFBG88DA,21,108.14,住家用,鋼筋混凝土造,88年9月14日,三層,一層 二層 三層
RPSOMLRJKIPFFBG88DA,21,108.14,住家用,鋼筋混凝土造,88年9月14日,三層,一層 二層 三層
RPPNMLTJKIPFFBG68DA,15,18.24,住家用,鋼筋混凝土造,94年9月14日,六層,二層
RPPNMLTJKIPFFBG68DA,15,12.18,共有部分,鋼筋混凝土造,94年9月14日,六層,
