交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物),宜蘭縣三星鄉大德路二段636巷1~30號,1041211,土地2建物1車位0,全,三層,透天厝,1,308.4,5,3,5,有,無,16600000,53826,0,0001
房地(土地+建物),大德路二段636巷1~30號,1091103,土地2建物1車位0,全,三層,透天厝,6,308.4,5,3,5,有,無,9600000,31128,0,0001
土地,錦草段451~480地號,1030930,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,2175126,2208,0,0002
土地,錦草段451~480地號,1091118,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3800000,3858,0,0002
土地,尚義段1861~1890地號,1041125,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,8700000,25740,0,0003
土地,尚義段1861~1890地號,1091030,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,8500000,25148,0,0003
土地,吉祥二段541~570地號,1091123,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1082400,4550,0,0004
土地,吉祥二段541~570地號,1091123,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,700000,2942,0,0004
土地,吉祥二段541~570地號,1091123,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1464000,6154,0,0004
房地(土地+建物),宜蘭縣宜蘭巿女中路三段301~330號,1030411,土地2建物1車位0,二層,六層,套房(1房1廳1衛),9,30.419999999999998,1,0,1,有,有,1300000,42735,0,0007
房地(土地+建物),女中路三段301~330號,1091108,土地2建物1車位0,二層,六層,華廈(10層含以下有電梯),15,30.419999999999998,1,1,1,有,有,1550000,50953,0,0007
房地(土地+建物),宜蘭縣礁溪鄉仁愛路181~210號,1040201,土地1建物1車位0,十層,二十四層,套房(1房1廳1衛),0,81.99,1,1,1,有,無,5690000,69399,0,0008
房地(土地+建物),仁愛路181~210號,1091128,土地1建物1車位0,十層,二十四層,住宅大樓(11層含以上有電梯),6,81.99,1,1,1,有,有,7600000,92694,0,0008
土地,外員段811~840地號,1080326,土地4建物0車位0,,,其他,0,0.0,0,0,0,有,無,5836530,24481,0,0009
土地,外員段811~840地號,1080330,土地5建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4653000,24925,0,0009
土地,外員段811~840地號,1080326,土地5建物0車位0,,,其他,-1,0.0,0,0,0,有,無,6204150,24925,0,0009
土地,外員段811~840地號,1080601,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,689335,24922,0,0009
土地,外員段721~750地號,1080326,土地4建物0車位0,,,其他,0,0.0,0,0,0,有,無,5836240,24479,0,0009
土地,外員段721~750地號,1080801,土地5建物0車位0,,,其他,0,0.0,0,0,0,有,無,689335,24922,0,0009
土地,外員段721~750地號,1080326,土地5建物0車位0,,,其他,0,0.0,0,0,0,有,無,7919020,25135,0,0009
土地,外員段721~750地號,1080326,土地5建物0車位0,,,其他,0,0.0,0,0,0,有,無,6396000,25135,0,0009
土地,外員段721~750地號,1081118,土地4建物0車位0,,,其他,0,0.0,0,0,0,有,無,2580260,25713,0,0009
土地,外員段721~750地號,1081228,土地5建物0車位0,,,其他,0,0.0,0,0,0,有,無,3545235,24926,0,0009
土地,外員段811~840地號,1091114,土地5建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4136120,24925,0,0009
土地,外員段811~840地號,1091114,土地5建物0車位0,,,其他,-1,0.0,0,0,0,有,無,689335,24922,0,0009
土地,外員段811~840地號,1080326,土地6建物0車位0,,,其他,-1,0.0,0,0,0,有,無,8314530,25119,0,0009
房地(土地+建物),宜蘭縣宜蘭市縣政九街45巷1~30號,1060816,土地1建物1車位0,全,四層,透天厝,0,253.57,5,1,4,有,無,19000000,74930,0,0010
房地(土地+建物),縣政九街45巷1~30號,1091102,土地1建物1車位0,全,四層,透天厝,3,253.57,4,2,5,有,無,17000000,67043,0,0010
房地(土地+建物),宜蘭縣礁溪鄉公園路91~120號,1020626,土地1建物1車位0,四層,七層,套房(1房1廳1衛),0,69.14,1,1,1,有,有,4680000,67689,0,0011
房地(土地+建物),公園路91~120號,1091202,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),7,69.14,1,1,1,有,有,6500000,94012,0,0011
房地(土地+建物),宜蘭縣礁溪鄉奇立丹路195巷2弄1~30號,1050902,土地1建物1車位0,三層,六層,套房(1房1廳1衛),21,49.12,1,1,1,有,無,1765000,35932,0,0012
房地(土地+建物),宜蘭縣礁溪鄉奇立丹路195巷2弄1~30號,1090108,土地1建物1車位0,三層,六層,套房(1房1廳1衛),25,49.12,1,0,1,有,無,1300000,26466,0,0012
房地(土地+建物),奇立丹路195巷2弄1~30號,1091126,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),26,49.12,1,1,1,有,無,1580000,32166,0,0012
房地(土地+建物),宜蘭縣宜蘭市中興路316巷1~30號,1070629,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),24,108.55,3,2,2,有,無,4500000,41456,0,0013
房地(土地+建物),中興路316巷1~30號,1091116,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),27,108.55,3,2,2,有,無,5100000,46983,0,0013
房地(土地+建物),宜蘭縣員山鄉金山西路260巷1~30號,1020325,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),19,96.11,0,0,1,無,無,2700000,28093,0,0014
房地(土地+建物),金山西路260巷1~30號,1090218,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),26,96.11,3,2,2,有,有,2300000,23931,0,0014
房地(土地+建物),宜蘭縣冬山鄉永安路327巷19弄1~30號,1060220,土地2建物1車位0,全,三層,透天厝,0,214.03,4,2,3,有,無,13880000,64851,0,0015
房地(土地+建物),永安路327巷19弄1~30號,1091105,土地2建物1車位0,全,三層,透天厝,4,214.03,4,2,3,有,有,14600000,68215,0,0015
房地(土地+建物),宜蘭縣蘇澳鎮中興一巷61~90號,1060120,土地1建物1車位0,全,三層,透天厝,0,159.57,4,2,3,有,無,6400000,40108,0,0016
房地(土地+建物),中興一巷61~90號,1091122,土地1建物1車位0,全,三層,透天厝,4,159.57,4,2,3,有,無,5750000,36034,0,0016
房地(土地+建物),宜蘭縣冬山鄉鹿埔路300巷1~30號,1070118,土地1建物1車位0,全,二層,透天厝,36,108.64,4,1,2,有,無,3000000,27614,0,0017
房地(土地+建物),鹿埔路300巷1~30號,1091007,土地1建物1車位0,全,二層,透天厝,39,108.64,4,2,2,有,無,2600000,23932,0,0017
房地(土地+建物),宜蘭縣三星鄉行健五路61~90號,1051228,土地1建物1車位0,全,四層,透天厝,0,211.2,4,1,4,有,無,8000000,37879,0,0018
房地(土地+建物),行健五路61~90號,1091106,土地1建物1車位0,全,四層,透天厝,4,211.2,6,2,4,有,無,9990000,47301,0,0018
房地(土地+建物)+車位,宜蘭縣五結鄉清水路1~30號,1021118,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),0,156.76,3,2,2,有,有,7200000,45930,0,0019
房地(土地+建物)+車位,清水路1~30號,1091107,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),7,156.76,3,2,1,有,有,10800000,68895,0,0019
房地(土地+建物),宜蘭縣羅東鎮中山路四段361巷61~90號,1030704,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),20,110.09,3,2,2,有,無,2950000,26796,0,0020
房地(土地+建物),宜蘭縣羅東鎮中山路四段361巷61~90號,1031124,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),20,110.09,3,2,3,有,無,4300000,39059,0,0020
房地(土地+建物),中山路四段361巷61~90號,1091118,土地2建物1車位0,三層,四層,華廈(10層含以下有電梯),26,110.09,3,2,2,有,有,5300000,48142,0,0020
土地,信義段241~270地號,1090728,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,206000,79231,0,0021
