編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPTOMLTJKIPFFAG09DA,尚義段,169.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,2,1,持分移轉
RPTOMLTJKIPFFAG09DA,尚義段,169.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,2,1,持分移轉
RPOOMLSJKIPFFAG48DA,新協和段,978.84,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPOOMLSJKIPFFAG48DA,五結段,1408.00,都市：其他:農業區,1,1,全筆移轉
SPROMLSJKIPFFBG98DA,吉祥二段,18.98,都市：其他:農業區,3,1,持分移轉
SPROMLSJKIPFFBG98DA,吉祥二段,218.91,都市：其他:農業區,3,1,持分移轉
TPROMLSJKIPFFBG09DA,吉祥二段,18.98,都市：其他:農業區,3,1,持分移轉
TPROMLSJKIPFFBG09DA,吉祥二段,218.91,都市：其他:農業區,3,1,持分移轉
RPVOMLSJKIPFFBG66DA,協民段,784.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPTNMLTJKIPFFAG98DA,錦草段,985.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPPOMLOJKIPFFAG18DA,尚義段,192.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPPOMLOJKIPFFAG18DA,尚義段,14.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPXNMLPKIIPFFBG98DA,二城段,951.30,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPTNMLSJKIPFFAG88DA,保安段,107.40,都市：其他:道路用地,1,1,全筆移轉
RPVNMLTJKIPFFBG66DA,艮門一段,86.94,都市：其他:商業區,1,1,全筆移轉
RPVNMLTJKIPFFBG66DA,艮門一段,27.34,都市：其他:商業區,1,1,全筆移轉
RPWOMLSJKIPFFBG76DA,新金面段,165.94,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPWOMLSJKIPFFBG76DA,新金面段,25.84,非都市：特定農業區 ; 非都市編定：甲種建築用地,24,1,持分移轉
RPQOMLSJKIPFFBG78DA,吉祥二段,602.43,都市：其他:農業區,1,1,全筆移轉
RPPPMLSJKIPFFBG78DA,吉祥一段,83.20,都市：其他:農業區,1,1,全筆移轉
RPPPMLSJKIPFFBG78DA,吉祥一段,20.80,都市：其他:農業區,1,1,全筆移轉
RPPPMLSJKIPFFBG78DA,吉祥一段,7.69,都市：其他:農業區,10,1,持分移轉
RPQNMLSJKIPFFBG68DA,五峰段,10.13,都市：其他:住宅區,100000,524,持分移轉
RPQPMLNJKIPFFBG38DA,龍泉段,47.13,都市：其他:住宅區,10000,840,持分移轉
RPRNMLTJKIPFFBG88DA,新七賢段,2529.44,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPOOMLTJKIPFFBG68DA,金泰段,15.81,都市：其他:農業區,24,1,持分移轉
RPOOMLTJKIPFFBG68DA,金泰段,107.31,都市：其他:農業區,1,1,全筆移轉
RPOOMLTJKIPFFBG68DA,金泰段,1.00,都市：其他:農業區,100000,803,持分移轉
