編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPWNMLKKKIPFFAG48DA,坡道平面,0,,地下二樓
RPQNMLTJKIPFFBG78DA,坡道平面,0,,地下一樓
RPSOMLOKKIPFFBG78EA,升降機械,0,,一樓
RPPNMLKKKIPFFAG77DA,坡道平面,0,,地下一樓
RPPNMLKKKIPFFAG77DA,坡道平面,0,,地下二樓
RPRNMLPKKIPFFBG68EA,坡道平面,0,52.96,地下二樓
RPOOMLLJKIPFFAG77DA,升降平面,0,,地下一樓
RPQNMLPKKIPFFBG48DA,坡道平面,0,,地下一樓
RPPPMLQKKIPFFBG68DA,坡道平面,0,,地下二樓
RPOOMLRKKIPFFBG58DA,坡道平面,0,,地下一樓
RPPOMLQKKIPFFBG58DA,坡道平面,0,,地下一樓
RPROMLQKKIPFFBG78DA,坡道平面,0,,地下一樓
RPUOMLPKKIPFFAG88DA,坡道平面,1150000,32.57,地下一樓
RPWOMLQKKIPFFAG56DA,坡道平面,0,,地下一樓
RPTPMLNJKIPFFBG68DA,一樓平面,0,,一樓
RPUOMLLLKIPFFBG78EA,一樓平面,700000,,一樓
RPVOMLLLKIPFFBG88EA,坡道平面,0,,地下一樓
RPROMLSKKIPFFBG98DA,坡道平面,1150000,42.93,地下一樓
RPTNMLSKKIPFFAG09EA,升降機械,0,,地下一樓
RPROMLQKKIPFFAG68DA,坡道平面,1000000,37.22,地下二樓
RPUPMLLLKIPFFAG68DA,一樓平面,0,,一樓
RPPOMLQKKIPFFAG48DA,坡道平面,1000000,,地下二樓
RPTPMLSKKIPFFBG76EA,坡道平面,0,,地下一樓
RPTNMLLLKIPFFAG48EA,坡道機械,0,,地下二樓
RPPOMLSKKIPFFBG78DA,坡道平面,1000000,42.93,地下二樓
RPXOMLOKKIPFFAG09DA,坡道平面,1600000,35.52,地下一樓
RPSPMLOKKIPFFAG68DA,坡道平面,1300000,45.85,地下二樓
