鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
宜蘭市,建物,宜蘭縣宜蘭市中山路二段181~210號,0.0,其他,,,1091201,土地1建物0車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,,160.9,0,0,2,有,無,無,20000,124,,0.0,0,,RPROMLLKKIPFFBG38CC
礁溪鄉,建物,宜蘭縣礁溪鄉和平路91~120號,0.0,住,,,1091209,土地0建物1車位0,一層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820708,35.06,1,1,1,有,無,有,7500,214,,0.0,0,,RPRNMLOKKIPFFBG58CC
礁溪鄉,建物,宜蘭縣礁溪鄉和平路91~120號,0.0,住,,,1091210,土地0建物1車位0,二層,7,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820708,26.28,1,0,1,有,無,有,6500,247,,0.0,0,,RPSNMLOKKIPFFBG68CC
礁溪鄉,建物,宜蘭縣礁溪鄉和平路91~120號,0.0,住,,,1091212,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820708,30.27,2,1,1,有,無,有,5500,182,,0.0,0,,RPOOMLOKKIPFFBG38CC
礁溪鄉,建物,宜蘭縣礁溪鄉大忠路181~210號,0.0,住,,,1091212,土地0建物1車位0,三層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0880709,28.02,1,1,1,有,有,有,7500,268,,0.0,0,,RPSOMLOKKIPFFBG78CC
宜蘭市,建物,宜蘭縣宜蘭市環市東路二段691~720號,0.0,農,,,1091211,土地0建物1車位0,見其他登記事項,3,農舍,見其他登記事項,見其他登記事項,1000209,318.33,3,3,3,有,無,有,28000,,,0.0,0,,RPUOMLOKKIPFFBG98CC
員山鄉,建物,宜蘭縣員山鄉溫泉段91~120號,0.0,住,,,1091128,土地0建物1車位0,五層,6,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1071101,42.89,1,1,1,有,無,有,7500,175,,0.0,0,,RPVNMLRKKIPFFBG66CC
羅東鎮,建物,宜蘭縣羅東鎮四維路151~180號,0.0,,特定農業區,甲種建築用地,1091214,土地0建物1車位0,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841016,74.18,1,1,1,有,有,有,7600,102,,0.0,0,,RPRNMLLLKIPFFAG28CC
冬山鄉,建物,宜蘭縣冬山鄉華祥路1~30號,0.0,,鄉村區,乙種建築用地,1091219,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0690111,130.94,3,2,2,有,無,有,8100,62,,0.0,0,,RPSNMLLLKIPFFAG38CC
羅東鎮,房地(土地+建物)+車位,宜蘭縣羅東鎮重陽街27巷31~60號,25.37,住,,,1091216,土地2建物1車位1,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0870512,89.1,3,2,1,有,有,有,13000,146,一樓平面,18.48,0,,RPUOMLLLKIPFFAG68CC
宜蘭市,建物,宜蘭縣宜蘭市泰山路85巷1~30號,0.0,住,,,1091218,土地0建物1車位1,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930927,114.16,3,2,2,有,有,有,14000,123,坡道平面,0.0,0,,RPOPMLMLKIPFFBG38CC
礁溪鄉,建物,宜蘭縣礁溪鄉信義路34巷1~30號,0.0,商,,,1091213,土地0建物1車位0,八層,13,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0971231,38.02,1,1,1,有,有,有,10000,263,,0.0,0,,RPRNMLNLKIPFFBG58CC
