編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLRJJIPFFAH58DA,1,62.77,住家用,鋼筋混凝土造,108年11月7日,十四層,七層
RPRNMLRJJIPFFAH58DA,1,57.90,見其他登記事項,鋼筋混凝土造,108年11月7日,十五層,
RPWNMLRLJIPFFAH66DA,1,70.36,住家用,鋼筋混凝土造,108年10月15日,十五層,十二層
RPWNMLRLJIPFFAH66DA,1,59.15,見其他登記事項,鋼筋混凝土造,108年10月15日,十五層,
RPRNMLNJKIPFFAH28DA,,101.59,住家用,鋼筋混凝土造,109年5月28日,十四層,八層
RPRNMLNJKIPFFAH28DA,,115.23,見其他登記事項,鋼筋混凝土造,109年5月28日,十四層,
RPSNMLNJKIPFFAH38DA,,87.68,住家用,鋼筋混凝土造,109年5月28日,十四層,五層
RPSNMLNJKIPFFAH38DA,,75.44,見其他登記事項,鋼筋混凝土造,109年5月28日,十四層,
RPUNMLNJKIPFFAH58DA,,101.59,住家用,鋼筋混凝土造,109年5月28日,十四層,十三層
RPTOMLRLJIPFFAH09DA,27,51.80,住家用,鋼筋混凝土造,82年8月21日,十四層,六層
RPUNMLNJKIPFFAH58DA,,81.99,見其他登記事項,鋼筋混凝土造,109年5月28日,十四層,
RPTOMLRLJIPFFAH09DA,27,31.69,見其他登記事項,鋼筋混凝土造,82年8月21日,十四層,地下層
RPTOMLRLJIPFFAH09DA,27,19.43,共有部份,鋼筋混凝土造,82年8月21日,十四層,
RPQNMLOLIIPFFAH28DA,26,92.79,住家用,鋼筋混凝土造,84年2月25日,二十三層,五層
RPQNMLOLIIPFFAH28DA,26,15.50,共有部份,鋼筋混凝土造,84年2月25日,二十三層,
RPQNMLOLIIPFFAH28DA,26,14.15,共有部份,鋼筋混凝土造,84年2月25日,二十三層,
RPXNMLNJKIPFFAH88DA,,87.68,住家用,鋼筋混凝土造,109年5月28日,十四層,九層
RPXNMLNJKIPFFAH88DA,,75.44,見其他登記事項,鋼筋混凝土造,109年5月28日,十四層,
RPTNMLNJKIPFFAH48DA,,101.59,住家用,鋼筋混凝土造,109年5月28日,十四層,十二層
RPTNMLNJKIPFFAH48DA,,81.99,見其他登記事項,鋼筋混凝土造,109年5月28日,十四層,
RPOOMLNJKIPFFAH08DA,,87.68,住家用,鋼筋混凝土造,109年5月28日,十四層,四層
RPOOMLNJKIPFFAH08DA,,75.44,見其他登記事項,鋼筋混凝土造,109年5月28日,十四層,
RPQOMLNJKIPFFAH28DA,,119.85,住家用,鋼筋混凝土造,109年5月28日,十四層,十四層
RPQOMLNJKIPFFAH28DA,,125.94,見其他登記事項,鋼筋混凝土造,109年5月28日,十四層,
RPPOMLNJKIPFFAH18DA,,87.68,住家用,鋼筋混凝土造,109年5月28日,十四層,十一層
RPPOMLNJKIPFFAH18DA,,75.44,見其他登記事項,鋼筋混凝土造,109年5月28日,十四層,
RPQQMLNLJIPFFAH58DA,26,37.72,住家用,鋼筋混凝土造,83年9月16日,十層,七層
RPQQMLNLJIPFFAH58DA,26,7.96,共有部份,鋼筋混凝土造,83年9月16日,十層,
RPQQMLNLJIPFFAH58DA,26,2.62,共有部份,鋼筋混凝土造,83年9月16日,十層,
RPWTMLNLJIPFFAH86DA,25,96.09,住家用,鋼筋混凝土造,84年10月12日,八層,一層
