鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中壢區,房地(土地+建物)+車位,青平段211~240地號,32.27,住,,,1090610,土地1建物1車位1,二層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,180.31,3,2,2,有,無,11000000,76531,坡道平面,56.83,1550000,售價包含裝潢或家電。；,RPWQMLLKKIPFFBH09CB
中壢區,房地(土地+建物)+車位,青平段211~240地號,32.27,住,,,1090509,土地1建物1車位1,三層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,180.31,3,2,2,有,無,9660000,66489,坡道平面,56.83,1450000,,RPORMLLKKIPFFBH38CB
中壢區,房地(土地+建物)+車位,青平段211~240地號,32.27,住,,,1090610,土地1建物1車位1,四層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,180.31,3,2,2,有,無,9930000,68675,坡道平面,56.83,1450000,,RPPRMLLKKIPFFBH48CB
中壢區,房地(土地+建物)+車位,青平段211~240地號,32.27,住,,,1090523,土地1建物1車位1,五層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,180.31,3,2,2,有,無,10350000,70457,坡道平面,56.83,1650000,,RPRRMLLKKIPFFBH68CB
中壢區,房地(土地+建物)+車位,青平段211~240地號,32.27,住,,,1090308,土地1建物1車位1,六層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,180.31,3,2,2,有,無,9970000,68999,坡道平面,56.83,1450000,,RPTRMLLKKIPFFBH88CB
中壢區,房地(土地+建物)+車位,青平段211~240地號,32.27,住,,,1090723,土地1建物1車位1,七層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,183.03,3,2,2,有,無,10700000,72481,坡道平面,59.55,1750000,,RPURMLLKKIPFFBH98CB
中壢區,房地(土地+建物)+車位,青平段211~240地號,32.27,住,,,1090112,土地1建物1車位1,八層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,180.31,3,2,2,有,無,10120000,69404,坡道平面,56.83,1550000,,RPVRMLLKKIPFFBH09CB
中壢區,房地(土地+建物)+車位,青平段211~240地號,32.27,住,,,1090715,土地1建物1車位1,九層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,180.31,3,2,2,有,無,10550000,72886,坡道平面,56.83,1550000,,RPWRMLLKKIPFFBH56CB
中壢區,房地(土地+建物)+車位,青平段211~240地號,32.27,住,,,1090507,土地1建物1車位1,十層,10,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,180.31,3,2,2,有,無,10130000,69485,坡道平面,56.83,1550000,,RPOSMLLKKIPFFBH48CB
中壢區,房地(土地+建物)+車位,青溪段301~330地號,31.04,住,,,1090527,土地1建物1車位2,三層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,222.1,3,2,2,有,無,17680000,92408,坡道平面,63.24,3000000,,RPOPMLLKKIPFFBH28DB
中壢區,房地(土地+建物)+車位,青溪段301~330地號,15.27,住,,,1090421,土地1建物1車位1,十七層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,109.8,2,1,1,有,無,10380000,113584,坡道平面,31.62,1500000,,RPPPMLLKKIPFFBH38DB
中壢區,房地(土地+建物)+車位,青溪段301~330地號,30.36,住,,,1090621,土地1建物1車位2,八層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,218.62,3,2,2,有,無,17960000,97245,坡道平面,63.24,2850000,,RPRPMLLKKIPFFBH58DB
