編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSRMLLKKIPFFBH88CC,1,59.35,見其他登記事項,鋼筋混凝土造,108年7月25日,十五層,
RPSRMLLKKIPFFBH88CC,1,40.43,見其他登記事項,鋼筋混凝土造,108年7月25日,十五層,
RPSRMLLKKIPFFBH88CC,1,14.89,見其他登記事項,鋼筋混凝土造,108年7月25日,十五層,
RPUNMLLKKIPFFDH88CC,15,89.11,住家用,鋼筋混凝土造,94年5月10日,十層,
RPUNMLLKKIPFFDH88CC,15,20.57,見其他登記事項,鋼筋混凝土造,94年5月10日,十層,
RPUNMLLKKIPFFDH88CC,15,9.25,見其他登記事項,鋼筋混凝土造,94年5月10日,十層,
RPOPMLLKKIPFFDH48CC,18,95.89,住家用,鋼筋混凝土造,92年2月19日,十四層,
RPOPMLLKKIPFFDH48CC,18,19.48,見其他登記事項,鋼筋混凝土造,92年2月19日,十四層,
RPOPMLLKKIPFFDH48CC,18,19.26,見其他登記事項,鋼筋混凝土造,92年2月19日,十四層,
RPRPMLLKKIPFFDH78CC,2,63.20,見其他登記事項,鋼筋混凝土造,107年11月22日,十五層,
RPRPMLLKKIPFFDH78CC,2,32.08,見其他登記事項,鋼筋混凝土造,107年11月22日,十五層,
RPSPMLLKKIPFFDH88CC,24,77.23,住家用,鋼筋混凝土造,85年7月10日,五層,
RPSPMLLKKIPFFDH88CC,24,15.80,共同使用部份,鋼筋混凝土造,85年7月10日,五層,
RPPPMLLKKIPFFDH58CC,26,67.47,住家用,鋼筋混凝土造,83年9月27日,七層,
RPPPMLLKKIPFFDH58CC,26,13.87,見其他登記事項,鋼筋混凝土造,83年9月27日,七層,
RPPPMLLKKIPFFDH58CC,26,11.29,見其他登記事項,鋼筋混凝土造,83年9月27日,七層,
RPQPMLLKKIPFFDH68CC,23,86.13,住家用,鋼筋混凝土造,86年9月11日,八層,
RPQPMLLKKIPFFDH68CC,23,15.72,見其他登記事項,鋼筋混凝土造,86年9月11日,九層,
RPQPMLLKKIPFFDH68CC,23,12.89,見其他登記事項,鋼筋混凝土造,86年9月11日,八層,
RPTPMLLKKIPFFDH98CC,26,72.16,住商用,鋼筋混凝土造,84年2月24日,八層,
RPTPMLLKKIPFFDH98CC,26,50.07,見其他登記事項,鋼筋混凝土造,84年2月24日,八層,
RPSQMLLKKIPFFAH68CC,17,46.69,住家用,鋼筋混凝土造,92年7月28日,十四層,
RPSQMLLKKIPFFAH68CC,17,6.59,共有部份,鋼筋混凝土造,92年7月28日,十四層,
RPSQMLLKKIPFFAH68CC,17,12.05,共有部份,鋼筋混凝土造,92年7月28日,十四層,
RPQOMLLKKIPFFEH68CC,4,116.82,見其他登記事項,鋼筋混凝土造,105年9月29日,二十層,
RPSNMLLKKIPFFEH78CC,25,19.23,住家用,鋼筋混凝土造,84年8月11日,二十層,
RPSNMLLKKIPFFEH78CC,25,4.53,共有部份,鋼筋混凝土造,84年8月11日,二十層,
RPSNMLLKKIPFFEH78CC,25,3.12,共有部份,鋼筋混凝土造,84年8月11日,二十層,
RPPOMLLKKIPFFEH58CC,26,113.74,住家用,鋼筋混凝土造,84年4月7日,七層,
RPPOMLLKKIPFFEH58CC,26,6.00,共有部份,鋼筋混凝土造,84年4月7日,七層,
RPPOMLLKKIPFFEH58CC,26,27.28,共有部份,鋼筋混凝土造,84年4月7日,七層,
RPTNMLLKKIPFFEH88CC,25,32.91,住家用,鋼筋混凝土造,84年9月25日,二十層,
RPTNMLLKKIPFFEH88CC,25,3.52,共有部份,鋼筋混凝土造,84年9月25日,二十層,
RPTNMLLKKIPFFEH88CC,25,8.27,共有部份,鋼筋混凝土造,84年9月25日,二十層,
RPVOMLLKKIPFFAH78CC,23,93.35,住家用,鋼筋混凝土造,86年5月28日,十八層,
RPVOMLLKKIPFFAH78CC,23,27.02,共有部份,鋼筋混凝土造,86年5月28日,十八層,
RPVOMLLKKIPFFAH78CC,23,4.89,共有部份,鋼筋混凝土造,86年5月28日,十八層,
RPVOMLLKKIPFFAH78CC,23,37.84,共有部份,鋼筋混凝土造,86年5月28日,十八層,
RPRQMLLKKIPFFAH58CC,25,87.12,住家用,鋼筋混凝土造,84年10月12日,七層,
RPRQMLLKKIPFFAH58CC,25,8.78,共有部份,鋼筋混凝土造,84年10月12日,七層,
RPRQMLLKKIPFFAH58CC,25,4.60,共有部份,鋼筋混凝土造,84年10月12日,七層,
RPXQMLLKKIPFFAH56CC,61,216.48,商業用,加強磚造,48年12月15日,三層,
