鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
嘉義市,土地,遠東段1~30地號,4466.0,都市：其他:住宅區,,,1090913,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,182376900,40837,,0.0,0,,RPVNMLTKRHPFFAI47DA,0.0,0.0,0.0,無,
嘉義市,土地,南田段91~120地號,718.66,都市：其他:,,,1091125,土地11建物0車位0,,,其他,,,,0.0,0,0,0,有,無,46274000,64389,,0.0,0,本案交易標示共11筆土地，包含其中4筆因屬現有巷道，每坪為10萬元，另7筆建地每坪為22萬5000元。親友、員工、共有人或其他特殊關係間之交易；,RPXOMLPLJIPFFAI76DA,0.0,0.0,0.0,無,
嘉義市,土地,湖子內段興安小段361~390地號,124.68,都市：其他:住宅區,,,1091006,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10300000,82611,,0.0,0,,RPWNMLOJKIPFFAI98DA,0.0,0.0,0.0,無,001
嘉義市,房地(土地+建物),林森東路679巷31~60號,56.0,都市：其他:住宅區,,,1091106,土地1建物1車位0,全,二層,透天厝,住家用,磚造,0630906,78.81,3,2,2,有,無,1900000,24109,,0.0,0,含傢俱設備費；,RPPOMLOJKIPFFAI38DA,78.81,0.0,0.0,無,002
嘉義市,房地(土地+建物),和平路31~60號,13.96,都市：其他:,,,1091107,土地2建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811210,73.84,2,2,1,有,有,2580000,34940,,0.0,0,,RPVOMLOJKIPFFAI98DA,51.61,3.59,3.7,有,
嘉義市,土地,竹圍子段331~360地號,318.0,都市：其他:住宅區,,,1091011,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17780000,55912,,0.0,0,,RPXOMLRJKIPFFAI86DA,0.0,0.0,0.0,無,
嘉義市,房地(土地+建物),大雅路一段368巷181~210號,129.47,都市：其他:農業區,,,1080104,土地5建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1090217,261.57,3,2,5,有,有,14680000,56123,,0.0,0,,RPXNMLTJKIPFFAI96DA,247.71,0.0,13.78,有,
嘉義市,房地(土地+建物),小雅路331~360號,3.49,都市：其他:住宅區,,,1091202,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820609,27.78,1,1,1,有,有,1050000,37797,,0.0,0,,RPOPMLTJKIPFFAI88DA,15.96,0.0,2.85,有,003
嘉義市,房地(土地+建物),大富東街1~30號,102.3,都市：其他:住宅區,,,1091106,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1090414,206.8,4,3,5,有,無,13900000,67215,,0.0,0,,RPQOMLKKKIPFFAI18DA,199.77,0.0,7.03,無,
