交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
土地,湖子內段興安小段361~390地號,1061225,土地3建物0車位0,,,其他,0,0.0,0,0,0,有,無,35000000,56555,0,001
土地,湖子內段興安小段361~390地號,1090724,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,9800000,78601,0,001
土地,湖子內段興安小段361~390地號,1091006,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,10300000,82611,0,001
房地(土地+建物),嘉義市嘉義巿林森東路679巷31~60號,1040812,土地1建物1車位0,全,二層,透天厝,41,78.81,1,1,1,有,無,1600000,20302,0,002
房地(土地+建物),林森東路679巷31~60號,1091106,土地1建物1車位0,全,二層,透天厝,46,78.81,3,2,2,有,無,1900000,24109,0,002
房地(土地+建物),嘉義市嘉義市小雅路331~360號,1060221,土地1建物1車位0,九層,十二層,套房(1房1廳1衛),24,27.78,1,1,1,有,有,450000,16199,0,003
房地(土地+建物),小雅路331~360號,1091202,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),27,27.78,1,1,1,有,有,1050000,37797,0,003
房地(土地+建物)+車位,友孝路181~210號,1050926,土地1建物1車位2,六層,九層,華廈(10層含以下有電梯),0,154.07999999999998,2,1,1,有,有,6430000,41732,0,004
房地(土地+建物)+車位,友孝路181~210號,1100307,土地1建物1車位2,六層,九層,華廈(10層含以下有電梯),1,154.07999999999998,3,2,2,有,有,8300000,53868,0,004
房地(土地+建物),嘉義市嘉義市小雅路331~360號,1060815,土地1建物1車位0,十層,十二層,套房(1房1廳1衛),24,27.78,1,0,1,有,有,530000,19078,0,005
房地(土地+建物),嘉義市嘉義市小雅路331~360號,1061120,土地1建物1車位0,十層,十二層,套房(1房1廳1衛),24,27.78,1,0,1,有,有,900000,32397,0,005
房地(土地+建物),小雅路331~360號,1091110,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),27,27.78,1,1,1,有,有,1000000,35997,0,005
房地(土地+建物)+車位,嘉義市嘉義巿吳鳳南路166巷91~120號,1040902,土地1建物1車位1,四層,五層,公寓(5樓含以下無電梯),23,132.04,3,1,2,有,無,2980000,22569,0,006
房地(土地+建物)+車位,吳鳳南路166巷91~120號,1090822,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),28,132.04,3,2,2,有,有,3750000,28400,0,006
土地,湖子內段湖美小段241~270地號,1060209,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,5707146,31800,0,007
土地,湖子內段湖美小段241~270地號,1090512,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,7220000,40230,0,007
