交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物)+車位,新竹縣竹北市光明六路東二段91~120號,1070331,土地1建物1車位2,十六層,十九層,住宅大樓(11層含以上有電梯),2,300.58000000000004,4,2,3,有,有,27140000,106133,2600000,0001
房地(土地+建物)+車位,光明六路東二段91~120號,1091008,土地1建物1車位2,十六層,十九層,住宅大樓(11層含以上有電梯),5,300.58000000000004,4,2,3,有,有,28400000,94484,0,0001
房地(土地+建物)+車位,新竹縣竹北市光明十八街61~90號,1021119,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),0,136.55,2,2,1,有,有,6020000,54536,880000,0002
房地(土地+建物)+車位,光明十八街61~90號,1091031,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),7,136.55,2,2,1,有,有,8080000,59172,0,0002
房地(土地+建物)+車位,新竹縣竹北市聯發街1~30號,1041015,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),0,172.32999999999998,3,2,2,有,有,9800000,56868,0,0003
房地(土地+建物)+車位,聯發街1~30號,1091103,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),5,172.32999999999998,3,2,2,有,有,12500000,72535,0,0003
房地(土地+建物)+車位,新竹縣竹北市新國里新溪街1~30號,1050510,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),0,172.93,3,2,2,有,有,9160000,57131,880000,0004
房地(土地+建物)+車位,新溪街1~30號,1090831,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),4,172.93,3,2,2,有,有,11500000,66501,0,0004
房地(土地+建物)+車位,新竹縣竹北市新工五路1~30號,1010818,土地1建物1車位1,六層,十層,華廈(10層含以下有電梯),1,122.64,3,2,2,有,無,3236000,30759,500000,0005
