編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPTPMLOJJIPFFBJ98DA,坡道平面,0,42.30,地下二樓
RPRNMLKKJIPFFBJ28DA,坡道平面,0,,地下三樓
RPQNMLKLIIPFFBJ18DA,坡道平面,0,34.68,地下二樓
RPQNMLKLIIPFFBJ18DA,坡道平面,0,34.68,地下二樓
RPSSMLOLJIPFFBJ76DA,坡道平面,1400000,38.62,地下一樓
RPUSMLOLJIPFFBJ96DA,坡道平面,1300000,38.62,地下一樓
RPTSMLOLJIPFFBJ86DA,坡道平面,1300000,38.62,地下一樓
RPXOMLNKJIPFFBJ66DA,坡道平面,0,39.61,地下一樓
RPSQMLNKJIPFFBJ98DA,坡道平面,1300000,27.20,地下二樓
RPSQMLNKJIPFFBJ98DA,坡道平面,1300000,27.20,地下二樓
RPSQMLNKJIPFFBJ98DA,坡道平面,1300000,27.20,地下二樓
RPWOMLNKJIPFFBJ56DA,坡道平面,0,39.61,地下一樓
RPVOMLNKJIPFFBJ09DA,坡道平面,0,39.61,地下三樓
RPUNMLKLJIPFFBJ68DA,坡道平面,950000,26.90,地下一樓
RPTRMLKLJIPFFBJ98DA,坡道平面,1120000,32.07,地下二樓
RPXOMLMJKIPFFBJ56DA,坡道平面,1120000,32.07,地下二樓
RPUPMLMJKIPFFBJ98DA,坡道平面,0,32.07,地下三樓
RPUPMLMJKIPFFBJ98DA,坡道平面,0,32.07,地下三樓
RPOPMLMJKIPFFBJ38DA,坡道平面,1120000,32.07,地下二樓
RPSPMLMJKIPFFBJ78DA,坡道平面,0,32.07,地下三樓
RPSPMLMJKIPFFBJ78DA,坡道平面,0,32.07,地下三樓
RPRPMLMJKIPFFBJ68DA,坡道平面,980000,32.07,地下三樓
RPQPMLMJKIPFFBJ58DA,坡道平面,980000,32.07,地下三樓
RPWPMLMJKIPFFBJ56DA,坡道平面,980000,32.07,地下三樓
RPTPMLMJKIPFFBJ88DA,坡道平面,980000,32.07,地下三樓
RPPPMLMJKIPFFBJ48DA,坡道平面,980000,32.07,地下三樓
RPXPMLMJKIPFFBJ66DA,坡道平面,1120000,32.07,地下二樓
RPPQMLMJKIPFFBJ58DA,坡道平面,1120000,32.07,地下二樓
RPOQMLMJKIPFFBJ48DA,坡道平面,980000,32.07,地下三樓
RPVPMLMJKIPFFBJ09DA,坡道平面,1300000,34.81,地下一樓
RPUQMLMJKIPFFBJ09DA,坡道平面,980000,32.07,地下三樓
RPTQMLMJKIPFFBJ98DA,坡道平面,1120000,32.07,地下二樓
RPSQMLMJKIPFFBJ88DA,坡道平面,0,30.98,地下一樓
RPSQMLMJKIPFFBJ88DA,坡道平面,0,32.07,地下一樓
RPRQMLMJKIPFFBJ78DA,坡道平面,980000,32.07,地下三樓
RPORMLMJKIPFFBJ58DA,坡道平面,0,32.07,地下二樓
RPORMLMJKIPFFBJ58DA,坡道平面,0,32.07,地下二樓
RPXQMLMJKIPFFBJ76DA,坡道平面,1120000,32.07,地下二樓
RPPRMLMJKIPFFBJ68DA,坡道平面,1120000,32.07,地下二樓
RPVQMLMJKIPFFBJ56DA,坡道平面,1120000,32.07,地下二樓
RPSRMLMJKIPFFBJ98DA,坡道平面,1250000,32.07,地下一樓
RPWQMLMJKIPFFBJ66DA,坡道平面,980000,32.07,地下三樓
RPRRMLMJKIPFFBJ88DA,坡道平面,980000,32.07,地下三樓
RPTRMLMJKIPFFBJ09DA,坡道平面,1250000,32.07,地下一樓
RPURMLMJKIPFFBJ56DA,坡道平面,980000,32.07,地下三樓
RPQRMLMJKIPFFBJ78DA,坡道平面,1250000,32.07,地下一樓
RPSSMLMJKIPFFBJ09DA,坡道平面,1020000,30.98,地下二樓
RPQSMLMJKIPFFBJ88DA,坡道平面,980000,32.07,地下三樓
RPVRMLMJKIPFFBJ66DA,坡道平面,1250000,32.07,地下一樓
RPWRMLMJKIPFFBJ76DA,坡道平面,980000,32.07,地下三樓
