鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
湖口鄉,房地(土地+建物)+車位,中義段241~270地號,14.95,商,,,1090213,土地1建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.54,2,2,1,有,無,5360000,50086,坡道平面,28.5,700000,,RPROMLRLJHGGFDJ48CB
湖口鄉,房地(土地+建物)+車位,中義段241~270地號,14.95,商,,,1071130,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.54,2,2,1,有,無,5230000,49764,坡道平面,28.5,600000,,RPSOMLRLJHGGFDJ58CB
湖口鄉,房地(土地+建物)+車位,中義段241~270地號,14.95,商,,,1080103,土地1建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.44,2,2,1,有,無,5000000,47829,坡道平面,27.4,550000,,RPTOMLRLJHGGFDJ68CB
湖口鄉,房地(土地+建物)+車位,中義段241~270地號,14.95,商,,,1080917,土地1建物1車位1,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.54,2,2,1,有,無,5170000,48044,坡道平面,28.5,700000,,RPUOMLRLJHGGFDJ78CB
湖口鄉,房地(土地+建物)+車位,中義段241~270地號,14.95,商,,,1080624,土地1建物1車位1,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,120.44,2,2,1,有,無,5100000,47829,坡道平面,27.4,650000,,RPVOMLRLJHGGFDJ88CB
湖口鄉,房地(土地+建物)+車位,中義段241~270地號,14.95,商,,,1080917,土地1建物1車位1,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.54,2,2,1,有,無,5170000,48044,坡道平面,28.5,700000,,RPWOMLRLJHGGFDJ98CB
湖口鄉,房地(土地+建物)+車位,中義段241~270地號,14.95,商,,,1081219,土地1建物1車位1,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.54,2,2,1,有,無,5160000,48474,坡道平面,28.5,650000,,RPXOMLRLJHGGFDJ09CB
湖口鄉,房地(土地+建物)+車位,中義段241~270地號,14.95,商,,,1090113,土地1建物1車位1,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.54,2,2,1,有,無,5500000,51591,坡道平面,28.5,700000,,RPOPMLRLJHGGFDJ28CB
湖口鄉,房地(土地+建物)+車位,中義段241~270地號,14.95,商,,,1090120,土地1建物1車位1,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,121.54,2,2,1,有,無,5100000,48366,坡道平面,28.5,600000,,RPPPMLRLJHGGFDJ38CB
