編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPROMLRLJHGGFDJ48CB,中義段,14.95,都市：商,10000,37,持分移轉
RPSOMLRLJHGGFDJ58CB,中義段,14.95,都市：商,10000,37,持分移轉
RPTOMLRLJHGGFDJ68CB,中義段,14.95,都市：商,10000,37,持分移轉
RPXOMLRLJHGGFDJ09CB,中義段,14.95,都市：商,10000,37,持分移轉
RPOPMLRLJHGGFDJ28CB,中義段,14.95,都市：商,10000,37,持分移轉
RPVOMLRLJHGGFDJ88CB,中義段,14.95,都市：商,10000,37,持分移轉
RPUOMLRLJHGGFDJ78CB,中義段,14.95,都市：商,10000,37,持分移轉
RPPPMLRLJHGGFDJ38CB,中義段,14.95,都市：商,10000,37,持分移轉
RPWOMLRLJHGGFDJ98CB,中義段,14.95,都市：商,10000,37,持分移轉
RPQPMLRLJHGGFDJ48CB,中義段,14.95,都市：商,10000,37,持分移轉
RPTPMLRLJHGGFDJ78CB,中義段,16.16,都市：商,10000,40,持分移轉
RPUPMLRLJHGGFDJ88CB,中義段,16.16,都市：商,10000,40,持分移轉
RPOQMLRLJHGGFDJ38CB,中義段,16.16,都市：商,10000,40,持分移轉
RPSPMLRLJHGGFDJ68CB,中義段,16.16,都市：商,10000,40,持分移轉
RPVPMLRLJHGGFDJ98CB,中義段,16.16,都市：商,10000,40,持分移轉
RPPQMLRLJHGGFDJ48CB,中義段,16.16,都市：商,10000,40,持分移轉
RPXPMLRLJHGGFDJ56CB,中義段,16.16,都市：商,10000,40,持分移轉
RPQQMLRLJHGGFDJ58CB,中義段,16.16,都市：商,10000,40,持分移轉
RPWPMLRLJHGGFDJ09CB,中義段,16.16,都市：商,10000,40,持分移轉
RPRQMLRLJHGGFDJ68CB,中義段,16.16,都市：商,10000,40,持分移轉
RPSQMLRLJHGGFDJ78CB,中義段,22.22,都市：商,10000,55,持分移轉
RPTQMLRLJHGGFDJ88CB,中義段,22.22,都市：商,10000,55,持分移轉
RPWQMLRLJHGGFDJ56CB,中義段,22.22,都市：商,10000,55,持分移轉
RPUQMLRLJHGGFDJ98CB,中義段,22.22,都市：商,10000,55,持分移轉
RPXQMLRLJHGGFDJ66CB,中義段,22.22,都市：商,10000,55,持分移轉
RPVQMLRLJHGGFDJ09CB,中義段,22.22,都市：商,10000,55,持分移轉
RPRRMLRLJHGGFDJ78CB,中義段,22.22,都市：商,10000,55,持分移轉
RPORMLRLJHGGFDJ48CB,中義段,22.22,都市：商,10000,55,持分移轉
RPPRMLRLJHGGFDJ58CB,中義段,22.22,都市：商,10000,55,持分移轉
RPQRMLRLJHGGFDJ68CB,中義段,22.22,都市：商,10000,55,持分移轉
RPSRMLRLJHGGFDJ88CB,中義段,22.62,都市：商,10000,56,持分移轉
RPTRMLRLJHGGFDJ98CB,中義段,22.62,都市：商,10000,56,持分移轉
RPURMLRLJHGGFDJ09CB,中義段,22.62,都市：商,10000,56,持分移轉
RPVRMLRLJHGGFDJ56CB,中義段,22.62,都市：商,10000,56,持分移轉
RPWRMLRLJHGGFDJ66CB,中義段,22.62,都市：商,10000,56,持分移轉
RPOSMLRLJHGGFDJ58CB,中義段,22.62,都市：商,10000,56,持分移轉
RPXRMLRLJHGGFDJ76CB,中義段,22.62,都市：商,10000,56,持分移轉
RPQSMLRLJHGGFDJ78CB,中義段,22.62,都市：商,10000,56,持分移轉
RPUSMLRLJHGGFDJ56CB,中義段,22.62,都市：商,10000,56,持分移轉
RPTSMLRLJHGGFDJ09CB,中義段,22.62,都市：商,10000,56,持分移轉
RPPSMLRLJHGGFDJ68CB,中義段,22.62,都市：商,10000,56,持分移轉
RPSSMLRLJHGGFDJ98CB,中義段,22.62,都市：商,10000,56,持分移轉
RPWSMLRLJHGGFDJ76CB,中義段,22.62,都市：商,10000,56,持分移轉
RPVSMLRLJHGGFDJ66CB,中義段,22.62,都市：商,10000,56,持分移轉
RPXSMLRLJHGGFDJ86CB,中義段,22.62,都市：商,10000,56,持分移轉
RPOTMLRLJHGGFDJ68CB,中義段,22.62,都市：商,10000,56,持分移轉
RPQTMLRLJHGGFDJ88CB,中義段,22.62,都市：商,10000,56,持分移轉
RPPTMLRLJHGGFDJ78CB,中義段,22.62,都市：商,10000,56,持分移轉
RPRTMLRLJHGGFDJ98CB,中義段,22.62,都市：商,10000,56,持分移轉
RPUTMLRLJHGGFDJ66CB,中義段,19.39,都市：商,10000,48,持分移轉
RPTTMLRLJHGGFDJ56CB,中義段,19.39,都市：商,10000,48,持分移轉
RPSTMLRLJHGGFDJ09CB,中義段,19.39,都市：商,10000,48,持分移轉
RPVTMLRLJHGGFDJ76CB,中義段,19.39,都市：商,10000,48,持分移轉
