編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPROMLRLJHGGFDJ48CB,坡道平面,700000,28.50,
RPSOMLRLJHGGFDJ58CB,坡道平面,600000,28.50,
RPTOMLRLJHGGFDJ68CB,坡道平面,550000,27.40,
RPXOMLRLJHGGFDJ09CB,坡道平面,650000,28.50,
RPOPMLRLJHGGFDJ28CB,坡道平面,700000,28.50,
RPVOMLRLJHGGFDJ88CB,坡道平面,650000,27.40,
RPUOMLRLJHGGFDJ78CB,坡道平面,700000,28.50,
RPPPMLRLJHGGFDJ38CB,坡道平面,600000,28.50,
RPWOMLRLJHGGFDJ98CB,坡道平面,700000,28.50,
RPQPMLRLJHGGFDJ48CB,坡道平面,600000,28.50,
RPTPMLRLJHGGFDJ78CB,坡道平面,700000,28.50,
RPUPMLRLJHGGFDJ88CB,坡道平面,550000,27.40,
RPOQMLRLJHGGFDJ38CB,坡道平面,550000,27.40,
RPSPMLRLJHGGFDJ68CB,坡道平面,600000,28.50,
RPVPMLRLJHGGFDJ98CB,坡道平面,650000,28.50,
RPPQMLRLJHGGFDJ48CB,坡道平面,600000,28.50,
RPXPMLRLJHGGFDJ56CB,坡道平面,600000,28.50,
RPQQMLRLJHGGFDJ58CB,坡道平面,700000,28.50,
RPWPMLRLJHGGFDJ09CB,坡道平面,600000,28.50,
RPRQMLRLJHGGFDJ68CB,坡道平面,600000,28.50,
RPSQMLRLJHGGFDJ78CB,坡道平面,700000,28.50,
RPTQMLRLJHGGFDJ88CB,坡道平面,650000,28.50,
RPWQMLRLJHGGFDJ56CB,坡道平面,750000,28.50,
RPUQMLRLJHGGFDJ98CB,坡道平面,600000,28.50,
RPXQMLRLJHGGFDJ66CB,坡道平面,600000,28.50,
RPVQMLRLJHGGFDJ09CB,坡道平面,600000,28.50,
RPRRMLRLJHGGFDJ78CB,坡道平面,600000,28.50,
RPORMLRLJHGGFDJ48CB,坡道平面,700000,28.50,
RPPRMLRLJHGGFDJ58CB,坡道平面,700000,28.50,
RPQRMLRLJHGGFDJ68CB,坡道平面,700000,28.50,
RPSRMLRLJHGGFDJ88CB,坡道平面,700000,27.40,
RPTRMLRLJHGGFDJ98CB,坡道平面,650000,28.50,
RPURMLRLJHGGFDJ09CB,坡道平面,800000,28.50,
RPVRMLRLJHGGFDJ56CB,坡道平面,600000,28.50,
RPWRMLRLJHGGFDJ66CB,坡道平面,800000,28.50,
RPOSMLRLJHGGFDJ58CB,坡道平面,700000,28.50,
RPXRMLRLJHGGFDJ76CB,坡道平面,650000,28.50,
RPQSMLRLJHGGFDJ78CB,坡道平面,700000,28.50,
RPUSMLRLJHGGFDJ56CB,坡道平面,850000,28.50,
RPTSMLRLJHGGFDJ09CB,坡道平面,700000,28.50,
RPPSMLRLJHGGFDJ68CB,坡道平面,750000,28.50,
RPSSMLRLJHGGFDJ98CB,坡道平面,700000,28.50,
RPWSMLRLJHGGFDJ76CB,坡道平面,750000,28.50,
RPVSMLRLJHGGFDJ66CB,坡道平面,650000,28.50,
RPXSMLRLJHGGFDJ86CB,坡道平面,850000,28.50,
RPOTMLRLJHGGFDJ68CB,坡道平面,700000,28.50,
RPQTMLRLJHGGFDJ88CB,坡道平面,600000,28.50,
RPPTMLRLJHGGFDJ78CB,坡道平面,600000,28.50,
RPRTMLRLJHGGFDJ98CB,坡道平面,700000,28.50,
RPUTMLRLJHGGFDJ66CB,坡道平面,700000,28.50,
RPTTMLRLJHGGFDJ56CB,坡道平面,600000,28.50,
RPSTMLRLJHGGFDJ09CB,坡道平面,550000,27.40,
