編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOOMLOKKIPFFDJ88CC,15,156.27,住家用,鋼筋混凝土造,94年8月22日,三層,
RPPOMLOKKIPFFBJ78CC,3,99.28,住家用,鋼筋混凝土造,106年10月30日,十四層,
RPPOMLOKKIPFFBJ78CC,3,73.21,見其他登記事項,鋼筋混凝土造,106年10月30日,十四層,
RPWPMLOKKIPFFBJ96CC,13,119.27,住家用,鋼筋混凝土造,96年12月7日,十四層,
RPWPMLOKKIPFFBJ96CC,13,20.71,共用部分,鋼筋混凝土造,96年12月7日,十四層,
RPWPMLOKKIPFFBJ96CC,13,91.82,共用部分,鋼筋混凝土造,96年12月7日,十四層,
RPWPMLOKKIPFFBJ96CC,13,.07,見其他登記事項,鋼筋混凝土造,96年12月7日,十四層,
RPQOMLOKKIPFFBJ88CC,11,52.11,商業用,鋼筋混凝土造,99年2月8日,十八層,
RPQOMLOKKIPFFBJ88CC,11,48.01,共用部分,鋼筋混凝土造,99年2月8日,十八層,
RPSNMLOKKIPFFBJ98CC,1,250.51,見其他登記事項,見其他登記事項,108年9月6日,三層,
RPSNMLOKKIPFFBJ98CC,1,88.23,住商用,見其他登記事項,108年9月6日,三層,
RPSNMLOKKIPFFBJ98CC,1,83.87,見其他登記事項,見其他登記事項,108年9月6日,三層,
RPQNMLOKKIPFFBJ78CC,1,220.75,住商用,鋼筋混凝土造,108年10月3日,十九層,
RPQNMLOKKIPFFBJ78CC,1,86.15,本共有部分之項目有防空避難室兼停車空間、消防機房、停車空間、電信室、台電配電室、辦公室、公共服務空間、管委會使用空間、排煙室、梯廳、水箱、機械室、樓梯間等十三項。,鋼筋混凝土造,108年10月3日,十九層,
RPWOMLOKKIPFFBJ86CC,9,44.44,住商用,鋼筋混凝土造,101年4月9日,五層,
RPTNMLRKKIPFFDJ96CC,12,38070.91,防空避難室、停車空間、工廠、辦公室、機械室,鋼骨鋼筋混凝土造,98年4月5日,七層,
RPTNMLRKKIPFFDJ96CC,12,19.29,守衛室,鋼骨鋼筋混凝土造,98年4月5日,一層,
RPTNMLRKKIPFFDJ96CC,12,430.21,機械室,鋼骨鋼筋混凝土造,98年4月5日,二層,
RPTNMLRKKIPFFDJ96CC,12,648.54,機械室,鋼骨鋼筋混凝土造,98年4月5日,三層,
RPTNMLRKKIPFFDJ96CC,12,91.88,儲藏室,鋼骨鋼筋混凝土造,98年4月5日,一層,
RPTNMLRKKIPFFDJ96CC,9,6600.23,倉庫、守衛室、機械室,鋼骨造、鋼筋混凝土造,100年10月13日,七層,
RPTNMLRKKIPFFDJ96CC,9,6469.84,工廠、機械室,鋼骨造、鋼筋混凝土造,100年10月13日,七層,
RPTNMLRKKIPFFDJ96CC,9,5488.35,工廠、機械室,鋼骨造、鋼筋混凝土造,100年10月13日,七層,
RPTNMLRKKIPFFDJ96CC,9,5437.52,工廠、機械室,鋼骨造、鋼筋混凝土造,100年10月13日,七層,
RPTNMLRKKIPFFDJ96CC,9,5423.45,工廠、機械室,鋼骨造、鋼筋混凝土造,100年10月13日,七層,
RPTNMLRKKIPFFDJ96CC,9,2970.54,附屬辦公室、機械室,鋼骨造、鋼筋混凝土造,100年10月13日,七層,
RPTNMLRKKIPFFDJ96CC,12,630.03,儲藏室,鋼骨鋼筋混凝土造,98年4月5日,一層,
RPPOMLRKKIPFFBJ09CC,11,205.80,住家用,鋼筋混凝土造,98年6月26日,十五層,
RPPOMLRKKIPFFBJ09CC,11,59.09,共用部分,鋼筋混凝土造,98年6月26日,十五層,
RPPOMLRKKIPFFBJ09CC,11,88.58,共用部分,鋼筋混凝土造,98年6月26日,十五層,
RPPOMLRKKIPFFBJ09CC,11,.14,住家用,鋼筋混凝土造,98年6月26日,十五層,
RPUNMLLLKIPFFBJ98CC,17,92.76,住家用,鋼筋混凝土造,93年5月3日,五層,
RPUNMLLLKIPFFBJ98CC,17,53.96,共用部分,鋼筋混凝土造,93年5月3日,五層,
RPUUMLRKKIPFFBJ57CC,11,52.11,商業用,鋼筋混凝土造,99年2月8日,十八層,
RPUUMLRKKIPFFBJ57CC,11,48.01,共用部分,鋼筋混凝土造,99年2月8日,十八層,
RPUNMLPKKIPFFDJ86CC,5,20.27,見其他登記事項,鋼筋混凝土造,104年8月21日,四層,
RPSOMLLLKIPFFDJ09CC,5,20.27,見其他登記事項,鋼筋混凝土造,104年8月21日,四層,
RPRNMLRKKIPFFDJ76CC,,58.50,住家用,鋼筋混凝土造,,四層,
RPWOMLOKKIPFFCJ96CC,28,78.96,住家用,鋼筋混凝土造,82年1月6日,六層,
RPWOMLOKKIPFFCJ96CC,28,25.50,共有部分,鋼筋混凝土造,82年1月6日,六層,
RPVPMLMLKIPFFBJ76CC,9,86.10,住家用,鋼筋混凝土造,101年5月1日,五層,
RPXPMLMLKIPFFBJ96CC,,79.18,住家用,鋼筋混凝土造,,五層,
RPXPMLMLKIPFFBJ96CC,,11.66,共用部分,鋼筋混凝土造,,五層,
RPVPMLMLKIPFFBJ76CC,9,16.15,見其他登記事項,鋼筋混凝土造,101年5月1日,五層,
RPVPMLMLKIPFFBJ76CC,9,41.51,見其他登記事項,鋼筋混凝土造,101年5月1日,五層,
RPWPMLMLKIPFFBJ86CC,21,217.30,住家用,鋼筋混凝土造,88年11月19日,三層,
RPWPMLMLKIPFFBJ86CC,21,25.31,共用部分,鋼筋混凝土造,88年11月19日,三層,
RPPPMLMLKIPFFCJ88CC,13,91.94,住家用,鋼筋混凝土造,96年12月24日,十二層,
RPPPMLMLKIPFFCJ88CC,13,13.22,共有部分,鋼筋混凝土造,96年12月24日,十二層,
RPPPMLMLKIPFFCJ88CC,13,22.11,共有部分,鋼筋混凝土造,96年12月24日,十二層,
RPTNMLNLKIPFFDJ66CC,32,152.35,住家用,加強磚造,77年7月8日,二層,
RPRNMLTLKIPFFDJ07CC,17,18.76,見其他登記事項,鋼筋混凝土造,93年3月30日,七層,
RPSNMLTLKIPFFDJ17CC,17,18.76,見其他登記事項,鋼筋混凝土造,93年3月30日,七層,
RPVPMLNLKIPFFBJ86CC,5,68.01,住家用,鋼筋混凝土造,105年1月26日,二十四層,
RPVPMLNLKIPFFBJ86CC,5,64.73,見其他登記事項,鋼筋混凝土造,105年1月26日,二十四層,
RPWNMLPLKIPFFCJ07CC,4,69.66,見其他登記事項,鋼筋混凝土造,105年10月5日,十二層,
RPWNMLPLKIPFFCJ07CC,4,35.08,見其他登記事項,鋼筋混凝土造,105年10月5日,十二層,
RPPNMLKMKIPFFBJ48CC,14,20.35,商業用,鋼筋混凝土造,95年8月21日,七層,
RPPNMLKMKIPFFBJ48CC,14,15.23,共用部分,鋼筋混凝土造,95年8月21日,七層,
RPVPMLLMKIPFFBJ76CC,8,193.56,住家用,鋼筋混凝土造,101年8月24日,二十三層,
RPVPMLLMKIPFFBJ76CC,8,119.82,見其他登記事項,鋼筋混凝土造,101年8月24日,二十三層,
RPWPMLLMKIPFFBJ86CC,13,206.43,商業用,鋼筋混凝土造,96年12月4日,十三層,
RPWPMLLMKIPFFBJ86CC,13,34.26,共用部分,鋼筋混凝土造,96年12月4日,十三層,
RPWPMLLMKIPFFBJ86CC,13,51.44,共用部分,鋼筋混凝土造,96年12月4日,十三層,
RPVNMLPJJHGGFDJ48CC,28,96.96,住家用,鋼筋混凝土造,81年12月7日,五層,
RPVNMLPJJHGGFDJ48CC,28,18.04,共有部分,鋼筋混凝土造,81年12月7日,五層,
RPPQMLOLKIPFFBJ09CC,14,628.05,商業用,鋼筋混凝土造,96年5月28日,二十三層,
RPPQMLOLKIPFFBJ09CC,14,41.87,共用部分,鋼筋混凝土造,96年5月28日,二十三層,
RPPQMLOLKIPFFBJ09CC,14,55.39,共用部分,鋼筋混凝土造,96年5月28日,二十三層,
RPUPMLQJJHGGFBJ48CC,6,93.83,住家用,鋼筋混凝土造,103年10月9日,十九層,
