編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPOOMLOKKIPFFDJ88CC,永安段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPOOMLOKKIPFFDJ88CC,永安段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPOOMLOKKIPFFDJ88CC,永安段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPOOMLOKKIPFFDJ88CC,永安段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPPOMLOKKIPFFBJ78CC,台科段,.00,都市：住,,,
RPWPMLOKKIPFFBJ96CC,永興段,.00,都市：住,,,
RPQOMLOKKIPFFBJ88CC,世興段,.00,都市：商,,,
RPSNMLOKKIPFFBJ98CC,莊敬段,652.64,都市：住,,,
RPSNMLOKKIPFFBJ98CC,莊敬段,604.92,都市：住,,,
RPQNMLOKKIPFFBJ78CC,永興段,.00,都市：住,,,
RPWOMLOKKIPFFBJ86CC,省道段,144.59,都市：商,,,
RPWOMLOKKIPFFBJ86CC,省道段,14.54,都市：商,,,
RPTNMLRKKIPFFDJ96CC,中興段新興小段,3013.02,非都市：工業區 ; 非都市編定：丁種建築用地,,,
RPTNMLRKKIPFFDJ96CC,中興段新興小段,3013.02,非都市：工業區 ; 非都市編定：丁種建築用地,,,
RPPOMLRKKIPFFBJ09CC,家興段,.00,都市：住,,,
RPUNMLLLKIPFFBJ98CC,公園段,.00,都市：住,,,
RPUUMLRKKIPFFBJ57CC,世興段,.00,都市：商,,,
RPUNMLPKKIPFFDJ86CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPSOMLLLKIPFFDJ09CC,竹九段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPRNMLRKKIPFFDJ76CC,建興段鳳凰小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,
RPRNMLRKKIPFFDJ76CC,建興段鳳凰小段,.00,非都市：工業區 ; 非都市編定：丁種建築用地,,,
RPWOMLOKKIPFFCJ96CC,志學段,.00,都市：住,,,
RPWOMLOKKIPFFCJ96CC,志學段,.00,都市：住,,,
RPVPMLMLKIPFFBJ76CC,新庄子段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,
RPXPMLMLKIPFFBJ96CC,社北段,.00,都市：住,,,
RPWPMLMLKIPFFBJ86CC,社北段,.00,都市：農,,,
RPWPMLMLKIPFFBJ86CC,社北段,.00,都市：農,,,
RPPPMLMLKIPFFCJ88CC,竹東段番社子小段,.00,都市：住,,,
RPTNMLNLKIPFFDJ66CC,北湖段,.00,都市：住,,,
RPTNMLNLKIPFFDJ66CC,北湖段,.00,都市：住,,,
RPTNMLNLKIPFFDJ66CC,北湖段,.00,都市：住,,,
RPRNMLTLKIPFFDJ07CC,長威段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,
RPSNMLTLKIPFFDJ17CC,長威段,.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,,,
RPVPMLNLKIPFFBJ86CC,水瀧段,.00,都市：商,,,
RPWNMLPLKIPFFCJ07CC,竹東段竹東小段,.00,都市：住,,,
