編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPXNMLTJKIPFFBK27DA,一樓平面,0,,一樓
RPPPMLSJKIPFFBK56DA,一樓平面,0,,一樓
RPOPMLSJKIPFFBK09DA,一樓平面,0,,一樓
RPXOMLSJKIPFFBK27DA,一樓平面,0,,一樓
RPQNMLTJKIPFFBK56DA,一樓平面,0,,一樓
RPSNMLOJKIPFFDK09DA,坡道平面,0,16.85,地下一樓
RPWNMLTJKIPFFBK17DA,一樓平面,0,,一樓
RPSNMLTJKIPFFBK76DA,一樓平面,0,,一樓
RPUNMLTJKIPFFBK96DA,一樓平面,0,,一樓
RPRNMLTJKIPFFBK66DA,一樓平面,0,,一樓
RPTNMLTJKIPFFBK86DA,一樓平面,0,,一樓
RPRNMLLKJIPFFFK88DA,坡道平面,1300000,30.54,地下二樓
RPXNMLOJKIPFFFK17DA,升降平面,0,27.51,地下二樓
RPRNMLOJJIPFFFK09DA,坡道平面,1050000,35.43,地下二樓
RPTNMLRLJIPFFFK17DA,坡道平面,900000,32.22,地下三樓
RPRNMLSJKIPFFFK96DA,一樓平面,0,,一樓
RPSOMLMJJIPFFFK09DA,坡道平面,1050000,35.43,地下二樓
RPRPMLOLRHPFFFK57DA,坡道平面,1050000,35.43,地下二樓
RPSNMLSJKIPFFFK07DA,坡道平面,1100000,,地下一樓
RPUNMLRLJIPFFFK27DA,坡道平面,1000000,32.22,地下一樓
RPSOMLRLJIPFFFK17DA,坡道平面,950000,32.22,地下二樓
RPUNMLSJKIPFFFK27DA,坡道平面,1100000,,地下一樓
RPSOMLLJKIPFFFK09DA,坡道平面,900000,32.22,地下三樓
RPWNMLRLJIPFFFK47DA,坡道平面,950000,33.39,地下二樓
RPOPMLOLJIPFFFK56DA,坡道機械,550000,9.91,地下一樓
RPWOMLOLJIPFFFK27DA,坡道平面,0,29.01,地下二樓
RPWNMLSKJIPFFFK47DA,坡道機械,0,9.96,地下二樓
RPOOMLTJKIPFFBK09DA,一樓平面,0,,一樓
RPUNMLKKKIPFFBK78DA,坡道機械,0,,地下一樓
RPPNMLSJKIPFFBK98DA,升降機械,0,,一樓
RPVNMLOKKIPFFBK66DA,坡道平面,0,25.18,地下一樓
RPTNMLOKKIPFFBK09DA,升降機械,0,5.74,地下一樓
RPOOMLTJKIPFFDK76EA,一樓平面,0,,一樓
RPWNMLPLJIPFFDK07DA,一樓平面,1000000,,一樓
RPPOMLPJJIPFFDK88DA,坡道平面,0,28.25,地下二樓
RPXNMLOJJIPFFFK07DA,坡道機械,0,13.34,地下三樓
RPUNMLRKJIPFFFK17DA,坡道平面,0,,地下一樓
RPTNMLKMJIPFFFK56DA,坡道平面,0,,地下一樓
RPTNMLOJKIPFFFK76DA,坡道平面,0,30.24,地下一樓
RPTNMLOJKIPFFFK76DA,坡道平面,0,30.24,地下一樓
RPPNMLKKKIPFFFK68DA,坡道平面,0,,一樓
RPSNMLRJKIPFFFK96DA,坡道平面,1200000,29.00,地下二樓
RPOOMLTKJIPFFFK86DA,坡道平面,900000,38.09,地下一樓
RPWNMLOLJIPFFFK17DA,坡道平面,0,,地下二樓
RPWNMLOKKIPFFEK07DA,一樓平面,0,,一樓
RPTNMLRLIIPFFFK07DA,坡道平面,1020000,39.06,地下一樓
RPOPMLMJKIPFFDK68DA,坡道平面,1100000,30.75,地下二樓
RPWOMLMJKIPFFDK76DA,坡道平面,1000000,30.75,地下二樓
RPVNMLNJKIPFFDK66DA,坡道平面,1100000,30.75,地下一樓
RPWNMLNJKIPFFDK76DA,坡道平面,1200000,30.75,地下一樓
RPROMLOLJIPFFFK76DA,坡道平面,1000000,40.31,地下一樓
RPPPMLMJKIPFFDK78DA,坡道平面,1050000,30.75,地下二樓
RPXOMLPJIIPFFFK17DA,坡道平面,900000,39.44,地下二樓
RPRPMLMJKIPFFDK98DA,坡道平面,1000000,30.75,地下三樓
