鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,35.48,住,,,1090608,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.38,4,2,2,有,無,6950000,49109,坡道平面,32.22,1000000,,RPVNMLTLJHGGFFK66CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,35.48,住,,,1080909,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.38,4,2,2,有,無,7120000,50512,坡道平面,32.22,1000000,,RPWNMLTLJHGGFFK76CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,35.48,住,,,1080923,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.38,4,2,2,有,無,7050000,49934,坡道平面,32.22,1000000,,RPXNMLTLJHGGFFK86CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,35.48,住,,,1080610,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.38,4,2,2,有,無,7300000,52410,坡道平面,32.22,950000,,RPOOMLTLJHGGFFK68CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,36.49,住,,,1080318,土地1建物1車位2,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.38,4,2,2,有,無,8150000,70272,坡道平面,64.44,1900000,,RPPOMLTLJHGGFFK78CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,35.48,住,,,1080527,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.38,4,2,2,有,無,7300000,51997,坡道平面,32.22,1000000,,RPQOMLTLJHGGFFK88CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,35.48,住,,,1080610,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.38,4,2,2,有,無,7250000,51997,坡道平面,32.22,950000,,RPVOMLTLJHGGFFK76CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,35.48,住,,,1080812,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.38,4,2,2,有,無,7290000,51915,坡道平面,32.22,1000000,,RPWOMLTLJHGGFFK86CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,36.49,住,,,1080506,土地1建物1車位2,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.38,4,2,2,有,無,8080000,69485,坡道平面,64.44,1900000,,RPXOMLTLJHGGFFK96CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,36.49,住,,,1081125,土地1建物1車位2,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.38,4,2,2,有,無,8150000,72171,坡道平面,66.78,1900000,,RPOPMLTLJHGGFFK78CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,35.48,住,,,1080913,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.38,4,2,2,有,無,7280000,52245,坡道平面,32.22,950000,,RPQPMLTLJHGGFFK98CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,35.48,住,,,1081209,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.38,4,2,2,有,無,7230000,51832,坡道平面,32.22,950000,,RPRPMLTLJHGGFFK09CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,35.48,住,,,1081230,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.38,4,2,2,有,無,7230000,51832,坡道平面,32.22,950000,,RPSPMLTLJHGGFFK56CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,35.48,住,,,1090608,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,153.38,4,2,2,有,無,7150000,51585,坡道平面,32.22,900000,,RPTPMLTLJHGGFFK66CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,27.37,住,,,1090810,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.59,3,2,2,有,無,5850000,54775,坡道平面,32.22,900000,,RPUPMLTLJHGGFFK76CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,27.37,住,,,1090727,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.59,3,2,2,有,無,5900000,54775,坡道平面,32.22,950000,,RPVPMLTLJHGGFFK86CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,27.37,住,,,1090120,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.59,3,2,2,有,無,5750000,53115,坡道平面,32.22,950000,,RPWPMLTLJHGGFFK96CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,27.37,住,,,1090720,土地1建物1車位1,五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.59,3,2,2,有,無,6000000,55328,坡道平面,32.22,1000000,,RPXPMLTLJHGGFFK07CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,27.37,住,,,1090217,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.59,3,2,2,有,無,5900000,54775,坡道平面,32.22,950000,,RPOQMLTLJHGGFFK88CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,27.37,住,,,1090720,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.59,3,2,2,有,無,5970000,55549,坡道平面,32.22,950000,,RPPQMLTLJHGGFFK98CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,27.37,住,,,1090706,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.59,3,2,2,有,無,6010000,55992,坡道平面,32.22,950000,,RPQQMLTLJHGGFFK09CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,27.37,住,,,1090720,土地1建物1車位1,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.59,3,2,2,有,無,6100000,56435,坡道平面,32.22,1000000,,RPRQMLTLJHGGFFK56CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,27.37,住,,,1090316,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.59,3,2,2,有,無,6180000,58072,坡道平面,33.39,1000000,,RPSQMLTLJHGGFFK66CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,27.37,住,,,1090622,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.59,3,2,2,有,無,5910000,54332,坡道平面,32.22,1000000,,RPTQMLTLJHGGFFK76CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,27.37,住,,,1090727,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.59,3,2,2,有,無,6130000,56767,坡道平面,32.22,1000000,,RPUQMLTLJHGGFFK86CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,27.37,住,,,1090727,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.59,3,2,2,有,無,6050000,56988,坡道平面,32.22,900000,,RPVQMLTLJHGGFFK96CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,27.37,住,,,1090316,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.59,3,2,2,有,無,6220000,58520,坡道平面,33.39,1000000,,RPWQMLTLJHGGFFK07CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,30.41,住,,,1090113,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.38,3,2,2,有,無,6100000,52975,坡道平面,32.22,900000,,RPXQMLTLJHGGFFK17CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,30.41,住,,,1090511,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.38,3,2,2,有,無,6000000,51956,坡道平面,32.22,900000,,RPORMLTLJHGGFFK98CB
頭份市,房地(土地+建物)+車位,仁愛段31~60地號,30.41,住,,,1090713,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.38,3,2,2,有,無,6200000,53484,坡道平面,32.22,950000,,RPPRMLTLJHGGFFK09CB
