編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPQOMLTLJHGGFFK88CB,仁愛段,34.46,都市：住,10000,34,持分移轉
RPQOMLTLJHGGFFK88CB,仁愛段,1.01,都市：住,10000,1,持分移轉
RPVNMLTLJHGGFFK66CB,仁愛段,34.46,都市：住,10000,34,持分移轉
RPVNMLTLJHGGFFK66CB,仁愛段,1.01,都市：住,10000,1,持分移轉
RPVOMLTLJHGGFFK76CB,仁愛段,34.46,都市：住,10000,34,持分移轉
RPVOMLTLJHGGFFK76CB,仁愛段,1.01,都市：住,10000,1,持分移轉
RPWNMLTLJHGGFFK76CB,仁愛段,34.46,都市：住,10000,34,持分移轉
RPWNMLTLJHGGFFK76CB,仁愛段,1.01,都市：住,10000,1,持分移轉
RPOOMLTLJHGGFFK68CB,仁愛段,34.46,都市：住,10000,34,持分移轉
RPOOMLTLJHGGFFK68CB,仁愛段,1.01,都市：住,10000,1,持分移轉
RPXNMLTLJHGGFFK86CB,仁愛段,34.46,都市：住,10000,34,持分移轉
RPXNMLTLJHGGFFK86CB,仁愛段,1.01,都市：住,10000,1,持分移轉
RPPOMLTLJHGGFFK78CB,仁愛段,34.46,都市：住,10000,34,持分移轉
RPPOMLTLJHGGFFK78CB,仁愛段,2.03,都市：住,10000,2,持分移轉
RPXOMLTLJHGGFFK96CB,仁愛段,34.46,都市：住,10000,34,持分移轉
RPXOMLTLJHGGFFK96CB,仁愛段,2.03,都市：住,10000,2,持分移轉
RPOPMLTLJHGGFFK78CB,仁愛段,34.46,都市：住,10000,34,持分移轉
RPOPMLTLJHGGFFK78CB,仁愛段,2.03,都市：住,10000,2,持分移轉
RPWOMLTLJHGGFFK86CB,仁愛段,34.46,都市：住,10000,34,持分移轉
RPWOMLTLJHGGFFK86CB,仁愛段,1.01,都市：住,10000,1,持分移轉
RPQPMLTLJHGGFFK98CB,仁愛段,34.46,都市：住,10000,34,持分移轉
RPQPMLTLJHGGFFK98CB,仁愛段,1.01,都市：住,10000,1,持分移轉
RPRPMLTLJHGGFFK09CB,仁愛段,34.46,都市：住,10000,34,持分移轉
RPRPMLTLJHGGFFK09CB,仁愛段,1.01,都市：住,10000,1,持分移轉
RPSPMLTLJHGGFFK56CB,仁愛段,34.46,都市：住,10000,34,持分移轉
RPSPMLTLJHGGFFK56CB,仁愛段,1.01,都市：住,10000,1,持分移轉
RPUPMLTLJHGGFFK76CB,仁愛段,26.35,都市：住,10000,26,持分移轉
RPUPMLTLJHGGFFK76CB,仁愛段,1.01,都市：住,10000,1,持分移轉
RPTPMLTLJHGGFFK66CB,仁愛段,34.46,都市：住,10000,34,持分移轉
RPTPMLTLJHGGFFK66CB,仁愛段,1.01,都市：住,10000,1,持分移轉
RPVPMLTLJHGGFFK86CB,仁愛段,26.35,都市：住,10000,26,持分移轉
RPVPMLTLJHGGFFK86CB,仁愛段,1.01,都市：住,10000,1,持分移轉
RPWPMLTLJHGGFFK96CB,仁愛段,26.35,都市：住,10000,26,持分移轉
RPWPMLTLJHGGFFK96CB,仁愛段,1.01,都市：住,10000,1,持分移轉
RPPQMLTLJHGGFFK98CB,仁愛段,26.35,都市：住,10000,26,持分移轉
RPPQMLTLJHGGFFK98CB,仁愛段,1.01,都市：住,10000,1,持分移轉
RPOQMLTLJHGGFFK88CB,仁愛段,26.35,都市：住,10000,26,持分移轉
RPOQMLTLJHGGFFK88CB,仁愛段,1.01,都市：住,10000,1,持分移轉
RPXPMLTLJHGGFFK07CB,仁愛段,26.35,都市：住,10000,26,持分移轉
RPXPMLTLJHGGFFK07CB,仁愛段,1.01,都市：住,10000,1,持分移轉
RPRQMLTLJHGGFFK56CB,仁愛段,26.35,都市：住,10000,26,持分移轉
RPRQMLTLJHGGFFK56CB,仁愛段,1.01,都市：住,10000,1,持分移轉
RPQQMLTLJHGGFFK09CB,仁愛段,26.35,都市：住,10000,26,持分移轉
RPQQMLTLJHGGFFK09CB,仁愛段,1.01,都市：住,10000,1,持分移轉
RPSQMLTLJHGGFFK66CB,仁愛段,26.35,都市：住,10000,26,持分移轉
RPSQMLTLJHGGFFK66CB,仁愛段,1.01,都市：住,10000,1,持分移轉
RPUQMLTLJHGGFFK86CB,仁愛段,26.35,都市：住,10000,26,持分移轉
RPUQMLTLJHGGFFK86CB,仁愛段,1.01,都市：住,10000,1,持分移轉
