編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPRNMLMJKHGGFBK77CC,五谷岡段,280.00,都市：工,,,
RPVNMLOJJHGGFBK28CC,恭敬段,19.83,都市：住,,,
RPVPMLRJJHGGFFK56CC,仁愛段,200.24,都市：工,,,
RPPNMLLKJHGGFBK47CC,苗栗段,12.94,都市：住,,,
RPWNMLPJJHGGFBK48CC,苗栗段,112.00,都市：住,,,
RPUNMLRJJHGGFDK68CC,大同段,71.36,都市：住,,,
RPUNMLRJJHGGFDK68CC,大同段,71.62,都市：住,,,
RPUNMLRJJHGGFDK68CC,大同段,110.13,都市：住,,,
RPTOMLLLJHGGFDK28CC,大同段,.00,都市：住,,,
RPUNMLMJKHGGFBK08CC,巨蛋段,1222.50,都市：住,,,
RPUOMLOLKHGGFDK78CC,龍天段,129.12,都市：工,,,
RPSOMLPJJHGGFDK38CC,維新段,133.63,都市：住,,,
RPUNMLTJLHGGFDK56DC,龍東段,37.51,都市：住,,,
RPRNMLPKKIPFFDK66CC,新博愛段,93.72,都市：住,,,
RPQNMLPKKIPFFDK56CC,新博愛段,93.72,都市：住,,,
RPRNMLPKKIPFFDK66CC,新博愛段,387.68,都市：住,,,
RPQNMLPKKIPFFDK56CC,新博愛段,387.68,都市：住,,,
