交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物)+車位,南投縣南投巿民族路121~150號,1011009,土地1建物1車位1,一層，二層，三層，四層，騎樓,四層,店面(店鋪),0,248.43,2,3,2,有,無,14100000,56756,0,0001
房地(土地+建物),民族路121~150號,1091101,土地1建物1車位0,全,四層,透天厝,8,248.43,4,3,4,有,無,18580000,74790,0,0001
土地,三塊厝段181~210地號,1031111,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,309000,1919,0,0002
土地,三塊厝段181~210地號,1041130,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,256312,1592,0,0002
土地,三塊厝段181~210地號,1090928,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,656880,8160,0,0002
房地(土地+建物),南投縣草屯鎮儒林街36巷1~30號,1061001,土地2建物1車位0,全,三層,透天厝,0,179.13,5,2,3,有,無,12000000,66990,0,0003
房地(土地+建物),儒林街36巷1~30號,1091111,土地2建物1車位0,全,三層,透天厝,3,179.13,4,3,3,有,無,10800000,60291,0,0003
房地(土地+建物),太平路二段91~120號,1091112,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),27,102.2,3,2,2,有,無,3300000,32290,0,0004
房地(土地+建物),太平路二段91~120號,1100106,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),27,102.2,3,2,2,有,無,4000000,39139,0,0004
房地(土地+建物)+車位,南投縣草屯鎮虎山路332巷31~60號,1040323,土地1建物1車位1,八層,十層,住宅大樓(11層含以上有電梯),19,183.88,3,2,3,有,有,4300000,23385,0,0005
房地(土地+建物)+車位,南投縣草屯鎮虎山路332巷31~60號,1090313,土地1建物1車位2,八層,十層,華廈(10層含以下有電梯),24,183.88,3,2,2,有,有,4800000,26104,0,0005
房地(土地+建物)+車位,虎山路332巷31~60號,1091115,土地1建物1車位2,八層,十層,華廈(10層含以下有電梯),25,183.88,3,2,2,有,有,5500000,29911,0,0005
房地(土地+建物),南投縣草屯鎮碧峰路501巷41弄1~30號,1051020,土地2建物1車位0,全,四層,透天厝,0,208.21,5,2,5,有,無,8000000,38423,0,0006
房地(土地+建物),南投縣草屯鎮碧峰路501巷41弄1~30號,1060106,土地2建物1車位0,全,四層,透天厝,0,208.21,5,2,5,有,無,8000000,38423,0,0006
房地(土地+建物),碧峰路501巷41弄1~30號,1091108,土地2建物1車位0,全,四層,透天厝,4,208.21,5,3,5,有,無,10500000,50430,0,0006
土地,新永安段691~720地號,1020312,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1200000,4248,0,0007
土地,新永安段691~720地號,1061020,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,4400000,15575,0,0007
土地,新永安段691~720地號,1080701,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,4850000,17168,0,0007
土地,新永安段691~720地號,1091114,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4920000,17416,0,0007
房地(土地+建物),裕農新村1~30號,1090812,土地1建物1車位0,全,二層,透天厝,40,93.32,5,1,2,有,無,1200000,12859,0,0008
房地(土地+建物),裕農新村1~30號,1091011,土地1建物1車位0,全,二層,透天厝,40,93.32,5,2,2,有,無,1380000,14788,0,0008
