編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPWNMLRLJIPFFAM17DA,牛運堀段,1.21,都市：其他:住宅區,24,1,持分移轉
RPWNMLRLJIPFFAM17DA,牛運堀段,1.21,都市：其他:住宅區,24,1,持分移轉
RPWNMLRLJIPFFAM17DA,牛運堀段,8.79,都市：其他:園道用地,24,1,持分移轉
RPWNMLRLJIPFFAM17DA,牛運堀段,8.79,都市：其他:園道用地,24,1,持分移轉
RPWNMLRLJIPFFAM17DA,牛運堀段,7.75,都市：其他:住宅區,24,1,持分移轉
RPWNMLRLJIPFFAM17DA,牛運堀段,7.75,都市：其他:住宅區,24,1,持分移轉
RPTNMLNKJIPFFAM98DA,三塊厝段,80.50,都市：其他:道路用地,2,1,持分移轉
RPPNMLRLJIPFFAM09DA,新豐段新豐小段,85.87,都市：其他:住宅區,1,1,全筆移轉
RPTNMLQLJIPFFAM76DA,新豐段新豐小段,88.78,都市：其他:住宅區,1,1,全筆移轉
RPUNMLRJKIPFFAM86DA,大崗段,20.22,非都市：工業區 ; 非都市編定：丁種建築用地,9,1,持分移轉
RPQOMLOJJIPFFAM78DA,包尾段,95.00,都市：其他:住宅區,1,1,全筆移轉
RPSNMLQLJIPFFAM66DA,新豐段新豐小段,78.07,都市：其他:住宅區,1,1,全筆移轉
RPQNMLRJKIPFFAM09DA,大崗段,10.11,非都市：工業區 ; 非都市編定：丁種建築用地,18,1,持分移轉
RPQNMLRJKIPFFAM09DA,大崗段,10.11,非都市：工業區 ; 非都市編定：丁種建築用地,18,1,持分移轉
RPRNMLRJKIPFFAM56DA,大崗段,20.22,非都市：工業區 ; 非都市編定：丁種建築用地,9,1,持分移轉
RPOPMLMJKIPFFAM58DA,南山段,23.74,都市：其他:第二種商業區,100000,2270,持分移轉
RPWOMLMJKIPFFAM66DA,南山段,18.23,都市：其他:第二種商業區,100000,1743,持分移轉
RPRNMLQLJIPFFAM56DA,新豐段新豐小段,38.08,都市：其他:住宅區,2,1,持分移轉
RPRNMLQLJIPFFAM56DA,新豐段新豐小段,38.08,都市：其他:住宅區,2,1,持分移轉
RPQOMLRJKIPFFAM56DA,大崗段,20.22,非都市：工業區 ; 非都市編定：丁種建築用地,9,1,持分移轉
RPROMLRJKIPFFAM66DA,大崗段,14.16,非都市：工業區 ; 非都市編定：丁種建築用地,90,7,持分移轉
RPROMLRJKIPFFAM66DA,大崗段,6.07,非都市：工業區 ; 非都市編定：丁種建築用地,90,3,持分移轉
RPWNMLRJKIPFFAM07DA,大崗段,20.22,非都市：工業區 ; 非都市編定：丁種建築用地,9,1,持分移轉
RPSOMLRJKIPFFAM76DA,大崗段,10.11,非都市：工業區 ; 非都市編定：丁種建築用地,18,1,持分移轉
RPSOMLRJKIPFFAM76DA,大崗段,10.11,非都市：工業區 ; 非都市編定：丁種建築用地,18,1,持分移轉
RPTNMLLJKIPFFBM88DA,北投埔段,47.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,2,1,持分移轉
RPTNMLLJKIPFFBM88DA,北投埔段,47.50,非都市：特定農業區 ; 非都市編定：甲種建築用地,2,1,持分移轉
