鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
彰化市,房地(土地+建物)+車位,天祥路115巷2弄1~30號,15.22,都市：其他:住宅區,,,1091116,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831115,89.99000000000001,2,2,2,有,有,3600000,40004,升降機械,0.0,800000,,RPSOMLQKJIPFFAN76DA,56.84,0.0,6.44,有,
彰化市,房地(土地+建物)+車位,平和十三街61~90號,16.81,都市：其他:住宅區,,,1091104,土地2建物1車位1,七層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890614,100.66,2,2,1,有,有,4900000,48679,坡道機械,0.0,0,陽台外推；,RPRNMLSJKIPFFAN76DA,62.03,0.0,8.14,有,0001
花壇鄉,土地,明德段781~810地號,2333.41,都市：其他:農業區,,,1091126,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8633635,3700,,0.0,0,,RPVNMLSJKIPFFAN17DA,0.0,0.0,0.0,無,0002
彰化市,房地(土地+建物)+車位,金馬路三段421~450號,24.43,都市：其他:住宅區,,,1091116,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0831103,164.53,0,0,0,無,有,4580000,27837,坡道機械,0.0,0,,RPPOMLSJKIPFFAN66DA,107.13,0.0,0.0,有,0003
彰化市,房地(土地+建物),南校街151~180號,169.0,都市：其他:住宅區,,,1091106,土地2建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,0970401,481.47,18,4,14,有,無,45000000,93464,,0.0,0,其他增建；,RPTNMLTJKIPFFAN07DA,360.4,44.16,76.91,有,
彰化市,土地,桃源段391~420地號,376.06,都市：其他:道路用地,,,1091203,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,5318,,0.0,0,包含公共設施保留地用地；,RPSOMLTJKIPFFAN07DA,0.0,0.0,0.0,無,
和美鎮,土地,嘉寶段781~810地號,349.07,,鄉村區,乙種建築用地,1091021,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7180000,20569,,0.0,0,,RPRNMLOLJIPFFBN56DA,0.0,0.0,0.0,,0004
和美鎮,土地,仁和段1081~1110地號,376.0,都市：其他:商業區,,,1091116,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,37800000,100532,,0.0,0,,RPPNMLSJKIPFFBN66DA,0.0,0.0,0.0,,
和美鎮,土地,和北段241~270地號,154.0,都市：其他:商業區,,,1091127,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,26119866,169610,,0.0,0,,RPQNMLSJKIPFFBN76DA,0.0,0.0,0.0,,0005
福興鄉,土地,福金段181~210地號,6562.42,,一般農業區,農牧用地,1091107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13124840,2000,,0.0,0,,RPQNMLSJKIPFFCN86DA,0.0,0.0,0.0,,
員林市,房地(土地+建物),三條街421~450號,87.24,都市：其他:第二種住宅區,,,1080527,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090727,171.54,4,3,3,有,無,13700000,79865,,0.0,0,109年11月2日客戶變更設計增減工程共計追加金額新台幣58292元含稅（明細詳如客戶變更明細表）,RPQNMLNJKIPFFDN09DA,164.72,0.0,6.82,,
員林市,房地(土地+建物),三條街423巷1~30號,117.34,都市：其他:第二種住宅區,,,1081102,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090727,204.42,5,3,4,有,無,14300000,69954,,0.0,0,109年9月20日客戶變更設計增減工程共計追加金額新台幣44100元含稅（明細詳如客戶變更明細表）,RPRNMLNJKIPFFDN56DA,196.88,0.0,7.54,,
員林市,房地(土地+建物),三條街421~450號,112.24,都市：其他:第二種住宅區,,,1080318,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090727,207.33,4,3,3,有,無,16960000,81802,,0.0,0,109年9月16日客戶變更設計增減工程共計追退金額新台幣23379元含稅（明細詳如客戶變更明細表）,RPSNMLNJKIPFFDN66DA,199.76,0.0,7.54,,
員林市,房地(土地+建物),三條街423巷1~30號,105.75,都市：其他:第二種住宅區,,,1080426,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090727,174.94,4,3,4,有,無,12800000,73168,,0.0,0,109年6月15日客戶變更設計增減工程共計追退金額新台幣11200元含稅（明細詳如客戶變更明細表）,RPTNMLNJKIPFFDN76DA,168.12,0.0,6.82,,
員林市,土地,水源段241~270地號,198.36,都市：其他:農業區,,,1091007,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600200,3026,,0.0,0,,RPPOMLMJKIPFFDN98DA,0.0,0.0,0.0,,0006
員林市,土地,水源段241~270地號,198.62,都市：其他:農業區,,,1091007,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600800,3025,,0.0,0,,SPPOMLMJKIPFFDN09DA,0.0,0.0,0.0,,0006
大村鄉,土地,黃厝段541~570地號,811.19,,山坡地保育區,農牧用地,1091117,土地31建物0車位0,,,其他,,,,0.0,0,0,0,有,無,292709,361,,0.0,0,,RPVNMLRJKIPFFDN37DA,0.0,0.0,0.0,,0008
員林市,房地(土地+建物)+車位,南平東街1~30號,28.15,都市：其他:第二種住宅區,,,1091107,土地1建物1車位1,六層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800103,150.07,3,2,2,有,有,5500000,36650,坡道機械,0.0,0,,RPVNMLSJKIPFFDN47DA,98.97,0.0,11.79,,
