編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSOMLQKJIPFFAN76DA,26,63.28,住家用,鋼筋混凝土造,83年11月15日,八層,二層
RPSOMLQKJIPFFAN76DA,26,26.71,住家用,鋼筋混凝土造,83年11月15日,八層,
RPTNMLTJKIPFFAN07DA,13,481.47,見其他登記事項,鋼筋混凝土造,97年4月1日,五層,一層 二層 三層 四層 五層 騎樓
RPVNMLSJKIPFFDN47DA,30,110.76,住家用,鋼筋混凝土造,80年1月3日,六層,六層
RPVNMLSJKIPFFDN47DA,30,11.24,見其他登記事項,鋼筋混凝土造,80年1月3日,六層,
RPVNMLSJKIPFFDN47DA,30,28.06,見其他登記事項,鋼筋混凝土造,80年1月3日,六層,
RPXOMLTJJIPFFFN97DA,,170.85,住宅,鋼筋混凝土造,109年4月13日,三層,一層 二層 三層 見其他登記事項
RPRNMLNJKIPFFDN56DA,,204.42,見其他登記事項,鋼筋混凝土造,109年7月27日,三層,一層 二層 三層 屋頂突出物
RPTNMLNJKIPFFDN76DA,,174.94,見其他登記事項,鋼筋混凝土造,109年7月27日,三層,一層 二層 三層 屋頂突出物
RPQNMLNJKIPFFDN09DA,,171.54,見其他登記事項,鋼筋混凝土造,109年7月27日,三層,一層 二層 三層 屋頂突出物
RPRNMLSJKIPFFAN76DA,20,70.17,住家用,鋼筋混凝土造,89年6月14日,八層,七層
RPRNMLSJKIPFFAN76DA,20,2.32,住家用,鋼筋混凝土造,89年6月14日,八層,
RPRNMLSJKIPFFAN76DA,20,17.48,見其他登記事項,鋼筋混凝土造,89年6月14日,八層,
RPRNMLSJKIPFFAN76DA,20,.00,見其他登記事項,鋼筋混凝土造,89年6月14日,八層,
RPRNMLSJKIPFFAN76DA,20,10.69,見其他登記事項,鋼筋混凝土造,89年6月14日,八層,
RPRNMLSJKIPFFAN76DA,20,.00,見其他登記事項,鋼筋混凝土造,89年6月14日,八層,
RPPOMLSJKIPFFAN66DA,26,107.13,見其他登記事項,鋼筋混凝土造,83年11月3日,十三層,八層
RPPOMLSJKIPFFAN66DA,26,57.40,見其他登記事項,鋼筋混凝土造,83年11月3日,十三層,
RPPNMLSJKIPFFFN07DA,4,170.41,住宅,鋼筋混凝土造,105年10月5日,三層,一層 二層 三層
RPUNMLRJKIPFFFN47DA,24,195.47,住家用,鋼筋混凝土造,85年7月24日,五層,一層 二層 三層 四層 五層
SPQOMLPJKIPFFGN17DA,,202.14,見其他登記事項,鋼筋混凝土造,109年8月3日,三層,一層 二層 三層 屋頂突出物
RPSNMLNJKIPFFDN66DA,,103.66,見其他登記事項,鋼筋混凝土造,109年7月27日,三層,一層 二層 三層 屋頂突出物
RPSNMLNJKIPFFDN66DA,,103.66,見其他登記事項,鋼筋混凝土造,109年7月27日,三層,一層 二層 三層 屋頂突出物
RPRNMLKKKIPFFFN56DA,1,84.13,住宅,鋼筋混凝土造,108年11月4日,三層,一層 二層 三層 見其他登記事項
RPRNMLKKKIPFFFN56DA,1,84.13,住宅,鋼筋混凝土造,108年11月4日,三層,一層 二層 三層 見其他登記事項
RPPNMLSLJIPFFHN37DA,42,95.52,住家用,鋼筋混凝土加強磚造,67年7月18日,二層,一層 二層
RPSNMLRJKIPFFHN47DA,48,94.66,住家用,鋼筋混凝土加強磚造,62年5月1日,二層,一層 二層
RPTNMLRJKIPFFFN37DA,1,163.13,住宅,鋼筋混凝土造,109年3月20日,三層,一層 二層 三層 見其他登記事項
RPPNMLSJKIPFFHN27DA,23,17.61,見其他登記事項,鋼筋混凝土造,86年7月3日,十層,
RPPNMLSJKIPFFHN27DA,23,44.54,住家用,鋼筋混凝土造,86年7月3日,十層,三層
