交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物)+車位,彰化縣彰化巿平和十三街61~90號,1030504,土地2建物1車位1,七層,八層,華廈(10層含以下有電梯),14,100.74,2,2,1,有,有,3400000,33747,0,0001
房地(土地+建物)+車位,平和十三街61~90號,1091104,土地2建物1車位1,七層,八層,華廈(10層含以下有電梯),20,100.66,2,2,1,有,有,4900000,48679,0,0001
土地,明德段781~810地號,1080820,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,15540544,3330,0,0002
土地,明德段781~810地號,1091126,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,8633635,3700,0,0002
房地(土地+建物)+車位,彰化縣彰化巿金馬路三段421~450號,1030805,土地1建物1車位1,八層,十三層,辦公商業大樓,20,107.13,0,1,1,有,無,3980000,37151,0,0003
房地(土地+建物)+車位,金馬路三段421~450號,1091116,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),26,164.53,0,0,0,無,有,4580000,27837,0,0003
土地,嘉寶段781~810地號,1031231,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,630000,10981,0,0004
土地,嘉寶段781~810地號,1040421,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1000000,11518,0,0004
土地,嘉寶段781~810地號,1040414,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1838375,10587,0,0004
土地,嘉寶段781~810地號,1040720,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,6389550,13612,0,0004
土地,嘉寶段781~810地號,1041003,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,2300000,13570,0,0004
土地,嘉寶段781~810地號,1050226,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,5046000,17995,0,0004
土地,嘉寶段781~810地號,1060410,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,6700000,23894,0,0004
土地,嘉寶段781~810地號,1061103,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,3500000,20650,0,0004
土地,嘉寶段781~810地號,1061231,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,10300000,21942,0,0004
土地,嘉寶段781~810地號,1091021,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,7180000,20569,0,0004
土地,和北段241~270地號,1090810,土地3建物0車位0,,,其他,-1,0.0,0,0,0,有,無,25188000,163558,0,0005
土地,和北段241~270地號,1090917,土地3建物0車位0,,,其他,-1,0.0,0,0,0,有,無,13059933,169610,0,0005
土地,和北段241~270地號,1091127,土地3建物0車位0,,,其他,-1,0.0,0,0,0,有,無,26119866,169610,0,0005
土地,水源段241~270地號,1030926,土地6建物0車位0,,,其他,0,0.0,0,0,0,有,無,1450290,5231,0,0006
土地,水源段241~270地號,1091007,土地3建物0車位0,,,其他,-1,0.0,0,0,0,有,無,600200,3026,0,0006
土地,水源段241~270地號,1091007,土地3建物0車位0,,,其他,-1,0.0,0,0,0,有,無,600800,3025,0,0006
