編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPRNMLOLJIPFFBN56DA,嘉寶段,63.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,837000,34874,持分移轉
RPQNMLSJKIPFFCN86DA,福金段,6562.42,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPRNMLOLJIPFFBN56DA,嘉寶段,285.80,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPPNMLSJKIPFFBN66DA,仁和段,94.00,都市：其他:商業區,6,1,持分移轉
RPPNMLSJKIPFFBN66DA,仁和段,94.00,都市：其他:商業區,6,1,持分移轉
RPPNMLSJKIPFFBN66DA,仁和段,62.67,都市：其他:商業區,9,1,持分移轉
RPPNMLSJKIPFFBN66DA,仁和段,62.67,都市：其他:商業區,9,1,持分移轉
RPPNMLSJKIPFFBN66DA,仁和段,62.67,都市：其他:商業區,9,1,持分移轉
RPSOMLTJKIPFFAN07DA,桃源段,11.53,都市：其他:第二種住宅區,2,1,持分移轉
RPSOMLTJKIPFFAN07DA,桃源段,265.50,都市：其他:森林公園用地,2,1,持分移轉
RPSOMLTJKIPFFAN07DA,桃源段,96.50,都市：其他:道路用地,2,1,持分移轉
RPSOMLTJKIPFFAN07DA,桃源段,2.53,都市：其他:道路用地,2,1,持分移轉
RPVNMLSJKIPFFAN17DA,明德段,2333.42,都市：其他:農業區,2,1,持分移轉
RPPOMLMJKIPFFDN98DA,水源段,196.40,都市：其他:農業區,4639,742,持分移轉
RPPOMLMJKIPFFDN98DA,水源段,.15,都市：其他:道路用地,4639,742,持分移轉
RPPOMLMJKIPFFDN98DA,水源段,1.80,都市：其他:農業區,4639,742,持分移轉
RPQNMLSJKIPFFBN76DA,和北段,62.67,都市：其他:商業區,3,2,持分移轉
RPQNMLSJKIPFFBN76DA,和北段,45.33,都市：其他:商業區,3,2,持分移轉
RPQNMLSJKIPFFBN76DA,和北段,46.00,都市：其他:商業區,3,2,持分移轉
SPPOMLMJKIPFFDN09DA,水源段,196.67,都市：其他:農業區,4639,743,持分移轉
SPPOMLMJKIPFFDN09DA,水源段,.15,都市：其他:道路用地,4639,743,持分移轉
SPPOMLMJKIPFFDN09DA,水源段,1.80,都市：其他:農業區,4639,743,持分移轉
RPSOMLQKJIPFFAN76DA,大埔段,15.22,都市：其他:住宅區,10000,322,持分移轉
RPTNMLTJKIPFFAN07DA,南郭段南郭小段,7.00,都市：其他:住宅區,1,1,全筆移轉
RPTNMLTJKIPFFAN07DA,南郭段南郭小段,162.00,都市：其他:住宅區,1,1,全筆移轉
RPVNMLSJKIPFFDN47DA,莒光段,28.15,都市：其他:第二種住宅區,10000,408,持分移轉
RPSNMLTJKIPFFDN27DA,新中州段,144.09,都市：其他:農業區,1,1,全筆移轉
RPSNMLTJKIPFFDN27DA,新中州段,1162.37,都市：其他:住宅區,1,1,全筆移轉
RPPNMLKKKIPFFEN88DA,中山段,353.81,都市：其他:住宅區,1,1,全筆移轉
RPVNMLRJKIPFFDN37DA,黃厝段,11.11,非都市：山坡地保育區 ; 非都市編定：農牧用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,32.95,非都市：山坡地保育區 ; 非都市編定：林業用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,16.80,非都市：山坡地保育區 ; 非都市編定：林業用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,27.13,非都市：山坡地保育區 ; 非都市編定：林業用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,11.13,非都市：山坡地保育區 ; 非都市編定：林業用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,10.46,非都市：山坡地保育區 ; 非都市編定：林業用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,22.36,非都市：山坡地保育區 ; 非都市編定：林業用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,50.54,非都市：山坡地保育區 ; 非都市編定：農牧用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,7.68,非都市：山坡地保育區 ; 非都市編定：林業用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,6.95,非都市：山坡地保育區 ; 非都市編定：林業用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,19.14,非都市：山坡地保育區 ; 非都市編定：林業用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,49.57,非都市：山坡地保育區 ; 非都市編定：林業用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,23.28,非都市：山坡地保育區 ; 非都市編定：林業用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,22.52,非都市：山坡地保育區 ; 非都市編定：農牧用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,15.74,非都市：山坡地保育區 ; 非都市編定：農牧用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,30.68,非都市：山坡地保育區 ; 非都市編定：農牧用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,49.21,非都市：山坡地保育區 ; 非都市編定：農牧用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,7.96,非都市：山坡地保育區 ; 非都市編定：農牧用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,10.72,非都市：山坡地保育區 ; 非都市編定：農牧用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,15.08,非都市：山坡地保育區 ; 非都市編定：農牧用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,17.72,非都市：山坡地保育區 ; 非都市編定：林業用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,42.57,非都市：山坡地保育區 ; 非都市編定：農牧用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,14.76,非都市：山坡地保育區 ; 非都市編定：農牧用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,39.92,非都市：山坡地保育區 ; 非都市編定：農牧用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,23.32,非都市：山坡地保育區 ; 非都市編定：農牧用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,8.13,非都市：山坡地保育區 ; 非都市編定：農牧用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,14.41,非都市：山坡地保育區 ; 非都市編定：農牧用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,46.10,非都市：山坡地保育區 ; 非都市編定：農牧用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,45.52,非都市：山坡地保育區 ; 非都市編定：農牧用地,1039680,5472,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,37.25,非都市：山坡地保育區 ; 非都市編定：農牧用地,83174400,437760,持分移轉
RPVNMLRJKIPFFDN37DA,黃厝段,80.45,非都市：山坡地保育區 ; 非都市編定：農牧用地,83174400,437760,持分移轉
RPXOMLTJJIPFFFN97DA,仁愛段,105.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPRNMLNJKIPFFDN56DA,三和段,97.00,都市：其他:第二種住宅區,1,1,全筆移轉
RPRNMLNJKIPFFDN56DA,三和段,.00,都市：其他:第二種住宅區,,,
RPRNMLNJKIPFFDN56DA,三和段,20.34,都市：其他:第二種住宅區,36900,2034,持分移轉
RPTNMLNJKIPFFDN76DA,三和段,81.00,都市：其他:第二種住宅區,1,1,全筆移轉
RPTNMLNJKIPFFDN76DA,三和段,.00,都市：其他:第二種住宅區,,,
RPTNMLNJKIPFFDN76DA,三和段,24.75,都市：其他:第二種住宅區,36900,2475,持分移轉
RPQNMLNJKIPFFDN09DA,三和段,78.00,都市：其他:第二種住宅區,1,1,全筆移轉
RPQNMLNJKIPFFDN09DA,三和段,.00,都市：其他:第二種住宅區,,,
RPQNMLNJKIPFFDN09DA,三和段,9.24,都市：其他:第二種住宅區,36900,924,持分移轉
RPOOMLNLJIPFFFN66DA,中圳段,87.63,非都市：鄉村區 ; 非都市編定：乙種建築用地,2493,252,持分移轉
RPVNMLRKJIPFFFN57DA,忠孝段,1097.00,非都市：特定農業區 ; 非都市編定：農牧用地,2597,1097,持分移轉
RPRNMLSJKIPFFAN76DA,西門口段,7.24,都市：其他:住宅區,100000,2375,持分移轉
RPRNMLSJKIPFFAN76DA,西門口段,9.57,都市：其他:住宅區,100000,2375,持分移轉
RPQNMLSJKIPFFFN17DA,中和段,2242.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPPOMLSJKIPFFAN66DA,西勢子段西勢子小段,24.43,都市：其他:住宅區,1000,24,持分移轉
RPPNMLSJKIPFFFN07DA,芙朝段,153.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPUNMLRJKIPFFFN47DA,螺青段,81.00,都市：其他:住宅區,1,1,全筆移轉
RPVNMLQLJIPFFGN67DA,新生段,163.00,都市：其他:住宅區,1,1,全筆移轉
RPUNMLOJKIPFFGN27DA,香田段,1333.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPTNMLRJKIPFFEN27DA,中賢段,25.54,都市：其他:住宅區,1000,804,持分移轉
RPTNMLRJKIPFFEN27DA,中賢段,167.21,都市：其他:住宅區,1,1,全筆移轉
RPTNMLRJKIPFFEN27DA,中賢段,3.00,都市：其他:住宅區,1,1,全筆移轉
RPUNMLRJKIPFFGN57DA,詹厝段,883.04,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPUNMLRJKIPFFGN57DA,詹厝段,437.64,非都市：特定農業區 ; 非都市編定：農牧用地,2,1,持分移轉
RPUNMLRJKIPFFGN57DA,詹厝段,382.54,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
