編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPSOMLQKJIPFFAN76DA,升降機械,800000,,地下一樓
RPVNMLSJKIPFFDN47DA,坡道機械,0,,
RPRNMLSJKIPFFAN76DA,坡道機械,0,,地下一樓
RPPOMLSJKIPFFAN66DA,坡道機械,0,,地下一樓
RPOPMLKKKIPFFDN88DA,坡道平面,0,15.67,
RPSOMLLKKIPFFAN98DA,坡道機械,0,,地下一樓
RPPOMLTJKIPFFDN07DA,坡道平面,1100000,30.55,
RPUNMLOKKIPFFDN07DA,坡道平面,0,,
RPROMLOKKIPFFDN86DA,坡道平面,0,,
RPUNMLLKKIPFFBN56DA,坡道平面,0,,
RPUNMLLKKIPFFBN56DA,坡道平面,0,,
RPUNMLPKKIPFFDN17DA,坡道平面,0,,
RPSOMLRKKIPFFAN96DA,坡道機械,0,,地下一樓
RPTNMLRKKIPFFAN96DA,一樓平面,0,,一樓
RPVNMLRKKIPFFAN17DA,一樓平面,0,,一樓
RPQOMLRKKIPFFBN86DA,坡道機械,0,,
RPVNMLSKKIPFFDN57DA,坡道平面,0,,
RPQNMLQKKIPFFDN96EA,一樓平面,0,,
RPWNMLLLKIPFFAN86EA,坡道平面,0,,地下二樓
RPSOMLSKKIPFFDN37DA,坡道平面,0,,
RPQOMLLLKIPFFCN09DA,坡道平面,0,,
RPRNMLLLKIPFFAN88DA,坡道機械,0,,地下一樓
RPOOMLNLKIPFFAN88DA,坡道平面,0,,地下三樓
RPOOMLNLKIPFFAN88DA,坡道平面,0,,地下三樓
RPXOMLLLKIPFFAN96DA,一樓平面,0,,一樓
RPWNMLNLKIPFFDN27DA,升降機械,0,,
RPVNMLMLKIPFFAN76DA,坡道平面,0,,地下一樓
RPROMLTJKIPFFDN27DA,坡道平面,0,,
RPVNMLOKKIPFFDN17DA,坡道平面,0,,
RPOOMLLLKIPFFCN88DA,坡道平面,0,,
RPTNMLMLKIPFFAN56DA,坡道機械,0,,地下一樓
