編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPURMLSKRHPFFAO28DA,,66.97,見其他登記事項,鋼筋混凝土造,109年9月30日,二十二層,七層
RPURMLSKRHPFFAO28DA,,69.69,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPUNMLTKRHPFFAO97DA,,89.42,見其他登記事項,鋼筋混凝土造,109年9月30日,二十二層,五層
RPUNMLTKRHPFFAO97DA,,81.09,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPVRMLSKRHPFFAO38DA,,66.97,見其他登記事項,鋼筋混凝土造,109年9月30日,二十二層,十層
RPVRMLSKRHPFFAO38DA,,69.69,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPOTMLSKRHPFFAO87DA,,66.97,見其他登記事項,鋼筋混凝土造,109年9月30日,二十二層,二十層
RPOTMLSKRHPFFAO87DA,,69.69,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPSNMLTKRHPFFAO77DA,,89.42,見其他登記事項,鋼筋混凝土造,109年9月30日,二十二層,三層
RPSNMLTKRHPFFAO77DA,,81.09,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPRNMLTKRHPFFAO67DA,,90.54,見其他登記事項,鋼筋混凝土造,109年9月30日,二十二層,二層
RPRNMLTKRHPFFAO67DA,,81.95,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPVNMLTKRHPFFAO08DA,,89.42,見其他登記事項,鋼筋混凝土造,109年9月30日,二十二層,六層
RPVNMLTKRHPFFAO08DA,,81.09,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPVOMLTKRHPFFAO18DA,,89.42,見其他登記事項,鋼筋混凝土造,109年9月30日,二十二層,十六層
RPVOMLTKRHPFFAO18DA,,81.09,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPPOMLTKRHPFFAO57DA,,89.42,見其他登記事項,鋼筋混凝土造,109年9月30日,二十二層,十層
RPPOMLTKRHPFFAO57DA,,81.09,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPWNMLTKRHPFFAO18DA,,89.42,見其他登記事項,鋼筋混凝土造,109年9月30日,二十二層,七層
RPWNMLTKRHPFFAO18DA,,81.09,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPQOMLTKRHPFFAO67DA,,89.42,見其他登記事項,鋼筋混凝土造,109年9月30日,二十二層,十一層
RPQOMLTKRHPFFAO67DA,,81.09,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPWOMLTKRHPFFAO28DA,,89.42,見其他登記事項,鋼筋混凝土造,109年9月30日,二十二層,十七層
RPWOMLTKRHPFFAO28DA,,81.09,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPPPMLTKRHPFFAO67DA,,44.71,見其他登記事項,鋼筋混凝土造,109年9月30日,二十二層,二十層
RPPPMLTKRHPFFAO67DA,,44.71,見其他登記事項,鋼筋混凝土造,109年9月30日,二十二層,二十層
RPPPMLTKRHPFFAO67DA,,40.55,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPPPMLTKRHPFFAO67DA,,40.55,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPXOMLTKRHPFFAO38DA,,89.42,見其他登記事項,鋼筋混凝土造,109年9月30日,二十二層,十八層
RPXOMLTKRHPFFAO38DA,,81.09,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
RPQPMLTKRHPFFAO77DA,,89.42,見其他登記事項,鋼筋混凝土造,109年9月30日,二十二層,二十一層
RPQPMLTKRHPFFAO77DA,,81.09,共有部分,鋼筋混凝土造,109年9月30日,二十二層,
