交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物)+車位,介壽路1~30號,1060825,土地1建物1車位1,十一層,二十二層,住宅大樓(11層含以上有電梯),0,127.33000000000001,2,2,1,有,有,11300000,108303,1400000,0001
房地(土地+建物)+車位,介壽路1~30號,1060611,土地1建物1車位1,十九層,二十二層,住宅大樓(11層含以上有電梯),0,136.8,3,2,2,有,有,11930000,105373,1300000,0001
房地(土地+建物)+車位,介壽路1~30號,1080728,土地1建物1車位1,二十層,二十二層,住宅大樓(11層含以上有電梯),0,136.8,3,2,2,有,有,12110000,104679,1550000,0001
房地(土地+建物)+車位,介壽路1~30號,1060624,土地1建物1車位1,六層,二十二層,住宅大樓(11層含以上有電梯),0,136.8,3,2,2,有,有,10770000,93874,1300000,0001
房地(土地+建物)+車位,介壽路1~30號,1090519,土地1建物1車位1,十九層,二十二層,住宅大樓(11層含以上有電梯),0,127.33000000000001,2,2,1,有,有,11590000,110929,1450000,0001
房地(土地+建物)+車位,介壽路1~30號,1061123,土地1建物1車位1,五層,二十二層,住宅大樓(11層含以上有電梯),0,136.66,3,2,2,有,有,11150000,97776,1300000,0001
房地(土地+建物)+車位,介壽路1~30號,1061125,土地1建物1車位1,二十層,二十二層,住宅大樓(11層含以上有電梯),0,127.33000000000001,2,2,1,有,有,12160000,116617,1500000,0001
房地(土地+建物)+車位,介壽路1~30號,1090517,土地1建物1車位1,二十層,二十二層,住宅大樓(11層含以上有電梯),0,127.33000000000001,2,2,1,有,有,11680000,111913,1450000,0001
房地(土地+建物)+車位,介壽路1~30號,1081120,土地1建物1車位2,二十二層,二十二層,住宅大樓(11層含以上有電梯),0,192.45,3,2,2,有,有,16350000,111516,2900000,0001
房地(土地+建物)+車位,介壽路1~30號,1060812,土地1建物1車位1,十五層,二十二層,住宅大樓(11層含以上有電梯),0,136.8,3,2,2,有,有,12060000,106661,1300000,0001
房地(土地+建物)+車位,介壽路1~30號,1060617,土地1建物1車位1,十七層,二十二層,住宅大樓(11層含以上有電梯),0,136.66,3,2,2,有,有,12220000,108398,1300000,0002
房地(土地+建物)+車位,介壽路1~30號,1090818,土地1建物1車位1,十七層,二十二層,住宅大樓(11層含以上有電梯),0,136.66,3,2,2,有,有,13500000,98785,0,0002
