鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新竹市,建物,新竹市新竹市經國路三段92巷31~60號,0.0,住,,,1091118,土地1建物0車位0,見其他登記事項,15,店面(店鋪),店舖,鋼筋混凝土造,0990809,53.03,0,0,0,無,有,無,15000,283,,0.0,0,,RPUPMLLKKIPFFAO86CC
新竹市,建物,新竹市新竹市經國路三段92巷1~30號,0.0,住,,,1091118,土地1建物0車位0,見其他登記事項,15,店面(店鋪),店舖,鋼筋混凝土造,0990809,62.69,0,0,0,無,無,無,10000,160,,0.0,0,,RPXPMLLKKIPFFAO17CC
新竹市,房地(土地+建物),新竹市新竹市北區湳雅街147巷45弄1~30號,83.0,住,,,1091114,土地1建物0車位0,全,2,透天厝,住家用,加強磚造,0701226,148.05,4,2,2,有,無,無,21000,142,,0.0,0,,RPWNMLQKKIPFFAO57EC
新竹市,建物,新竹市新竹市北區境福路61~90號,0.0,住,,,1091122,土地0建物1車位0,四層,7,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960625,38.64,1,0,1,有,有,有,10000,259,,0.0,0,租金含管理費1000元,RPOOMLQKKIPFFAO86EC
新竹市,建物,新竹市新竹市仁愛路18巷1~30號,80.0,住,,,1091201,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0971222,46.66,1,0,1,有,無,有,19000,407,,0.0,0,,RPSQMLRKKIPFFAO47DC
新竹市,建物,新竹市新竹市振興路31~60號,0.0,住,,,1091128,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840818,87.83,3,2,2,有,無,有,13000,148,,0.0,0,,RPQPMLRKKIPFFAO07CC
新竹市,建物,新竹市新竹市東區振興路61~90號,0.0,住,,,1091216,土地0建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820927,100.9,3,2,2,有,有,有,16000,159,,0.0,0,,RPPOMLSKKIPFFAO96CC
新竹市,房地(土地+建物),新竹市新竹市中華路四段1~30號,402.0,住,,,1091203,土地1建物0車位0,見其他登記事項,2,廠辦,住家用,加強磚造,,167.75,2,0,1,有,無,無,135000,805,,0.0,0,,RPRQMLSKKIPFFAO47DC
新竹市,建物,新竹市新竹市水源街61~90號,0.0,其他,,,1091130,土地1建物0車位0,見其他登記事項,11,店面(店鋪),店舖,鋼筋混凝土造,1081121,128.35,0,0,0,無,有,無,60000,467,,0.0,0,含增建或未登記建物。；含稅。,RPQPMLMLKIPFFAO66CC
