編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPUPMLLKKIPFFAO86CC,和平段,.00,都市：住,,,
RPQPMLRKKIPFFAO07CC,新興段一小段,.00,都市：住,,,
RPPOMLSKKIPFFAO96CC,新興段一小段,.00,都市：住,,,
RPOOMLQKKIPFFAO86EC,福林段,.00,都市：住,,,
RPXPMLLKKIPFFAO17CC,和平段,.00,都市：住,,,
RPRQMLSKKIPFFAO47DC,和平段,100.00,都市：住,,,
RPRQMLSKKIPFFAO47DC,和平段,297.00,都市：住,,,
RPRQMLSKKIPFFAO47DC,和平段,5.00,都市：住,,,
RPWNMLQKKIPFFAO57EC,武陵段,83.00,都市：住,,,
RPSQMLRKKIPFFAO47DC,親仁段二小段,80.00,都市：住,,,
RPPPMLSLKIPFFAO37EC,中雅段,.00,都市：住,,,
RPPPMLSLKIPFFAO37EC,中雅段,.00,都市：住,,,
RPTOMLNLKIPFFAO96CC,茄苳段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,
RPSPMLNLKIPFFAO96CC,東明段,41.00,都市：住,,,
RPVOMLSLKIPFFAO67CC,長春段,45.49,都市：住,,,
RPTPMLNLKIPFFAO07CC,新興段,.00,都市：住,,,
RPVOMLKMKIPFFAO96CC,南門段一小段,.00,都市：商,,,
RPVOMLKMKIPFFAO96CC,南門段一小段,.00,都市：商,,,
RPVOMLKMKIPFFAO96CC,南門段一小段,.00,都市：商,,,
RPVOMLNLKIPFFAO17CC,茄苳段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,
RPOPMLNLKIPFFAO56CC,茄苳段,.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,,,
RPOPMLKMKIPFFAO09DC,光武段,12.38,都市：其他:商務專用區,,,
RPSPMLMLKIPFFAO86CC,武陵段,.00,都市：住,,,
