編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUNMLKKKIPFFAP56DA,13,1070.32,見其他登記事項,見其他登記事項,96年2月28日,二層,一層 二層
RPQPMLMJKIPFFAP09DA,,163.93,見其他登記事項,鋼筋混凝土造,109年5月1日,三層,一層 二層 三層
RPTNMLKLJIPFFDP76DA,3,416.45,住家用,鋼筋混凝土造,107年3月30日,四層,一層 二層 三層 四層
RPSNMLRJKIPFFCP17DA,1,145.14,見其他登記事項,鋼筋混凝土造,109年4月7日,三層,一層 二層 三層 見其他登記事項
RPPPMLMJKIPFFAP98DA,,158.87,見其他登記事項,鋼筋混凝土造,109年5月1日,三層,一層 二層 三層
RPOPMLMJKIPFFAP88DA,,162.62,見其他登記事項,鋼筋混凝土造,109年5月1日,三層,一層 二層 三層
RPSOMLMJKIPFFAP56DA,,158.86,見其他登記事項,鋼筋混凝土造,109年5月1日,三層,一層 二層 三層
RPXNMLMJKIPFFAP96DA,,79.43,見其他登記事項,鋼筋混凝土造,109年5月1日,三層,一層 二層 三層
RPXNMLMJKIPFFAP96DA,,79.43,見其他登記事項,鋼筋混凝土造,109年5月1日,三層,一層 二層 三層
RPTNMLSJKIPFFDP47DA,6,178.44,住家用,鋼筋混凝土造,103年10月27日,三層,一層 二層 三層
RPSOMLLJKIPFFDP76DA,,240.20,見其他登記事項,鋼筋混凝土造,109年8月27日,三層,一層 二層 三層 見其他登記事項
RPTOMLLJKIPFFDP86DA,,240.20,見其他登記事項,鋼筋混凝土造,109年8月27日,三層,一層 二層 三層 見其他登記事項
RPWNMLNJKIPFFDP27DA,,228.88,見其他登記事項,鋼筋混凝土造,109年8月27日,三層,一層 二層 三層 見其他登記事項
RPXNMLSJKIPFFDP87DA,39,128.65,住商用,加強磚造,70年12月5日,二層,一層 二層 騎樓
RPRNMLKKKIPFFAP98EA,17,17.95,住家用,鋼筋混凝土造,92年7月7日,四層,一層
RPRNMLKKKIPFFAP98EA,17,17.95,住家用,鋼筋混凝土造,92年7月7日,四層,一層
RPRNMLKKKIPFFAP98EA,17,6.01,共同部份,鋼筋混凝土造,92年7月7日,四層,
RPRNMLKKKIPFFAP98EA,17,6.01,共同部份,鋼筋混凝土造,92年7月7日,四層,
RPROMLLJKIPFFDP66DA,,200.98,見其他登記事項,鋼筋混凝土造,109年8月27日,三層,一層 二層 三層 見其他登記事項
RPUOMLLJKIPFFDP96DA,,120.10,見其他登記事項,鋼筋混凝土造,109年8月27日,三層,一層 二層 三層 見其他登記事項
RPUOMLLJKIPFFDP96DA,,120.10,見其他登記事項,鋼筋混凝土造,109年8月27日,三層,一層 二層 三層 見其他登記事項
RPUNMLTJKIPFFCP67EA,,99.80,見其他登記事項,鋼筋混凝土造,109年9月24日,三層,一層 二層 三層 見其他登記事項
RPUNMLTJKIPFFCP67EA,,99.80,見其他登記事項,鋼筋混凝土造,109年9月24日,三層,一層 二層 三層 見其他登記事項
RPTNMLTJKIPFFCP57EA,,99.78,見其他登記事項,鋼筋混凝土造,109年9月24日,三層,一層 二層 三層 見其他登記事項
RPTNMLTJKIPFFCP57EA,,99.78,見其他登記事項,鋼筋混凝土造,109年9月24日,三層,一層 二層 三層 見其他登記事項
RPROMLLKKIPFFAP56EA,28,80.16,住家用,鋼筋混凝土造,82年1月15日,六層,四層
RPROMLLKKIPFFAP56EA,28,25.21,共有部份,鋼筋混凝土造,82年1月15日,六層,
RPQNMLTJKIPFFCP27EA,,197.53,見其他登記事項,鋼筋混凝土造,109年9月24日,三層,一層 二層 三層 見其他登記事項
RPUNMLRJKIPFFCP47EA,22,134.54,農舍,見其他登記事項,87年7月7日,一層,一層
RPQNMLKKKIPFFFP66DA,24,197.95,住商用,鋼筋混凝土造,86年3月10日,四層,一層 二層 三層 四層 騎樓
RPUOMLLKKIPFFAP86EA,2,67.04,見其他登記事項,鋼筋混凝土造,107年9月20日,七層,四層
RPUOMLLKKIPFFAP86EA,2,42.14,見其他登記事項,鋼筋混凝土造,107年9月20日,七層,
RPUOMLLKKIPFFAP86EA,2,13.30,見其他登記事項,鋼筋混凝土造,107年9月20日,七層,
RPSNMLTJKIPFFCP47EA,,104.76,見其他登記事項,鋼筋混凝土造,109年9月24日,三層,一層 二層 三層 見其他登記事項
RPSNMLTJKIPFFCP47EA,,104.76,見其他登記事項,鋼筋混凝土造,109年9月24日,三層,一層 二層 三層 見其他登記事項
RPRNMLTJKIPFFCP37EA,,104.84,見其他登記事項,鋼筋混凝土造,109年9月24日,三層,一層 二層 三層 見其他登記事項
RPRNMLTJKIPFFCP37EA,,104.84,見其他登記事項,鋼筋混凝土造,109年9月24日,三層,一層 二層 三層 見其他登記事項
RPVNMLNJKIPFFDP17DA,,228.88,見其他登記事項,鋼筋混凝土造,109年8月27日,三層,一層 二層 三層 見其他登記事項
RPRPMLLJKIPFFDP76DA,,240.20,見其他登記事項,鋼筋混凝土造,109年8月27日,三層,一層 二層 三層 見其他登記事項
RPVOMLLJKIPFFDP07DA,,204.46,見其他登記事項,鋼筋混凝土造,109年8月27日,三層,一層 二層 三層 見其他登記事項
RPWOMLLJKIPFFDP17DA,,200.98,見其他登記事項,鋼筋混凝土造,109年8月27日,三層,一層 二層 三層 見其他登記事項
RPTNMLKKKIPFFAP09DA,40,116.32,住家用,鋼筋混凝土加強磚造,70年3月17日,二層,一層 二層
RPXOMLLJKIPFFDP27DA,,200.98,見其他登記事項,鋼筋混凝土造,109年8月27日,三層,一層 二層 三層 見其他登記事項
RPROMLTJKIPFFAP17DA,4,85.93,見其他登記事項,鋼筋混凝土造,105年6月30日,七層,四層
RPROMLTJKIPFFAP17DA,4,40.49,見其他登記事項,鋼筋混凝土造,105年6月30日,七層,
RPTNMLNJKIPFFAP66DA,,263.73,見其他登記事項,鋼筋混凝土造,109年4月7日,四層,一層 二層 三層 四層 屋頂突出物
RPPNMLLKKIPFFAP78DA,,181.31,見其他登記事項,鋼筋混凝土造,108年12月20日,三層,一層 二層 三層 屋頂突出物
RPRNMLNLJIPFFAP56DA,5,331.52,住商用,見其他登記事項,104年1月7日,三層,一層 二層 三層 騎樓
RPRNMLRJKIPFFCP07DA,1,73.08,見其他登記事項,鋼筋混凝土造,109年4月7日,三層,一層 二層 三層 見其他登記事項
RPRNMLRJKIPFFCP07DA,1,73.08,見其他登記事項,鋼筋混凝土造,109年4月7日,三層,一層 二層 三層 見其他登記事項
RPXNMLRLJIPFFDP87DA,2,210.33,住家用,鋼筋混凝土造,107年5月12日,四層,一層 二層 三層 四層
RPPNMLRJKIPFFCP86DA,1,143.58,見其他登記事項,鋼筋混凝土造,109年4月7日,三層,一層 二層 三層 見其他登記事項
RPQNMLRJKIPFFCP96DA,1,149.45,見其他登記事項,鋼筋混凝土造,109年4月7日,三層,一層 二層 三層 見其他登記事項
RPRNMLLJKIPFFDP56DA,37,110.60,住家用,鋼筋混凝土加強磚造,73年4月8日,四層,二層
RPSNMLLKKIPFFDP86EA,30,210.90,住家用,鋼筋混凝土造,79年12月12日,三層,一層 二層 三層 電梯樓梯間
RPQNMLTJKIPFFBP07DA,,177.38,住家用,鋼筋混凝土造,109年7月21日,三層,一層 二層 三層
RPSPMLLJKIPFFDP86DA,,204.43,見其他登記事項,鋼筋混凝土造,109年8月27日,三層,一層 二層 三層 見其他登記事項
RPVOMLLKKIPFFAP96EA,1,196.82,見其他登記事項,鋼筋混凝土造,108年9月16日,三層,一層 二層 三層 屋頂突出物
RPWNMLTJKIPFFCP87EA,,197.53,見其他登記事項,鋼筋混凝土造,109年9月24日,三層,一層 二層 三層 見其他登記事項
RPVNMLTJKIPFFCP77EA,,197.53,見其他登記事項,鋼筋混凝土造,109年9月24日,三層,一層 二層 三層 見其他登記事項
RPXNMLTJKIPFFCP97EA,,200.39,見其他登記事項,鋼筋混凝土造,109年9月24日,三層,一層 二層 三層 見其他登記事項
RPXNMLKKKIPFFAP96EA,42,101.21,住商用,鋼筋混凝土加強磚造,68年1月30日,二層,一層 二層 騎樓
RPQNMLLJKIPFFDP09DA,28,81.89,住家用,鋼筋混凝土造,81年9月5日,七層,三層
RPQNMLLJKIPFFDP09DA,28,11.98,共有部份,鋼筋混凝土造,81年9月5日,七層,
RPQNMLLJKIPFFDP09DA,28,.84,共有部份,鋼筋混凝土造,81年9月5日,七層,
RPQNMLLJKIPFFDP09DA,28,8.57,共有部份,鋼筋混凝土造,81年9月5日,七層,
