交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物),雲林縣虎尾鎮成德三街1~30號,1070706,土地1建物1車位0,全,四層,透天厝,0,416.45,5,3,5,有,無,21000000,50426,0,0001
房地(土地+建物),成德三街1~30號,1091120,土地1建物1車位0,全,四層,透天厝,3,416.45,5,2,6,有,無,21000000,50426,0,0001
房地(土地+建物),雲林縣虎尾鎮廉使里虎興東一街31~60號,1040205,土地3建物1車位0,全,三層,透天厝,0,178.44,4,2,4,有,有,6600000,36987,0,0002
房地(土地+建物),雲林縣虎尾鎮虎興東一街31~60號,1090511,土地3建物1車位0,全,三層,透天厝,6,178.44,4,2,4,有,無,8000000,44833,0,0002
房地(土地+建物),虎興東一街31~60號,1091118,土地3建物1車位0,全,三層,透天厝,6,178.44,4,2,4,有,無,8350000,46794,0,0002
土地,秀潭段331~360地號,1090511,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,5888640,1920,0,0003
土地,秀潭段331~360地號,1091109,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,6747400,2200,0,0003
土地,埤腳段1321~1350地號,1030421,土地3建物0車位0,,,其他,0,0.0,0,0,0,有,無,206048,2900,0,0004
土地,埤腳段1321~1350地號,1090708,土地3建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1400000,5955,0,0004
土地,埤腳段1321~1350地號,1091025,土地3建物0車位0,,,其他,-1,0.0,0,0,0,有,無,800000,2252,0,0004
土地,同仁段361~390地號,1090724,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,645700,16633,0,0005
土地,同仁段361~390地號,1090727,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,322850,16633,0,0005
土地,同仁段361~390地號,1090724,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,322850,16633,0,0005
土地,同仁段361~390地號,1090724,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,322850,16633,0,0005
土地,同仁段361~390地號,1090801,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1033384,16638,0,0005
土地,同仁段361~390地號,1090731,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,322850,16633,0,0005
土地,同仁段361~390地號,1090727,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,645700,16633,0,0005
土地,同仁段361~390地號,1091019,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,161425,16625,0,0005
土地,同仁段361~390地號,1091126,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,120000,24742,0,0005
土地,同仁段361~390地號,1091207,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,468800,24152,0,0005
土地,同仁段361~390地號,1091207,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,468800,24152,0,0005
土地,安南段571~600地號,1090428,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3000000,999,0,0006
土地,安南段571~600地號,1090716,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3000000,999,0,0006
土地,安南段571~600地號,1091116,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3100000,1032,0,0006
土地,頂庄段571~600地號,1051207,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,800000,1290,0,0007
土地,頂庄段571~600地號,1091110,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1200000,1935,0,0007
土地,永昌段601~630地號,1031117,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,148400,6045,0,0008
