編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPQNMLLKJHGGFAP08EB,光明段,31.66,非都市：工業區 ; 非都市編定：丁種建築用地,10000,427,持分移轉
RPOOMLLKJHGGFAP97EB,光明段,31.66,非都市：工業區 ; 非都市編定：丁種建築用地,10000,427,持分移轉
RPVOMLLKJHGGFAP68EB,光明段,28.02,非都市：工業區 ; 非都市編定：丁種建築用地,10000,378,持分移轉
RPWOMLLKJHGGFAP78EB,光明段,25.35,非都市：工業區 ; 非都市編定：丁種建築用地,10000,342,持分移轉
RPPOMLSJJHGGFAP68EB,光明段,36.18,非都市：工業區 ; 非都市編定：丁種建築用地,10000,488,持分移轉
RPXOMLLKJHGGFAP88EB,光明段,25.35,非都市：工業區 ; 非都市編定：丁種建築用地,10000,342,持分移轉
RPPOMLLKJHGGFAP08EB,光明段,31.66,非都市：工業區 ; 非都市編定：丁種建築用地,10000,427,持分移轉
RPTOMLSJJHGGFAP09EB,光明段,31.66,非都市：工業區 ; 非都市編定：丁種建築用地,10000,427,持分移轉
RPTOMLLKJHGGFAP48EB,光明段,31.36,非都市：工業區 ; 非都市編定：丁種建築用地,10000,423,持分移轉
RPWNMLLKJHGGFAP68EB,光明段,31.66,非都市：工業區 ; 非都市編定：丁種建築用地,10000,427,持分移轉
RPUPMLLKJHGGFAP68EB,光明段,21.72,非都市：工業區 ; 非都市編定：丁種建築用地,10000,293,持分移轉
RPWPMLLKJHGGFAP88EB,光明段,28.02,非都市：工業區 ; 非都市編定：丁種建築用地,10000,378,持分移轉
RPTNMLMKJHGGFAP48EB,光明段,28.02,非都市：工業區 ; 非都市編定：丁種建築用地,10000,378,持分移轉
RPSNMLMKJHGGFAP38EB,光明段,21.80,非都市：工業區 ; 非都市編定：丁種建築用地,10000,294,持分移轉
RPUNMLMKJHGGFAP58EB,光明段,28.02,非都市：工業區 ; 非都市編定：丁種建築用地,10000,378,持分移轉
RPPQMLLKJHGGFAP28EB,光明段,21.80,非都市：工業區 ; 非都市編定：丁種建築用地,10000,294,持分移轉
RPOQMLLKJHGGFAP18EB,光明段,21.80,非都市：工業區 ; 非都市編定：丁種建築用地,10000,294,持分移轉
RPWNMLMKJHGGFAP78EB,光明段,28.02,非都市：工業區 ; 非都市編定：丁種建築用地,10000,378,持分移轉
RPXPMLLKJHGGFAP98EB,光明段,21.80,非都市：工業區 ; 非都市編定：丁種建築用地,10000,294,持分移轉
RPRNMLMKJHGGFAP28EB,光明段,21.80,非都市：工業區 ; 非都市編定：丁種建築用地,10000,294,持分移轉
RPPOMLMKJHGGFAP18EB,光明段,28.02,非都市：工業區 ; 非都市編定：丁種建築用地,10000,378,持分移轉
RPROMLMKJHGGFAP38EB,光明段,28.02,非都市：工業區 ; 非都市編定：丁種建築用地,10000,378,持分移轉
RPOOMLMKJHGGFAP08EB,光明段,28.02,非都市：工業區 ; 非都市編定：丁種建築用地,10000,378,持分移轉
RPXNMLMKJHGGFAP88EB,光明段,28.02,非都市：工業區 ; 非都市編定：丁種建築用地,10000,378,持分移轉
RPSOMLMKJHGGFAP48EB,光明段,21.80,非都市：工業區 ; 非都市編定：丁種建築用地,10000,294,持分移轉
RPQOMLMKJHGGFAP28EB,光明段,28.02,非都市：工業區 ; 非都市編定：丁種建築用地,10000,378,持分移轉
RPPNMLMLJHGGFAP18EB,光明段,31.66,非都市：工業區 ; 非都市編定：丁種建築用地,10000,427,持分移轉
