編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLSLKIPFFAP37CC,14,14.03,住家用,鋼筋混凝土造,95年11月10日,三層,
RPWNMLPLKIPFFAP47CC,26,112.89,住家用,鋼筋混凝土造,83年9月18日,十四層,
RPQOMLSKKIPFFAP17CC,14,16.30,住家用,鋼筋混凝土造,95年12月1日,三層,
RPOOMLSKKIPFFAP96CC,14,16.50,住家用,鋼筋混凝土造,96年2月8日,三層,
RPPOMLSKKIPFFAP07CC,14,16.26,住家用,鋼筋混凝土造,95年12月1日,三層,
RPTNMLQJJHGGFAP68CC,42,119.43,住商用,鋼筋混凝土加強磚造,68年6月28日,二層,
RPOPMLRJJHGGFAP48CC,20,16.20,住商用,鋼筋混凝土造,89年8月8日,三層,
RPPPMLRJJHGGFAP58CC,20,16.20,住商用,鋼筋混凝土造,89年8月8日,三層,
RPQPMLRJJHGGFAP68CC,20,16.20,住商用,鋼筋混凝土造,89年8月8日,三層,
RPQNMLLKJHGGFAP97CC,20,16.20,住商用,鋼筋混凝土造,89年8月8日,三層,
RPTNMLLKJHGGFAP28CC,14,15.50,住家用,鋼筋混凝土造,95年12月1日,三層,
RPPNMLLKJHGGFBP97CC,27,149.44,住家用,鋼筋混凝土造,82年8月6日,三層,
RPVOMLOKJHGGFAP98DC,21,87.60,住家用,鋼筋混凝土造,88年9月26日,五層,
RPVNMLTKJHGGFAP66CC,14,15.30,住家用,鋼筋混凝土造,95年12月1日,三層,
RPXNMLTKJHGGFAP86CC,14,14.89,住家用,鋼筋混凝土造,96年2月8日,三層,
RPOOMLTKJHGGFAP68CC,14,14.89,住家用,鋼筋混凝土造,96年2月8日,三層,
RPSNMLQLJHGGFAP78CC,20,15.53,住商用,鋼筋混凝土造,89年8月8日,三層,
RPUNMLQLJHGGFAP98CC,20,20.92,住商用,鋼筋混凝土造,89年8月8日,三層,
RPVNMLQLJHGGFAP09CC,20,15.85,住商用,鋼筋混凝土造,89年8月8日,三層,
RPWNMLQLJHGGFAP56CC,20,20.44,住商用,鋼筋混凝土造,89年8月8日,三層,
RPQNMLTLKIPFFBP37CC,40,108.59,住商用,加強磚造,69年12月3日,二層,
RPRNMLLJKHGGFAP08CC,14,14.33,住家用,鋼筋混凝土造,95年11月10日,三層,
RPOOMLMJKHGGFAP97CC,14,26.37,住家用,鋼筋混凝土造,96年2月8日,三層,
RPPNMLPJKHGGFAP28CC,14,18.92,住家用,鋼筋混凝土造,95年12月1日,三層,
RPPNMLSJKHGGFAP58CC,20,15.29,住商用,鋼筋混凝土造,89年8月8日,三層,
RPSOMLNJLHGGFAP58CC,54,68.33,住商用,磚造,56年6月30日,一層,
RPTNMLTLKIPFFAP57CC,20,16.20,住商用,鋼筋混凝土造,89年8月8日,三層,
RPQNMLOJLHGGFAP38CC,47,34.94,住家用,磚木造,63年3月30日,一層,
RPRNMLOJLHGGFAP48CC,47,34.94,住家用,磚木造,63年3月30日,一層,
RPUNMLTLKIPFFAP67CC,20,16.20,住商用,鋼筋混凝土造,89年8月8日,三層,
RPRNMLKKLHGGFAP18CC,14,14.19,住家用,鋼筋混凝土造,95年11月10日,三層,
RPPOMLLMKIPFFAP56CC,21,99.94,住家用,鋼筋混凝土造,88年9月26日,五層,
RPPOMLLMKIPFFAP56CC,21,19.45,共同部份,鋼筋混凝土造,88年9月26日,五層,
