鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
朴子市,土地,崁後段南崁小段421~450地號,384.0,,鄉村區,乙種建築用地,1091124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1161600,3025,,0.0,0,,RPQNMLNJKIPFFBQ56DA,0.0,0.0,0.0,無,0001
東石鄉,土地,港墘段港墘小段331~360地號,1912.0,,一般農業區,農牧用地,1091107,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5500000,2877,,0.0,0,,RPQNMLRJKIPFFBQ96DA,0.0,0.0,0.0,無,0002
朴子市,土地,崁後段南崁小段781~810地號,3046.0,,特定農業區,農牧用地,1091120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2800000,919,,0.0,0,,RPTNMLSJKIPFFBQ37DA,0.0,0.0,0.0,無,
朴子市,房地(土地+建物),黎明路121~150號,146.5,都市：其他:住宅區,,,1091129,土地1建物1車位0,全,一層,透天厝,住家用,木造,,40.63,1,1,1,有,無,2800000,68915,,0.0,0,,RPVNMLSJKIPFFBQ57DA,40.63,0.0,0.0,無,
義竹鄉,土地,東後寮段東榮小段601~630地號,1016.0,,特定農業區,農牧用地,1091201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,731520,720,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLTJKIPFFBQ17DA,0.0,0.0,0.0,無,
溪口鄉,房地(土地+建物),坪頂村溪民路25巷31~60號,98.88,,,,1091125,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090407,172.43,4,5,1,有,無,7850000,45526,,0.0,0,,RPQNMLRLJIPFFCQ17DA,155.25,17.18,0.0,無,0003
民雄鄉,土地,崙子頂段751~780地號,4584.0,,特定農業區,農牧用地,1091123,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3780000,825,,0.0,0,,RPTNMLTJKIPFFCQ57DA,0.0,0.0,0.0,無,
民雄鄉,房地(土地+建物),平和村柴頭仔1~30號,257.0,,特定農業區,甲種建築用地,1090719,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1080902,271.57,4,2,4,有,無,11300000,41610,,0.0,0,,RPWNMLKKKIPFFCQ07DA,259.25,12.32,0.0,無,
太保市,土地,後庄段121~150地號,11.38,,鄉村區,乙種建築用地,1091126,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,86000,7557,,0.0,0,含土地增值稅或其他稅費；親友、員工、共有人或其他特殊關係間之交易；,RPPNMLRLJIPFFDQ17DA,0.0,0.0,0.0,無,0004
太保市,土地,後庄段121~150地號,22.29,,鄉村區,乙種建築用地,1091126,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,168250,7548,,0.0,0,含土地增值稅或其他稅費；親友、員工、共有人或其他特殊關係間之交易；,SPPNMLRLJIPFFDQ27DA,0.0,0.0,0.0,無,0004
太保市,房地(土地+建物),安仁里頂港子墘31~60號,7.74,,鄉村區,乙種建築用地,1091202,土地2建物1車位0,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0940815,22.2,1,1,1,有,有,550000,24775,,0.0,0,,RPWNMLOJKIPFFDQ47DA,13.6,0.0,1.77,有,
太保市,房地(土地+建物),北新里12鄰中山路一段228巷1~30號,80.3,都市：其他:市場,,,1091123,土地1建物1車位0,一層，二層，地下層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0840908,460.76,0,0,0,無,有,8300000,18014,,0.0,0,,RPTOMLRJKIPFFDQ57DA,333.77,28.81,17.92,有,0006
太保市,房地(土地+建物)+車位,舊埤里新安一街2巷1~30號,122.46,,鄉村區,乙種建築用地,1091110,土地2建物1車位1,一層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0880531,98.71000000000001,3,2,2,有,有,2300000,23301,一樓平面,0.0,0,,RPUOMLRJKIPFFDQ67DA,79.99,0.0,7.85,有,
水上鄉,房地(土地+建物),三和村頂寮1~30號,90.77,都市：其他:住宅區,,,1091111,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0700504,80.78,3,2,2,有,無,2570000,31815,,0.0,0,頂樓加蓋；其他增建；,RPPOMLRJKIPFFDQ17DA,77.48,3.3,0.0,無,
太保市,土地,溪南段溪南小段91~120地號,2215.0,,特定農業區,農牧用地,1091111,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3455400,1560,,0.0,0,,RPOOMLTJKIPFFDQ27DA,0.0,0.0,0.0,無,
竹崎鄉,土地,公園段661~690地號,624.52,都市：其他:人行步道,,,1091117,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9900000,15852,,0.0,0,包含公共設施保留地用地；,RPPNMLTJKIPFFEQ37DA,0.0,0.0,0.0,無,
民雄鄉,房地(土地+建物),文隆村山腳1~30號,86.09,都市：其他:住,,,1091202,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0660901,126.28,3,2,2,有,無,3000000,23757,,0.0,0,頂樓加蓋；,RPPNMLKKKIPFFCQ09EA,126.28,0.0,0.0,無,0007
