交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
土地,崁後段南崁小段421~450地號,1091015,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1161600,3025,0,0001
土地,崁後段南崁小段421~450地號,1091124,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1161600,3025,0,0001
土地,港墘段港墘小段331~360地號,1050625,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,5000000,2615,0,0002
土地,港墘段港墘小段331~360地號,1091107,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,5500000,2877,0,0002
房地(土地+建物),坪頂村溪民路25巷31~60號,1091007,土地1建物1車位0,全,三層,透天厝,1,172.43,4,2,4,有,無,7950000,46106,0,0003
房地(土地+建物),坪頂村溪民路25巷31~60號,1091125,土地1建物1車位0,全,三層,透天厝,1,172.43,4,5,1,有,無,7850000,45526,0,0003
土地,後庄段121~150地號,1091026,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,770000,7369,0,0004
土地,後庄段121~150地號,1091126,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,86000,7557,0,0004
土地,後庄段121~150地號,1091126,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,168250,7548,0,0004
房地(土地+建物),嘉義縣太保市北新里12鄰中山路一段228巷1~30號,1090421,土地1建物1車位0,一層，二層，地下層,十二層,住宅大樓(11層含以上有電梯),25,460.76,3,2,2,有,有,2950000,6402,0,0006
房地(土地+建物),北新里12鄰中山路一段228巷1~30號,1091123,土地1建物1車位0,一層，二層，地下層,十二層,住宅大樓(11層含以上有電梯),25,460.76,0,0,0,無,有,8300000,18014,0,0006
房地(土地+建物),嘉義縣民雄鄉文隆村山腳1~30號,1080617,土地2建物1車位0,全,二層,透天厝,42,126.28,3,2,2,有,無,3000000,23757,0,0007
