鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
屏東市,房地(土地+建物),民和二路31~60號,4.09,都市：其他:住宅區,,,1091201,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0960530,17.29,1,1,1,有,有,740000,42799,,0.0,0,,RPUNMLSJKIPFFAT67DA,6.57,0.26,2.09,,
屏東市,房地(土地+建物),豐年街117巷31~60號,21.93,都市：其他:住宅區,,,1091031,土地1建物1車位0,一層，二層，夾層,七層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840628,119.74000000000001,3,2,2,有,無,4100000,172124,,0.0,0,,RPWNMLSJKIPFFAT87DA,0.0,0.0,0.0,無,
屏東市,房地(土地+建物),廣東路1498巷91~120號,91.19,都市：其他:住宅區,,,1091114,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0931216,161.72,4,2,4,有,無,8000000,49468,,0.0,0,,RPXNMLSJKIPFFAT97DA,151.75,0.0,9.97,,
屏東市,房地(土地+建物),復興南路一段93巷58弄1~30號,79.0,都市：其他:住宅區,,,1091101,土地3建物1車位0,全,二層,透天厝,住家用,加強磚造,0770625,104.99,4,2,2,有,無,3600000,34289,,0.0,0,,RPROMLSJKIPFFAT47DA,90.0,14.99,0.0,,
屏東市,房地(土地+建物)+車位,華盛街31~60號,42.79,都市：其他:住宅區,,,1091101,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0930909,169.89,3,2,2,有,有,5350000,31491,坡道平面,0.0,0,,RPUOMLSJKIPFFAT77DA,96.85,0.0,10.43,,
屏東市,房地(土地+建物)+車位,清世街121~150號,47.68,都市：其他:住宅區,,,1091020,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090317,133.76,3,2,2,有,有,6870000,51361,一樓平面,0.0,0,,RPXOMLSJKIPFFAT08DA,81.79,0.0,10.4,,
屏東市,房地(土地+建物)+車位,清世街121~150號,47.74,都市：其他:住宅區,,,1091104,土地1建物1車位1,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090317,135.09,3,2,2,有,有,8800000,65142,一樓平面,0.0,0,,RPPPMLSJKIPFFAT37DA,82.14,0.0,11.32,,
屏東市,房地(土地+建物),崇勝三街1~30號,104.4,都市：其他:住宅區,,,1091024,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1040212,218.91,5,2,4,有,無,12080000,55182,,0.0,0,,RPUPMLSJKIPFFAT87DA,207.78,0.0,11.13,,
屏東市,土地,檳榔腳段一小段331~360地號,174.0,都市：其他:住宅區,,,1091111,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8050000,46264,,0.0,0,,RPWNMLTJKIPFFAT97DA,0.0,0.0,0.0,,0001
麟洛鄉,土地,麟仁段301~330地號,113.09,都市：其他:農業區,,,1091115,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,450000,3979,,0.0,0,,RPSNMLTJKIPFFAT57DA,0.0,0.0,0.0,,0002
潮州鎮,房地(土地+建物),天文街25巷1~30號,149.69,都市：其他:住宅區,,,1091111,土地4建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1080801,272.61,5,2,5,有,無,16500000,60526,,0.0,0,,RPQPMLSKJIPFFCT67DA,259.81,0.0,12.8,,
內埔鄉,房地(土地+建物),文昌路1~30號,270.46,都市：其他:住宅區,,,1091124,土地2建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1010927,299.1,12,0,12,有,無,9300000,31093,,0.0,0,,RPWNMLQLJIPFFCT97DA,294.22,0.0,4.88,,
萬巒鄉,土地,見月段841~870地號,2992.3,,一般農業區,農牧用地,1091029,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3750000,1253,,0.0,0,,RPPNMLOJKIPFFCT96DA,0.0,0.0,0.0,,
內埔鄉,土地,鴻德段181~210地號,2000.15,,山坡地保育區,農牧用地,1091111,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4300000,2150,,0.0,0,,RPPOMLRJKIPFFCT37DA,0.0,0.0,0.0,,
內埔鄉,房地(土地+建物),建平路31~60號,101.5,,工業區,丁種建築用地,1091121,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1041125,221.92,4,2,5,有,無,7100000,31994,,0.0,0,,RPSOMLRJKIPFFCT67DA,199.88,0.0,22.04,,
潮州鎮,土地,劉厝庄段991~1020地號,3880.0,,一般農業區,農牧用地,1090702,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10500000,2706,,0.0,0,,RPXNMLSJKIPFFCT18DA,0.0,0.0,0.0,,
來義鄉,土地,望嘉段1651~1680地號,15.0,,山坡地保育區,特定目的事業用地,1090506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22500,1500,,0.0,0,,RPROMLSJKIPFFCT67DA,0.0,0.0,0.0,,
來義鄉,土地,望嘉段1651~1680地號,63.0,,山坡地保育區,特定目的事業用地,1090506,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,94500,1500,,0.0,0,,RPSOMLSJKIPFFCT77DA,0.0,0.0,0.0,,
潮州鎮,土地,五魁段361~390地號,414.63,都市：其他:農業區,,,1091111,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,7235,,0.0,0,,RPTOMLSJKIPFFCT87DA,0.0,0.0,0.0,,0003
內埔鄉,房地(土地+建物),光明路121~150號,146.55,都市：其他:住宅區,,,1090705,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1081030,277.53,4,2,5,有,無,14580000,52535,,0.0,0,,RPQNMLTJKIPFFCT57DA,252.8,0.0,24.73,,
萬巒鄉,土地,鹿寮段1201~1230地號,112.49,,一般農業區,交通用地,1091117,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,339720,3020,,0.0,0,,RPRNMLTJKIPFFCT67DA,0.0,0.0,0.0,,
潮州鎮,土地,中山段511~540地號,602.34,都市：其他:住宅區,,,1091123,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13400000,22247,,0.0,0,,RPSNMLTJKIPFFCT77DA,0.0,0.0,0.0,,0004
萬巒鄉,土地,新置段811~840地號,2139.79,,一般農業區,農牧用地,1090925,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2646000,1237,,0.0,0,,RPUNMLTJKIPFFCT97DA,0.0,0.0,0.0,,0005
內埔鄉,房地(土地+建物),中勝路211~240號,96.16,都市：其他:道路用地,,,1091102,土地2建物1車位0,全,二層,透天厝,住商用,加強磚造,0651127,178.5,4,2,1,有,無,3080000,17255,,0.0,0,,RPVNMLTJKIPFFCT08DA,178.5,0.0,0.0,,
內埔鄉,土地,光明段1141~1170地號,843.35,都市：其他:住宅區,,,1090921,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,26021000,30854,,0.0,0,,RPRNMLSJKIPFFCT57DA,0.0,0.0,0.0,,0006
內埔鄉,土地,頭鏢段661~690地號,1054.0,,一般農業區,農牧用地,1091116,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,1423,,0.0,0,,RPSNMLKKKIPFFCT96DA,0.0,0.0,0.0,,0007
新埤鄉,土地,萬隆段1081~1110地號,12609.67,,一般農業區,農牧用地,1091029,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,16542570,1312,,0.0,0,,RPUNMLKKKIPFFCT17DA,0.0,0.0,0.0,,
新園鄉,土地,港西段931~960地號,701.69,,河川區,農牧用地,1090814,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,680643,970,,0.0,0,本案係政府價購私有土地,RPSNMLKKQHPFFDT57DA,0.0,0.0,0.0,,0008
新園鄉,土地,港西段961~990地號,132.3,,河川區,農牧用地,1090814,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,125688,950,,0.0,0,本案係政府價購私有土地,RPTNMLKKQHPFFDT67DA,0.0,0.0,0.0,,0009
新園鄉,土地,港西段931~960地號,573.99,,河川區,農牧用地,1090814,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,499372,870,,0.0,0,本案係政府價購私有土地,RPUNMLKKQHPFFDT77DA,0.0,0.0,0.0,,
新園鄉,土地,港西段991~1020地號,7.66,,河川區,農牧用地,1090814,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10718,1399,,0.0,0,本案係政府價購私有土地,RPVNMLKKQHPFFDT87DA,0.0,0.0,0.0,,0010
新園鄉,土地,港西段961~990地號,3076.21,,河川區,農牧用地,1090814,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2922400,950,,0.0,0,本案係政府價購私有土地,RPTNMLOKQHPFFDT08DA,0.0,0.0,0.0,,
南州鄉,土地,南糖段1381~1410地號,239.48,都市：其他:道路用地,,,1091107,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3200000,13362,,0.0,0,,RPQNMLMKJIPFFDT96DA,0.0,0.0,0.0,無,0011
東港鎮,房地(土地+建物)+車位,興東一街55巷1~30號,46.34,都市：其他:住宅區,,,1090819,土地2建物1車位1,五層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1090817,129.41,3,2,2,有,有,5300000,40955,一樓平面,0.0,0,,RPQOMLOLJIPFFDT37DA,79.91,0.0,9.0,,
東港鎮,房地(土地+建物)+車位,興東一街55巷1~30號,46.34,都市：其他:住宅區,,,1090915,土地2建物1車位1,四層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1090817,129.41,3,2,2,有,有,5300000,40955,一樓平面,0.0,0,,RPQNMLPLJIPFFDT37DA,79.91,0.0,9.0,,
崁頂鄉,土地,頂安段751~780地號,5.05,都市：其他:人行步道用地,,,1091110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,53025,10500,,0.0,0,,RPTNMLPLJIPFFDT67DA,0.0,0.0,0.0,,0012
新園鄉,土地,仙隆段31~60地號,3307.65,都市：其他:乙種工業區,,,1091027,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,49527700,14974,,0.0,0,,RPVNMLRLJIPFFDT08DA,0.0,0.0,0.0,,
琉球鄉,土地,花矸段991~1020地號,315.08,都市：其他:綜合遊憩區,,,1091125,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,9521,,0.0,0,,RPPNMLLJKIPFFDT76DA,0.0,0.0,0.0,,
