編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPPMLSJKIPFFAT37DA,1,93.46,見其他登記事項,鋼筋混凝土造,109年3月17日,五層,四層
RPPPMLSJKIPFFAT37DA,1,41.63,見其他登記事項,鋼筋混凝土造,109年3月17日,五層,
RPQPMLSKJIPFFCT67DA,1,136.30,見其他登記事項,見其他登記事項,108年8月1日,三層,一層 二層 三層 見其他登記事項
RPQPMLSKJIPFFCT67DA,1,136.30,見其他登記事項,見其他登記事項,108年8月1日,三層,一層 二層 三層 見其他登記事項
RPWNMLSJKIPFFAT87DA,25,95.92,住家用,鋼筋混凝土造,84年6月28日,七層,一層 二層 夾層
RPWNMLSJKIPFFAT87DA,25,23.82,見其他登記事項,鋼筋混凝土造,84年6月28日,七層,
RPUOMLSJKIPFFAT77DA,16,107.28,見其他登記事項,鋼筋混凝土造,93年9月9日,十四層,六層
RPUOMLSJKIPFFAT77DA,16,62.61,見其他登記事項,鋼筋混凝土造,93年9月9日,十四層,
RPXOMLSJKIPFFAT08DA,1,92.19,見其他登記事項,鋼筋混凝土造,109年3月17日,五層,二層
RPXOMLSJKIPFFAT08DA,1,41.57,見其他登記事項,鋼筋混凝土造,109年3月17日,五層,
RPUNMLSJKIPFFAT67DA,14,8.92,見其他登記事項,鋼筋混凝土造,96年5月30日,八層,六層
RPUNMLSJKIPFFAT67DA,14,8.37,見其他登記事項,鋼筋混凝土造,96年5月30日,八層,
RPROMLSJKIPFFAT47DA,32,104.99,住家用,加強磚造,77年6月25日,二層,一層 二層
RPXNMLSJKIPFFAT97DA,16,161.72,見其他登記事項,鋼筋混凝土造,93年12月16日,四層,一層 二層 三層 四層
RPUPMLSJKIPFFAT87DA,6,218.91,住家用,鋼筋混凝土造,104年2月12日,三層,一層 二層 三層 屋頂突出物
RPWNMLQLJIPFFCT97DA,8,299.10,住家用,見其他登記事項,101年9月27日,三層,一層 二層 三層
RPSOMLRJKIPFFCT67DA,5,221.92,住家用,見其他登記事項,104年11月25日,四層,一層 二層 三層 四層
RPVNMLTJKIPFFCT08DA,44,178.50,住商用,加強磚造,65年11月27日,二層,一層 二層 騎樓
RPQNMLTJKIPFFCT57DA,1,138.76,見其他登記事項,見其他登記事項,108年10月30日,四層,一層 二層 三層 四層 見其他登記事項
RPQNMLTJKIPFFCT57DA,1,138.76,見其他登記事項,見其他登記事項,108年10月30日,四層,一層 二層 三層 四層 見其他登記事項
RPQNMLPLJIPFFDT37DA,,88.91,見其他登記事項,見其他登記事項,109年8月17日,五層,四層
RPQNMLPLJIPFFDT37DA,,40.50,見其他登記事項,見其他登記事項,109年8月17日,五層,
RPPNMLNJKIPFFDT96DA,39,118.02,見其他登記事項,鋼筋混凝土造,71年2月26日,二層,一層 二層 騎樓
RPQOMLOLJIPFFDT37DA,,88.91,見其他登記事項,見其他登記事項,109年8月17日,五層,五層
RPQOMLOLJIPFFDT37DA,,40.50,見其他登記事項,見其他登記事項,109年8月17日,五層,
RPRNMLLKKIPFFBT96EA,,219.89,住家用,鋼筋混凝土造,109年8月7日,三層,一層 二層 三層
RPOOMLLKKIPFFAT66EA,39,111.34,住商用,鋼筋混凝土造,70年11月9日,二層,一層 二層 騎樓
RPXNMLTJKIPFFAT18EA,,28.13,見其他登記事項,鋼筋混凝土造,109年8月4日,五層,四層
RPXNMLTJKIPFFAT18EA,,28.13,見其他登記事項,鋼筋混凝土造,109年8月4日,五層,四層
RPXNMLTJKIPFFAT18EA,,15.31,見其他登記事項,鋼筋混凝土造,109年8月4日,五層,
RPXNMLTJKIPFFAT18EA,,15.31,見其他登記事項,鋼筋混凝土造,109年8月4日,五層,
RPQNMLKKKIPFFDT86DA,1,216.14,住家用,見其他登記事項,108年8月12日,三層,一層 二層 三層 屋頂突出物
RPPNMLKKKIPFFFT07EA,22,85.48,住家用,鋼筋混凝土造,87年6月19日,五層,五層
RPPNMLKKKIPFFFT07EA,22,18.73,見其他登記事項,鋼筋混凝土造,87年6月19日,五層,
RPRNMLTJKIPFFDT77DA,23,158.40,見其他登記事項,鋼筋混凝土造,86年7月2日,三層,一層 二層 三層
RPWNMLKKKIPFFAT27EA,7,111.03,見其他登記事項,鋼筋混凝土造,103年5月5日,十二層,四層
RPWNMLKKKIPFFAT27EA,7,76.24,見其他登記事項,鋼筋混凝土造,103年5月5日,十二層,
RPXNMLKKKIPFFAT37EA,6,74.41,見其他登記事項,鋼筋混凝土造,103年5月5日,十二層,九層
RPXNMLKKKIPFFAT37EA,6,50.99,見其他登記事項,鋼筋混凝土造,103年5月5日,十二層,
RPVNMLKKKIPFFCT27DA,44,90.68,住商用,加強磚造,66年1月2日,二層,一層 二層 騎樓 夾層
RPSOMLMKJIPFFCT17DA,21,17.28,住家用,鋼筋混凝土造,88年11月30日,五層,四層
RPSOMLMKJIPFFCT17DA,21,7.10,見其他登記事項,鋼筋混凝土造,88年11月30日,五層,
RPROMLOLJIPFFDT47DA,,88.91,見其他登記事項,見其他登記事項,109年8月17日,五層,三層
RPROMLOLJIPFFDT47DA,,40.50,見其他登記事項,見其他登記事項,109年8月17日,五層,
RPPOMLOLJIPFFDT27DA,,88.93,見其他登記事項,見其他登記事項,109年8月17日,五層,五層
RPPOMLOLJIPFFDT27DA,,40.54,見其他登記事項,見其他登記事項,109年8月17日,五層,
RPRNMLKKKIPFFAT66DA,5,242.14,住商用,鋼筋混凝土造,104年11月25日,三層,一層 二層 三層 屋頂突出物 騎樓
RPVNMLKKKIPFFAT07DA,45,70.40,住家用,鋼筋混凝土加強磚造,65年2月16日,二層,一層 二層
RPOOMLLKKIPFFAT56DA,33,277.83,住商用,鋼筋混凝土造,76年12月30日,四層,一層 二層 三層 四層 騎樓 地下層
RPSNMLSJKIPFFAT47DA,44,86.40,住家用,鋼筋混凝土加強磚造,66年4月23日,二層,一層 二層
RPQOMLTJKIPFFAT47DA,14,17.78,住家用,鋼筋混凝土造,96年3月28日,五層,三層
RPQOMLTJKIPFFAT47DA,14,8.91,見其他登記事項,鋼筋混凝土造,96年3月28日,五層,
RPSOMLKKKIPFFAT86DA,35,106.82,住家用,加強磚造,74年10月22日,二層,一層 二層
RPROMLKKKIPFFAT76DA,35,106.82,住家用,加強磚造,74年10月22日,二層,一層 二層
