交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
土地,檳榔腳段一小段331~360地號,1080729,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,7100000,40805,0,0001
土地,檳榔腳段一小段331~360地號,1091111,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,8050000,46264,0,0001
土地,麟仁段301~330地號,1090914,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,450000,3945,0,0002
土地,麟仁段301~330地號,1090914,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,450000,3976,0,0002
土地,麟仁段301~330地號,1090914,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,450000,3976,0,0002
土地,麟仁段301~330地號,1090916,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,450000,3979,0,0002
土地,麟仁段301~330地號,1090915,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,900000,3976,0,0002
土地,麟仁段301~330地號,1090914,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,450000,3976,0,0002
土地,麟仁段301~330地號,1091115,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,450000,3979,0,0002
土地,五魁段361~390地號,1090519,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3000000,7235,0,0003
土地,五魁段361~390地號,1091111,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,3000000,7235,0,0003
土地,五魁段361~390地號,1091224,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3020000,7284,0,0003
