編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPSNMLPKKIPFFCT57CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPRNMLPKKIPFFCT47CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPWOMLPKKIPFFCT08CC,壽比段,11.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPTOMLPKKIPFFCT77CC,壽比段,11.23,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPOPMLPKKIPFFCT37CC,壽比段,11.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPQPMLPKKIPFFCT57CC,壽比段,10.64,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPXOMLPKKIPFFCT18CC,壽比段,11.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPVNMLPKKIPFFCT87CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPROMLPKKIPFFCT57CC,壽比段,16.80,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPRPMLPKKIPFFCT67CC,壽比段,10.64,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPTNMLPKKIPFFCT67CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPVOMLPKKIPFFCT97CC,壽比段,11.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPPPMLPKKIPFFCT47CC,壽比段,11.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPTPMLPKKIPFFCT87CC,壽比段,10.77,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPUPMLPKKIPFFCT97CC,壽比段,10.77,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPVPMLPKKIPFFCT08CC,壽比段,10.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPOQMLPKKIPFFCT57DC,壽比段,10.64,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPXPMLPKKIPFFCT38DC,壽比段,10.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPWPMLPKKIPFFCT28DC,壽比段,10.90,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPRQMLPKKIPFFCT87DC,壽比段,11.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPPQMLPKKIPFFCT67DC,壽比段,10.64,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPSQMLPKKIPFFCT97DC,壽比段,11.30,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPTQMLPKKIPFFCT08DC,壽比段,11.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPVQMLPKKIPFFCT28DC,壽比段,11.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPUQMLPKKIPFFCT18DC,壽比段,11.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPRNMLQKKIPFFCT57CC,壽比段,11.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPXQMLPKKIPFFCT48DC,壽比段,10.77,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPQNMLQKKIPFFCT47CC,壽比段,11.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPSNMLQKKIPFFCT67CC,壽比段,11.07,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPWQMLPKKIPFFCT38DC,壽比段,10.77,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPTNMLQKKIPFFCT77CC,壽比段,11.07,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPVNMLQKKIPFFCT97CC,壽比段,11.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPXNMLQKKIPFFCT18CC,壽比段,11.12,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPUNMLQKKIPFFCT87CC,壽比段,11.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPWNMLQKKIPFFCT08CC,壽比段,11.04,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPOOMLQKKIPFFCT37CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPTOMLQKKIPFFCT87CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPUOMLQKKIPFFCT97CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPXOMLQKKIPFFCT28CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPPOMLQKKIPFFCT47CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPWOMLQKKIPFFCT18CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPVOMLQKKIPFFCT08CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPVPMLQKKIPFFCT18CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPSPMLQKKIPFFCT87CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPRPMLQKKIPFFCT77CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPXPMLQKKIPFFCT38CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPTPMLQKKIPFFCT97CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPOPMLQKKIPFFCT47CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPOQMLQKKIPFFCT57CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
RPPPMLQKKIPFFCT57CC,壽比段,.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,,,
