編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLMKJIPFFAU86DA,坡道平面,1500000,35.13,地下一樓
RPUPMLOKKIPFFAU67DA,坡道平面,700000,14.17,地下一樓
RPOPMLKMJIPFFAU76DA,坡道平面,1500000,25.29,地下一樓
RPXNMLQKKIPFFAU97DA,一樓平面,0,16.74,一樓
RPQNMLQKKIPFFAU27DA,坡道平面,0,13.50,一樓
RPVOMLPKKIPFFAU77DA,一樓平面,0,15.00,一樓
RPSPMLOKKIPFFAU47DA,坡道平面,1900000,34.90,地下一樓
RPPOMLRKJIPFFAU27DA,坡道平面,0,14.25,地下一樓
RPSNMLLLKIPFFAU07DA,升降機械,0,,一樓
RPPOMLLLKIPFFAU86DA,坡道平面,1900000,34.90,地下一樓
RPOPMLLLKIPFFAU86DA,一樓平面,0,,一樓
RPQPMLLJKIPFFAU86DA,坡道平面,1500000,35.13,地下一樓
RPSNMLOLKIPFFAU37DA,坡道平面,0,14.09,地下二樓
RPVNMLSLKIPFFAU08DA,一樓平面,0,,一樓
RPQPMLSLKIPFFAU77DA,坡道平面,0,12.77,地下一樓
RPQNMLLMKIPFFAU96DA,坡道機械,210000,4.35,地下一樓
RPPNMLOKJHGGFAU58DA,坡道平面,0,14.17,地下一樓
RPTOMLNKJHGGFAU98DA,坡道平面,0,14.03,地下二樓
RPTPMLKMKIPFFAU37DA,升降機械,0,,地下一樓
RPTPMLKMKIPFFAU37DA,升降機械,0,,地下一樓
RPVPMLOKJHGGFAU76DA,一樓平面,0,,一樓
RPWPMLOKJHGGFAU86DA,一樓平面,0,,一樓
RPSQMLSKJHGGFAU96DA,坡道平面,0,,地下一樓
RPSNMLKLJHGGFAU58DA,一樓平面,0,13.40,一樓
RPWNMLTKJHGGFAU17DA,升降機械,500000,6.07,地下一樓
RPXOMLRJJHGGFAU07DA,一樓平面,0,13.50,一樓
RPUOMLKLJHGGFAU88DA,坡道機械,0,,一樓
RPWNMLSKJHGGFAU07DA,坡道平面,1000000,30.41,地下二樓
RPROMLTKJHGGFAU76DA,一樓平面,0,,
RPPOMLRKJHGGFAU98DA,坡道平面,1000000,30.41,
RPUNMLRKJHGGFAU76DA,坡道平面,1300000,31.76,
RPOQMLOKJHGGFAU78DA,一樓平面,0,,
RPVNMLRKJHGGFAU86DA,坡道平面,1300000,31.76,
RPUOMLRKJHGGFAU86DA,坡道平面,1200000,35.14,
RPQOMLRKJHGGFAU09DA,坡道平面,1300000,31.76,
RPTOMLSKJHGGFAU86DA,坡道平面,1000000,32.44,
RPXOMLSKJHGGFAU27DA,坡道平面,1300000,35.14,
RPSOMLSKJHGGFAU76DA,坡道機械,800000,16.22,
RPQOMLRLJHGGFAU56DA,一樓平面,0,.91,
RPTNMLRKJHGGFAU66DA,坡道平面,1000000,32.44,
RPUPMLSLJHGGFAU17DA,一樓平面,0,13.75,
RPXNMLSKJHGGFAU17DA,坡道機械,800000,16.22,
RPQOMLSKJHGGFAU56DA,坡道平面,1000000,32.44,
RPVOMLSKJHGGFAU07DA,坡道平面,1000000,32.44,
RPPOMLSKJHGGFAU09DA,坡道平面,1000000,30.41,
RPXNMLQLJHGGFAU07DA,坡道平面,0,13.90,
RPQPMLSLJHGGFAU76DA,一樓平面,0,13.75,
RPVPMLSLJHGGFAU27DA,一樓平面,0,13.75,
RPROMLRKJHGGFAU56DA,坡道平面,1300000,31.76,
RPRNMLQKJHGGFAU98DA,坡道平面,1000000,32.44,
RPROMLSJKHGGFAU66DA,升降機械,0,14.09,
RPWPMLRLJHGGFAU27DA,坡道平面,1650000,35.15,
RPQNMLPJKHGGFAU78DA,坡道平面,1800000,35.15,
RPSNMLSLJHGGFAU76DA,一樓平面,0,13.75,
RPWOMLMLKHGGFAU76DA,坡道平面,0,,
RPWOMLNLKHGGFAU86DA,一樓平面,0,13.40,
RPVOMLOLKHGGFAU86DA,升降機械,0,,
RPWNMLOLKHGGFAU86DA,坡道平面,1900000,34.90,
RPWOMLMJLHGGFAU66DA,坡道平面,0,14.09,
