鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
吉安鄉,建物,花蓮縣吉安鄉昌隆三街61~90號,0.0,住,,,1091110,土地0建物1車位0,六層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840222,98.85,2,2,2,有,無,有,13500,137,,0.0,0,,RPRNMLLKKIPFFAU96CC
花蓮市,建物,花蓮縣花蓮市國民七街31~60號,0.0,住,,,1091201,土地0建物1車位0,八層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831115,62.989999999999995,2,1,1,有,有,有,11000,175,,0.0,0,,RPSNMLLKKIPFFAU07CC
花蓮市,房地(土地+建物),花蓮縣花蓮市東興路301~330號,97.0,住,,,1091201,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0940819,248.52,5,2,4,有,無,有,19000,76,,0.0,0,,RPTNMLLKKIPFFAU17CC
吉安鄉,建物,花蓮縣吉安鄉自立路二段1~30號,0.0,住,,,1091123,土地0建物1車位0,見其他登記事項,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,1030617,37.95,1,1,1,有,無,有,6000,158,,0.0,0,,RPWNMLLKKIPFFAU47CC
吉安鄉,建物,花蓮縣吉安鄉自立路二段1~30號,0.0,住,,,1091122,土地0建物1車位0,見其他登記事項,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,1030617,37.95,1,1,1,有,無,有,7000,184,,0.0,0,,RPXNMLLKKIPFFAU57CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉慶豐六街151~180號,16.5,住,,,1091201,土地1建物1車位0,二層,2,套房(1房1廳1衛),住家用,鋼筋混凝土造,0740813,17.5,1,0,1,有,無,有,5500,314,,0.0,0,,RPSOMLLKKIPFFAU17CC
花蓮市,土地,功學段1~30地號,87.74,農,,,1091201,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,15000,171,,0.0,0,,RPUOMLLKKIPFFAU37CC
花蓮市,建物,花蓮縣花蓮市中興路181~210號,0.0,住,,,1091207,土地0建物0車位0,二層,4,套房(1房1廳1衛),住家用,鋼筋混凝土造,1001202,26.0,1,0,1,有,無,有,7000,269,,0.0,0,,RPWOMLOKKIPFFAU97DC
花蓮市,房地(土地+建物),花蓮縣花蓮市中華路1~30號,195.0,住,,,1091210,土地2建物1車位0,全,5,透天厝,住商用,鋼筋混凝土造,0891018,107.06,3,2,2,有,無,有,6000,56,,0.0,0,,RPROMLPKKIPFFAU47CC
花蓮市,房地(土地+建物),花蓮縣花蓮市建昌路3巷1~30號,70.0,住,,,1091117,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0850521,183.46,4,2,3,有,無,有,16000,87,,0.0,0,,RPOOMLQKKIPFFAU27CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國聯五路121~150號,3.67,商,,,1091127,土地1建物1車位0,二層,9,套房(1房1廳1衛),住家用,鋼筋混凝土造,0831007,29.259999999999998,0,0,1,有,無,有,5500,188,,0.0,0,,RPQOMLQKKIPFFAU47CC
花蓮市,房地(土地+建物),花蓮縣花蓮市華泰街31~60號,22.44,住,,,1091202,土地1建物1車位0,見其他登記事項,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860827,121.88999999999999,3,2,2,有,有,有,16500,135,,0.0,0,含管理費、稅金或水電等費用。；,RPROMLQKKIPFFAU57CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國興一街91~120號,15.04,其他,,,1091205,土地1建物1車位0,五層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0810930,90.36000000000001,2,1,2,有,有,有,10000,111,,0.0,0,,RPSOMLQKKIPFFAU67CC
花蓮市,建物,花蓮縣花蓮市花崗街42巷1~30號,9.0,住,,,1091211,土地0建物1車位1,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801107,105.3,2,2,2,有,無,有,13000,123,其他,0.0,0,,RPPPMLRKKIPFFAU57CC
新城鄉,建物,花蓮縣新城鄉民族路61~90號,0.0,商,,,1091209,土地0建物0車位0,四層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,1060731,34.15,1,0,1,有,無,有,9500,278,,0.0,0,,RPPOMLSKKIPFFAU57CC
新城鄉,建物,花蓮縣新城鄉民族路61~90號,0.0,商,,,1091209,土地0建物0車位0,四層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,1060731,29.98,1,0,1,有,無,有,9500,317,,0.0,0,,RPSOMLSKKIPFFAU87CC
花蓮市,房地(土地+建物),花蓮縣花蓮市明心街1~30號,19.64,住,,,1091123,土地1建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860106,106.47999999999999,2,2,2,有,無,有,13000,122,,0.0,0,,RPVOMLLLKIPFFAU57CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中山路691~720號,245.0,住,,,1091201,土地2建物0車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土造,0680101,401.88,0,0,0,無,無,無,50000,124,,0.0,0,,RPXOMLLLKIPFFAU77CC
花蓮市,房地(土地+建物),花蓮縣花蓮市北安街181~210號,76.0,農,,,1091130,土地1建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,1090207,137.2,4,2,3,有,無,無,18000,131,,0.0,0,,RPPPMLLLKIPFFAU07CC
花蓮市,房地(土地+建物),花蓮縣花蓮市北昌五街31~60號,32.22,住,,,1091201,土地1建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0860113,165.49,1,2,2,有,無,有,18000,109,,0.0,0,,RPTPMLLLKIPFFAU47CC
花蓮市,房地(土地+建物),花蓮縣花蓮市民權路91~120號,15.33,住,,,1091222,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770620,58.239999999999995,2,2,1,有,無,有,11000,189,,0.0,0,,RPQNMLNLKIPFFAU27DC
花蓮市,房地(土地+建物),花蓮縣花蓮市中正路31~60號,28.0,住,,,1091123,土地1建物1車位0,一層,3,店面(店鋪),住商用,鋼筋混凝土造,0700122,60.25,0,0,0,無,無,有,16500,274,,0.0,0,有一間衛浴,RPUOMLOLKIPFFAU77CC
花蓮市,房地(土地+建物),花蓮縣花蓮市林森路273巷3弄1~30號,71.0,住,,,1091214,土地1建物0車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0660216,91.99,3,2,2,有,無,無,15000,163,,0.0,0,,RPUNMLSLKIPFFAU18DC
