編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPROMLPKKIPFFAU47CC,20,107.06,住商用,鋼筋混凝土造,89年10月18日,五層,
RPOOMLQKKIPFFAU27CC,24,183.46,住家用,鋼筋混凝土造,85年5月21日,四層,
RPQOMLQKKIPFFAU47CC,26,20.09,住家用,鋼筋混凝土造,83年10月7日,九層,
RPQOMLQKKIPFFAU47CC,26,9.17,共有部份,鋼筋混凝土造,83年10月7日,九層,
RPWOMLOKKIPFFAU97DC,9,26.00,住家用,鋼筋混凝土造,100年12月2日,四層,
RPPPMLRKKIPFFAU57CC,29,105.30,住家用,鋼筋混凝土造,80年11月7日,六層,
RPPOMLSKKIPFFAU57CC,3,34.15,住家用,鋼筋混凝土造,106年7月31日,五層,
RPSOMLQKKIPFFAU67CC,28,73.51,見其他登記事項,鋼筋混凝土造,81年9月30日,八層,
RPSOMLQKKIPFFAU67CC,28,16.85,共有部份,鋼筋混凝土造,81年9月30日,八層,
RPVOMLLLKIPFFAU57CC,24,77.08,住家用,鋼筋混凝土造,86年1月6日,七層,
RPVOMLLLKIPFFAU57CC,24,17.70,共有部份,鋼筋混凝土造,86年1月6日,七層,
RPVOMLLLKIPFFAU57CC,24,11.70,共有部份,鋼筋混凝土造,86年1月16日,七層,
RPSOMLSKKIPFFAU87CC,3,29.98,住家用,鋼筋混凝土造,106年7月31日,五層,
RPROMLQKKIPFFAU57CC,23,92.57,住家用,鋼筋混凝土造,86年8月27日,九層,
RPROMLQKKIPFFAU57CC,23,12.53,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPROMLQKKIPFFAU57CC,23,12.64,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPROMLQKKIPFFAU57CC,23,4.15,共有部份,鋼筋混凝土造,86年8月27日,九層,
RPPPMLLLKIPFFAU07CC,1,137.20,住家用,鋼筋混凝土造,109年2月7日,三層,
RPXOMLLLKIPFFAU77CC,42,251.70,住商用,鋼筋混凝土造,68年1月1日,三層,
RPXOMLLLKIPFFAU77CC,42,150.18,住商用,鋼筋混凝土造,68年1月1日,三層,
