編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPROMLPKKIPFFAU47CC,民生段,35.00,都市：住,,,
RPROMLPKKIPFFAU47CC,民生段,160.00,都市：住,,,
RPOOMLQKKIPFFAU27CC,自強段,70.00,都市：住,,,
RPQOMLQKKIPFFAU47CC,富國段,3.67,都市：商,,,
RPWOMLOKKIPFFAU97DC,樹人段,.00,都市：住,,,
RPPPMLRKKIPFFAU57CC,北濱段,9.00,都市：住,,,
RPPOMLSKKIPFFAU57CC,嘉南段,.00,都市：商,,,
RPSOMLQKKIPFFAU67CC,富國段,15.04,都市：其他:倉,,,
RPVOMLLLKIPFFAU57CC,林森段,19.64,都市：住,,,
RPSOMLSKKIPFFAU87CC,嘉南段,.00,都市：商,,,
RPROMLQKKIPFFAU57CC,民意段,22.44,都市：住,,,
RPPPMLLLKIPFFAU07CC,慶豐段,76.00,都市：農,,,
RPXOMLLLKIPFFAU77CC,裕民段,245.00,都市：住,,,
RPXNMLLKKIPFFAU57CC,慈惠段,.00,都市：住,,,
RPSOMLLKKIPFFAU17CC,慶豐段,16.50,都市：住,,,
RPSNMLLKKIPFFAU07CC,富國段,.00,都市：住,,,
RPTNMLLKKIPFFAU17CC,民孝段,97.00,都市：住,,,
RPUNMLSLKIPFFAU18DC,林森段,71.00,都市：住,,,
RPUOMLLKKIPFFAU37CC,功學段,87.74,都市：農,,,
RPUOMLTLKIPFFAU28CC,烏杙段,229.21,都市：農,,,
RPQNMLNLKIPFFAU27DC,民享段,15.33,都市：住,,,
RPWNMLLKKIPFFAU47CC,慈惠段,.00,都市：住,,,
RPUOMLOLKIPFFAU77CC,福祥段,28.00,都市：住,,,
RPSOMLLMKIPFFAU37CC,林森段,89.00,都市：住,,,
RPRPMLOJJHGGFAU98CC,莊敬段,.00,都市：住,,,
RPTOMLOJJHGGFAU09CC,福祥段,46.80,都市：住,,,
RPWOMLOJJHGGFAU86DC,林森段,104.00,都市：住,,,
RPQOMLTLKIPFFAU87CC,福安段,10.08,都市：商,,,
RPXNMLPJJHGGFAU86CC,嘉南段,110.00,都市：住,,,
RPVPMLPJJHGGFAU86CC,主權段,19.50,都市：住,,,
RPVOMLRJJHGGFAU96CC,富國段,16.53,都市：住,,,
RPQOMLKMKIPFFAU07CC,主商段,11.79,都市：商,,,
RPRNMLLKKIPFFAU96CC,宜安段,.00,都市：住,,,
RPOPMLSJJHGGFAU56DC,德安段,.00,都市：住,,,
RPUNMLLKJHGGFAU88CC,國風段,26.80,都市：住,,,
RPWOMLLKJHGGFAU56CC,明義段,21.25,都市：商,,,
RPTPMLLLKIPFFAU47CC,自強段,32.22,都市：住,,,
RPPNMLMKJHGGFAU48CC,民生段,8.75,都市：商,,,
RPTNMLOKJHGGFAU09CC,富國段,.00,都市：住,,,
RPWNMLOKJHGGFAU76CC,德安段,.00,都市：住,,,
RPQNMLPKJHGGFAU98DC,國風段,105.00,都市：住,,,
RPROMLSKJHGGFAU76CC,民享段,29.50,都市：商,,,
RPTNMLTKJHGGFAU96CC,慈惠段,88.17,都市：住,,,
RPUNMLTKJHGGFAU07CC,明義段,20.00,都市：商,,,
RPUNMLTKJHGGFAU07CC,明義段,61.00,都市：商,,,
RPWPMLQLJHGGFAU27CC,德安段,51.60,都市：住,,,
RPPQMLQLJHGGFAU66CC,慈勝段,54.37,都市：商,,,
RPRQMLQLJHGGFAU86CC,慈濟段,50.00,都市：農,,,
RPOOMLSLJHGGFAU56CC,福祥段,14.69,都市：住,,,
RPWQMLSLJHGGFAU57CC,仁義段,107.00,都市：住,,,
RPXQMLSLJHGGFAU67CC,德安段,18.75,都市：住,,,
RPORMLSLJHGGFAU86CC,主商段,11.81,都市：商,,,
RPSOMLTLJHGGFAU07CC,嘉南段,.00,都市：商,,,
RPWOMLTLJHGGFAU47CC,嘉南段,.00,都市：商,,,
RPRQMLSLJHGGFAU17DC,民意段,40.42,都市：住,,,
RPOQMLTLJHGGFAU86CC,嘉南段,.00,都市：商,,,
RPOQMLTLJHGGFAU86CC,嘉南段,.00,都市：商,,,
RPOQMLTLJHGGFAU86CC,嘉南段,.00,都市：商,,,
RPPQMLTLJHGGFAU96CC,嘉南段,.00,都市：商,,,
RPPQMLTLJHGGFAU96CC,嘉南段,.00,都市：商,,,
RPPQMLTLJHGGFAU96CC,嘉南段,.00,都市：商,,,
RPSNMLLJKHGGFAU68CC,慶豐段,1.00,都市：住,,,
RPSNMLLJKHGGFAU68CC,慶豐段,97.00,都市：住,,,
RPXNMLNJKHGGFAU76CC,樹人段,45.77,都市：住,,,
RPWOMLTLKIPFFAU48CC,林森段,2.27,都市：住,,,
RPWOMLTLKIPFFAU48CC,林森段,4.25,都市：住,,,
RPWOMLTLKIPFFAU48CC,林森段,8.35,都市：住,,,
RPQOMLNJKHGGFAU78CC,仁廉段,16.41,都市：商,,,
RPSNMLNJKHGGFAU88CC,嘉南段,.00,都市：商,,,
RPSNMLNJKHGGFAU88CC,嘉南段,.00,都市：商,,,
RPSNMLNJKHGGFAU88CC,嘉南段,.00,都市：商,,,
RPROMLNJKHGGFAU88CC,明義段,41.00,都市：商,,,
RPSOMLNJKHGGFAU98CC,自強段,137.00,都市：住,,,
RPPPMLNJKHGGFAU78CC,民德段,166.00,都市：住,,,
RPUOMLNJKHGGFAU66DC,民勤段,28.67,都市：住,,,
RPSNMLOJKHGGFAU98CC,仁廉段,80.00,都市：商,,,
RPTNMLOJKHGGFAU09CC,富國段,16.52,都市：商,,,
RPUNMLOJKHGGFAU56CC,嘉北段,.00,都市：住,,,
RPVNMLOJKHGGFAU66CC,嘉北段,.00,都市：住,,,
RPVNMLPJKHGGFAU76CC,慈惠段,47.09,都市：住,,,
RPSNMLSJKHGGFAU76CC,民德段,88.00,都市：住,,,
RPSNMLPJKHGGFAU56DC,民勤段,.00,都市：住,,,
RPPNMLTJKHGGFAU56CC,富國段,271.00,都市：住,,,
RPVNMLLMKIPFFAU57CC,富國段,12.82,都市：住,,,
RPWOMLRKKHGGFAU27CC,嘉北段,.00,都市：住,,,
RPPNMLSKKHGGFAU56CC,主商段,9.30,都市：住,,,
RPWNMLSKKHGGFAU27CC,國光段,27.44,都市：商,,,
RPXNMLSKKHGGFAU37CC,德安段,13.32,都市：住,,,
RPPOMLSKKHGGFAU66CC,宜安段,22.73,都市：住,,,
RPOOMLTKKHGGFAU66CC,裕民段,42.00,都市：住,,,
RPTNMLTKKHGGFAU17DC,主權段,37.16,都市：住,,,
RPVOMLTKKHGGFAU47DC,富國段,10.44,都市：住,,,
RPTNMLMLKHGGFAU56DC,國風段,96.00,都市：住,,,
RPSOMLMLKHGGFAU09CC,主權段,8.55,都市：住,,,
RPSOMLMLKHGGFAU09CC,德安段,.07,都市：住,,,
RPSNMLNLKHGGFAU09CC,仁義段,15.77,都市：住,,,
RPUNMLNLKHGGFAU76DC,慈安段,80.00,都市：住,,,
RPVOMLNLKHGGFAU96DC,富國段,.00,都市：住,,,
RPRNMLOLKHGGFAU56DC,民享段,5.50,都市：商,,,
RPXNMLQLKHGGFAU27CC,嘉南段,.00,都市：商,,,
RPPNMLPLKHGGFAU98CC,民意段,11.76,都市：住,,,
RPPOMLQLKHGGFAU56CC,嘉南段,.00,都市：商,,,
RPOPMLQLKHGGFAU56CC,嘉北段,.00,都市：住,,,
RPQOMLQLKHGGFAU66CC,嘉南段,.00,都市：商,,,
RPQPMLQLKHGGFAU76CC,嘉北段,.00,都市：住,,,
RPPQMLQLKHGGFAU76CC,太昌段,84.00,都市：住,,,
RPWNMLSLKIPFFAU38DC,莊敬段,.00,都市：住,,,
RPQOMLMJLHGGFAU78CC,仁廉段,.00,都市：商,,,
RPVOMLSJLHGGFAU27CC,嘉北段,87.00,都市：住,,,
