交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物),臺東縣臺東市富裕路502巷11弄1~30號,1070614,土地1建物1車位0,全,三層,透天厝,0,230.38,6,2,6,有,無,8900000,38632,0,001
房地(土地+建物),富裕路502巷11弄1~30號,1091102,土地1建物1車位0,全,三層,透天厝,3,230.38,6,1,6,有,無,8700000,37764,0,001
土地,公,1091116,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,62274,10310,0,002
土地,公西段751~780地號,1091109,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,93411,10322,0,002
土地,公西段751~780地號,1091109,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,93411,10322,0,002
土地,公西段751~780地號,1091109,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,93411,10322,0,002
土地,公西段751~780地號,1091203,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,93411,10322,0,002
土地,公西段751~780地號,1091203,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,62274,10310,0,002
土地,公西段751~780地號,1091203,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,62274,10310,0,002
土地,公西段751~780地號,1091203,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,354509,10314,0,003
土地,公西段751~780地號,1091203,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,354509,10314,0,003
土地,建樂段361~390地號,1030422,土地4建物0車位0,,,其他,-1,0.0,0,0,0,有,無,5260000,1098,0,005
土地,建樂段361~390地號,1090910,土地4建物0車位0,,,其他,-1,0.0,0,0,0,有,無,6700000,1399,0,005
房地(土地+建物),台東縣成功鎮真柄31~60號,1020320,土地1建物1車位0,一層，二層，夾層,二層,農舍,0,148.68,5,2,2,有,無,465474,,0,006
房地(土地+建物),真柄31~60號,1090910,土地1建物1車位0,全,二層,透天厝,8,148.68,2,1,2,有,無,10000000,67259,0,006
房地(土地+建物),臺東縣成功鎮民生路31~60號,1060721,土地3建物1車位0,全,二層,透天厝,28,143.19,3,2,2,有,無,2200000,15364,0,007
房地(土地+建物),民生路31~60號,1091127,土地3建物1車位0,全,二層,透天厝,31,71.59,3,1,2,有,無,1107107,15465,0,007
房地(土地+建物),臺東縣臺東市吉泰路599巷1~30號,1070927,土地1建物1車位0,一層，二層，三層，見其他登記事項,三層,店面(店鋪),1,237.32,6,2,6,有,無,9200000,38766,0,008
房地(土地+建物),吉泰路599巷1~30號,1091115,土地1建物1車位0,全,三層,透天厝,3,237.32,6,2,7,有,無,9800000,41294,0,008
房地(土地+建物),臺東縣臺東市永福路138巷1~30號,1080427,土地1建物1車位0,全,二層,透天厝,31,108.56,3,2,2,有,無,6500000,59875,0,009
房地(土地+建物)+車位,永福路138巷1~30號,1091118,土地1建物1車位1,全,二層,透天厝,33,108.56,4,2,2,有,無,6660000,61349,0,009
土地,新中寮段1~30地號,1091203,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,25945,10296,0,010
土地,新中寮段1~30地號,1091203,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,25945,10296,0,010
土地,公西段781~810地號,1030911,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,1900000,6237,0,012
土地,公西段781~810地號,1091203,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,525910,10316,0,012
房地(土地+建物),豐谷南路1~30號,1010809,土地1建物1車位0,全,二層,透天厝,24,113.75,3,2,2,有,無,2500000,21978,0,013
房地(土地+建物),臺東縣臺東市豐谷南路1~30號,1060418,土地1建物1車位0,全,二層,透天厝,28,113.75,3,1,2,有,無,4300000,37802,0,013
房地(土地+建物),豐谷南路1~30號,1091103,土地1建物1車位0,全,二層,透天厝,32,113.75,2,1,3,有,無,7500000,65934,0,013
房地(土地+建物),臺東縣臺東市中興路二段450巷28弄1~30號,1030410,土地1建物1車位0,二層,九層,華廈(10層含以下有電梯),18,108.55000000000001,3,2,1,有,有,3200000,29480,0,014
房地(土地+建物),臺東縣臺東市中興路二段450巷28弄1~30號,1061012,土地1建物1車位0,二層,九層,華廈(10層含以下有電梯),21,108.55000000000001,3,2,2,有,有,3350000,30861,0,014
房地(土地+建物),中興路二段450巷28弄1~30號,1091129,土地1建物1車位0,二層,九層,華廈(10層含以下有電梯),24,108.55000000000001,3,2,1,有,有,4330000,39889,0,014
土地,公西段931~960地號,1091203,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,68550,10324,0,015
土地,公西段931~960地號,1091203,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,68550,10324,0,015
土地,公西段931~960地號,1091203,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,222722,10316,0,016
土地,公西段931~960地號,1091203,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,222722,10316,0,016
土地,公西段961~990地號,1091203,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,231078,10316,0,017
土地,公西段961~990地號,1091203,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,231078,10316,0,017
土地,新竹湖段601~630地號,1050215,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,2000000,3474,0,018
土地,新竹湖段601~630地號,1091027,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2520000,4378,0,018
土地,新竹湖段601~630地號,1030729,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,650000,394,0,019
土地,新竹湖段601~630地號,1091027,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,6480000,1799,0,019
房地(土地+建物),龍泉路53巷1~30號,1091201,土地2建物1車位0,六層,八層,華廈(10層含以下有電梯),26,36.99,1,1,1,有,有,660000,17843,0,020
房地(土地+建物),龍泉路53巷1~30號,1100124,土地2建物1車位0,六層,八層,套房(1房1廳1衛),26,36.99,1,1,1,有,有,680000,18383,0,020
土地,台拉段151~180地號,1071221,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,400000,81,0,021
土地,台拉段151~180地號,1091204,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,650000,131,0,021
土地,三民段631~660地號,1020605,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,350000,4690,0,022
土地,三民段631~660地號,1091207,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,500000,6700,0,022
土地,公西段931~960地號,1091109,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,60369,10319,0,023
土地,公西段931~960地號,1091123,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,30185,10302,0,023
土地,公西段931~960地號,1091116,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,30185,10302,0,023
土地,公西段931~960地號,1091203,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,30185,10302,0,023
土地,公西段931~960地號,1091109,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,80341,10313,0,024
土地,公西段931~960地號,1091123,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,40171,10327,0,024
土地,公西段931~960地號,1091116,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,40171,10327,0,024
土地,公西段931~960地號,1091203,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,40171,10327,0,024
土地,公西段931~960地號,1091109,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,59585,10309,0,025
土地,公西段931~960地號,1091123,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,29793,10309,0,025
土地,公西段931~960地號,1091116,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,29793,10309,0,025
土地,公西段931~960地號,1091203,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,29793,10309,0,025
土地,公西段931~960地號,1091109,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,81166,10313,0,026
土地,公西段931~960地號,1091123,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,40583,10326,0,026
土地,公西段931~960地號,1091116,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,40583,10326,0,026
土地,公西段931~960地號,1091203,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,40583,10326,0,026
土地,公,1091116,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,68601,10316,0,030
土地,公西段931~960地號,1091116,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,68601,10316,0,030
土地,公西段931~960地號,1091203,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,68601,10316,0,030
土地,公,1091116,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,48829,10323,0,031
