編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPOQMLNLJIPFFAV17DA,公西段,34.36,都市：其他:農業區,2,1,持分移轉
RPPOMLNKJIPFFAV96DA,梧州段,156.38,都市：其他:住宅區,1,1,全筆移轉
RPPQMLNLRHPFFAV97DA,台東段,33.33,都市：其他:住宅區,6,1,持分移轉
RPWPMLNLJIPFFAV87DA,公西段,34.36,都市：其他:農業區,2,1,持分移轉
RPSOMLOLRHPFFAV18DA,台東段,33.33,都市：其他:住宅區,6,1,持分移轉
RPSOMLNLJIPFFAV37DA,公西段,9.06,都市：其他:農業區,324,54,持分移轉
RPWNMLLJKIPFFAV37DA,建華段,86.39,都市：其他:住宅區,1,1,全筆移轉
RPVNMLSLIIPFFAV97DA,馬蘭段,117.00,都市：其他:住宅區,1,1,全筆移轉
RPWNMLRKJIPFFAV97DA,建成段,108.34,都市：其他:住宅區,1,1,全筆移轉
RPRNMLOLJIPFFAV27DA,馬蘭段,87.00,都市：其他:,1,1,全筆移轉
RPPOMLMJKIPFFAV86DA,新生段,14.00,都市：其他:道路用地,1,1,全筆移轉
RPOOMLNJKIPFFAV86DA,豐富段,84.03,都市：其他:住宅區,1,1,全筆移轉
RPWNMLSLIIPFFAV08DA,馬蘭段,114.00,都市：其他:,1,1,全筆移轉
RPWNMLRJKIPFFAV97DA,豐田段,39.02,非都市： ; 非都市編定：,17579,725,持分移轉
RPVNMLRJKIPFFAV87DA,豐田段,62.82,非都市： ; 非都市編定：,224704,884,持分移轉
RPUNMLRJKIPFFAV77DA,豐田段,62.82,非都市： ; 非都市編定：,224704,884,持分移轉
RPPNMLKLJIPFFDV07EA,南興段,935.75,非都市：山坡地保育區 ; 非都市編定：農牧用地,4,1,持分移轉
RPPNMLKLJIPFFDV07EA,南興段,89.50,非都市：山坡地保育區 ; 非都市編定：林業用地,4,1,持分移轉
RPVNMLQKJIPFFAV77DA,永清段,2.70,都市：其他:人行步道,6,1,持分移轉
RPVNMLQKJIPFFAV77DA,永清段,178.30,都市：其他:,1,1,全筆移轉
RPPNMLOJKIPFFAV96DA,豐谷段,89.00,都市：其他:住宅區,1,1,全筆移轉
