交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
土地,湖前段421~450地號,1010920,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,8000000,10387,0,001
土地,湖前段421~450地號,1040514,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,39000000,50634,0,001
土地,湖前段421~450地號,1091109,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,24800000,32198,0,001
土地,山前段391~420地號,1030401,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,600000,2239,0,002
土地,山前段391~420地號,1031021,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,800000,2985,0,002
土地,山前段391~420地號,1091214,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,536000,2000,0,002
土地,中三劃測段571~600地號,1011227,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,5000000,6643,0,003
土地,中三劃測段571~600地號,1030605,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,2250000,2989,0,003
土地,中三劃測段571~600地號,1091012,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,6300000,8370,0,003
房地(土地+建物),金門縣金湖鎮湖前301~330號,1021210,土地2建物1車位0,全,三層,透天厝,0,146.71,5,2,4,有,無,5500000,37489,0,004
房地(土地+建物),湖前301~330號,1091130,土地2建物1車位0,全,三層,透天厝,7,146.71,5,2,4,有,無,8000000,54529,0,004
土地,湖前段541~570地號,1081115,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,3125781,25002,0,005
土地,湖前段541~570地號,1091222,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3264924,26115,0,005
房地(土地+建物),金門縣金沙鎮中蘭91~120號,1081015,土地1建物1車位0,全,二層,透天厝,6,275.93,7,2,6,有,無,7500000,27181,0,006
房地(土地+建物),中蘭91~120號,1091207,土地1建物1車位0,全,二層,透天厝,7,275.93,6,2,6,有,無,8680000,31457,0,006
土地,西堡劃測段451~480地號,1091020,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3782848,2705,0,007
土地,西堡劃測段451~480地號,1091222,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1800000,4520,0,007
土地,水頭段871~900地號,1091212,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2800000,4213,0,008
土地,水頭段871~900地號,1100104,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3600000,5416,0,008
土地,寧山段451~480地號,1091201,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2000000,3138,0,009
土地,寧山段451~480地號,1100128,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2650000,4157,0,009
土地,中蘭劃測段721~750地號,1090810,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3200000,3732,0,010
土地,中蘭劃測段721~750地號,1091217,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4100000,4781,0,010
土地,寧湖三劃段391~420地號,1070612,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,8500000,8500,0,011
土地,寧湖三劃段391~420地號,1091210,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,11000000,11000,0,011
土地,北一段121~150地號,1071120,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,17250000,17247,0,012
土地,北一段121~150地號,1091208,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,23500000,23496,0,012
房地(土地+建物),金門縣金湖鎮國順街1~30號,1071205,土地1建物1車位0,一層，二層,二層,店面(店鋪),32,152.76,3,1,2,有,無,8500000,55643,0,013
房地(土地+建物),國順街1~30號,1091103,土地1建物1車位0,全,二層,透天厝,34,152.76,3,2,3,有,無,9200000,60225,0,013
土地,煙墩段841~870地號,1061017,土地3建物0車位0,,,其他,0,0.0,0,0,0,有,無,8000000,7410,0,015
土地,煙墩段841~870地號,1091220,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3400000,9484,0,015
房地(土地+建物),金門縣金湖鎮士校路1471~1500號,1031203,土地1建物1車位0,全,三層,透天厝,0,168.45,4,2,4,有,無,7500000,44524,0,016
