編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPTNMLLKKIPFFAW37EA,新頭段,313.62,都市：其他:農業區,1,1,全筆移轉
RPTNMLLKKIPFFAW37EA,新頭段,249.85,都市：其他:農業區,1,1,全筆移轉
RPTNMLLKKIPFFAW37EA,新頭段,344.89,都市：其他:農業區,1,1,全筆移轉
RPRNMLTJKIPFFAW77DA,煙墩段,37.64,都市：其他:自然村專用區,10000,621,持分移轉
RPRNMLTJKIPFFAW77DA,煙墩段,64.08,都市：其他:自然村專用區,10000,621,持分移轉
RPRNMLLKKIPFFAW07DA,東洲村測段,142.01,都市：其他:,1,1,全筆移轉
RPRNMLNKJIPFFAW17DA,寧安二劃段,28.10,都市：其他:自然村專用區,10000,569,持分移轉
RPSNMLTJKIPFFAW87DA,北二三劃測段,60.61,都市：其他:農業區,2,1,持分移轉
RPSNMLTJKIPFFAW87DA,北二三劃測段,36.72,都市：其他:農業區,2,1,持分移轉
RPSNMLTJKIPFFAW87DA,北二三劃測段,6.34,都市：其他:,2,1,持分移轉
RPTOMLSKJIPFFAW97DA,湖前段,770.23,都市：其他:自然村專用區,1,1,全筆移轉
RPOOMLLLIIPFFAW76DA,中三劃測段,752.70,都市：其他:農業區,1,1,全筆移轉
RPPNMLOKKIPFFAW27EA,古崗村測段,170.00,都市：其他:,1,1,全筆移轉
RPQOMLPKKIPFFAW47DA,后沙劃測段,749.99,都市：其他:農業區,1,1,全筆移轉
RPRNMLQKKIPFFAW57DA,寧湖二劃測段,14.00,都市：其他:自然村專用區,36160,1400,持分移轉
RPRNMLQKKIPFFAW57DA,寧湖二劃測段,21.57,都市：其他:自然村專用區,10,1,持分移轉
RPRNMLQKKIPFFAW57DA,寧湖二劃測段,24.36,都市：其他:自然村專用區,10,1,持分移轉
RPSNMLQKKIPFFAW67DA,寧湖二劃測段,14.00,都市：其他:自然村專用區,36160,1400,持分移轉
RPSNMLQKKIPFFAW67DA,寧湖二劃測段,21.57,都市：其他:自然村專用區,10,1,持分移轉
RPSNMLQKKIPFFAW67DA,寧湖二劃測段,24.36,都市：其他:自然村專用區,10,1,持分移轉
RPQNMLPKKIPFFAW47EA,山前段,268.00,都市：其他:農業區,1,1,全筆移轉
RPUNMLTJKIPFFAW08DA,煙墩段,37.64,都市：其他:自然村專用區,10000,621,持分移轉
RPUNMLTJKIPFFAW08DA,煙墩段,64.08,都市：其他:自然村專用區,10000,621,持分移轉
RPPNMLRJKIPFFAW37DA,市港段,8.49,都市：其他:第二種商業區,100000,814,持分移轉
RPVNMLLKKIPFFAW47DA,煙墩段,37.64,都市：其他:自然村專用區,10000,621,持分移轉
RPVNMLLKKIPFFAW47DA,煙墩段,64.08,都市：其他:自然村專用區,10000,621,持分移轉
RPWNMLLKKIPFFAW57DA,吳厝村測段,58.61,都市：其他:,17835,1758,持分移轉
RPSNMLLKKIPFFAW17DA,煙墩段,37.71,都市：其他:自然村專用區,10000,622,持分移轉
RPSNMLLKKIPFFAW17DA,煙墩段,64.18,都市：其他:自然村專用區,10000,622,持分移轉
RPPOMLPKKIPFFAW37DA,煙墩段,37.64,都市：其他:自然村專用區,10000,621,持分移轉
RPPOMLPKKIPFFAW37DA,煙墩段,64.08,都市：其他:自然村專用區,10000,621,持分移轉
RPRNMLOKIIPFFAW17DA,中一段,19.29,都市：其他:農業區,1,1,全筆移轉
RPRNMLOKIIPFFAW17DA,中一段,9.01,都市：其他:農業區,1,1,全筆移轉
RPRNMLOKIIPFFAW17DA,中一段,45.02,都市：其他:農業區,1,1,全筆移轉
RPSNMLKKKIPFFAW07DA,煙墩段,37.64,都市：其他:自然村專用區,10000,621,持分移轉
RPSNMLKKKIPFFAW07DA,煙墩段,64.08,都市：其他:自然村專用區,10000,621,持分移轉
RPQNMLKKKIPFFAW86DA,煙墩段,37.64,都市：其他:自然村專用區,10000,621,持分移轉
RPQNMLKKKIPFFAW86DA,煙墩段,64.08,都市：其他:自然村專用區,10000,621,持分移轉
RPQNMLSJKIPFFAW57DA,祥豐段,13.06,都市：其他:第三種住宅區。,10000,168,持分移轉
RPQNMLSJKIPFFAW57DA,祥豐段,10.13,都市：其他:第三種住宅區。,10000,168,持分移轉
RPPNMLQKKIPFFAW47EA,古井段,256.00,都市：其他:農業區,1,1,全筆移轉
RPPNMLTKKIPFFAW67DA,舊金城段,1057.00,都市：其他:農業區,1,1,全筆移轉
RPPOMLRKKIPFFAW57DA,舊金城段,525.00,都市：其他:農業區,1,1,全筆移轉
RPPOMLRKKIPFFAW57DA,舊金城段,381.00,都市：其他:農業區,1,1,全筆移轉
RPPOMLRKKIPFFAW57DA,舊金城段,944.00,都市：其他:農業區,1,1,全筆移轉
RPRNMLMJKIPFFAW07DA,寧湖三劃段,1015.30,都市：其他:農業區,1,1,全筆移轉
RPPNMLRJKIPFFAW47EA,旗牌段,894.00,都市：其他:農業區,1,1,全筆移轉
