編號,車位類別,車位價格,車位面積(平方公尺),車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPRNMLTJKIPFFAW77DA,其他,0,,一樓
RPUNMLTJKIPFFAW08DA,其他,0,,一樓
RPVNMLLKKIPFFAW47DA,其他,0,,一樓
RPSNMLLKKIPFFAW17DA,其他,0,,一樓
RPPOMLPKKIPFFAW37DA,其他,0,,一樓
RPSNMLKKKIPFFAW07DA,其他,0,,一樓
RPQNMLKKKIPFFAW86DA,其他,0,,一樓
RPQNMLSJKIPFFAW57DA,坡道平面,1000000,36.10,地下二樓
SPPOMLNKJIPFFAW17DA,坡道平面,1000000,24.35,地下一樓
RPPOMLNKJIPFFAW07DA,坡道平面,1000000,24.35,地下一樓
RPRNMLOLKIPFFAW47DA,其他,0,,一樓
RPVNMLLLKIPFFAW57DA,坡道平面,1000000,36.10,地下二樓
RPVNMLLLKIPFFAW57DA,坡道平面,1000000,36.10,地下二樓
RPRNMLTLKIPFFAW97DA,升降機械,0,8.67,地下一樓
RPRNMLTLKIPFFAW97DA,升降機械,0,8.67,地下一樓
RPPNMLLLJHGGFAW68EA,坡道平面,900000,24.34,
RPRNMLLLJHGGFAW88EA,坡道平面,0,24.34,
RPQNMLLLJHGGFAW78EA,坡道平面,900000,24.34,
RPQNMLSKKIPFFAW67DA,坡道平面,600000,29.79,
RPUNMLQLKHGGFAW07DA,坡道平面,0,13.98,
RPUNMLQLKHGGFAW07DA,坡道平面,0,13.98,
RPUNMLQLKHGGFAW07DA,坡道平面,0,13.98,
RPUNMLQLKHGGFAW07DA,坡道平面,0,13.98,
RPUNMLQLKHGGFAW07DA,坡道平面,0,13.98,
RPUNMLQLKHGGFAW07DA,坡道平面,0,13.98,
