交易標的,土地區段位置/建物區段門牌,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,屋齡,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位總價(元),移轉編號
transaction sign,land sector position building sector house number plate,transaction year month and day,transaction pen number,shifting level,total floor number,building state,room age,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth total price NTD,
房地(土地+建物),澎湖縣馬公市文康街1~30號,1061102,土地5建物1車位0,全,二層,透天厝,55,12.77,2,0,1,有,無,1968478,154149,0,001
房地(土地+建物),文康街1~30號,1091026,土地4建物1車位0,全,二層,透天厝,58,25.55,2,1,1,有,無,4400000,172211,0,001
房地(土地+建物),文康街1~30號,1091223,土地4建物1車位0,全,二層,透天厝,58,12.77,2,1,2,有,無,2200000,172279,0,001
土地,中西段241~270地號,1090331,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,259000,3931,0,002
土地,中西段241~270地號,1090423,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,259000,3931,0,002
土地,中西段241~270地號,1090622,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,259000,3931,0,002
土地,中西段241~270地號,1090709,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,155439,3932,0,002
土地,中西段241~270地號,1091204,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,51812,3931,0,002
土地,湖西北段631~660地號,1050901,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,4669050,4537,0,003
土地,湖西北段631~660地號,1091126,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,24920000,24218,0,003
土地,中屯新1861~1890地號,1050630,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,963000,2836,0,004
土地,小赤段931~960地號,1091203,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,500000,10376,0,004
土地,文石段721~750地號,1090721,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,7400000,10602,0,005
土地,文石段721~750地號,1091230,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,8600000,12321,0,005
土地,林投南段181~210地號,1071225,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,5814300,4537,0,006
土地,林投南段181~210地號,1091216,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,8140000,6352,0,006
土地,赤崁南段301~330地號,1040511,土地2建物0車位0,,,其他,0,0.0,0,0,0,有,無,2900000,5148,0,007
土地,赤崁南段301~330地號,1091211,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,75000,5419,0,007
房地(土地+建物),澎湖縣湖西鄉潭邊91~120號,1010917,土地2建物1車位0,全,三層,透天厝,12,178.38,4,2,3,有,無,3600000,20182,0,008
房地(土地+建物),澎湖縣湖西鄉潭邊91~120號,1070105,土地2建物1車位0,全,三層,透天厝,18,178.38,4,2,3,有,無,4500000,25227,0,008
房地(土地+建物),潭邊91~120號,1090918,土地2建物1車位0,全,三層,透天厝,20,178.38,4,2,3,有,無,4750000,26629,0,008
房地(土地+建物)+車位,澎湖縣馬公巿東衛151~180號,1011226,土地1建物1車位1,全,三層,透天厝,18,193.81,4,2,5,有,無,4000000,20639,0,009
房地(土地+建物),東衛151~180號,1091204,土地1建物1車位0,全,三層,透天厝,25,193.81,4,2,5,有,無,5560000,28688,0,009
土地,山水北段451~480地號,1091112,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2150000,13511,0,010
土地,山水北段451~480地號,1091211,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,2260000,14202,0,010
土地,五福段541~570地號,1090831,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,12350000,10479,0,011
土地,五福段541~570地號,1100207,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3407200,12099,0,011
土地,沙港南段901~930地號,1040908,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,2330000,3057,0,012
土地,沙港南段901~930地號,1090501,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,9080000,3630,0,012
土地,沙港南段901~930地號,1090825,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,66860000,29059,0,012
土地,沙港南段901~930地號,1091005,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,5500000,27452,0,012
土地,沙港南段901~930地號,1091026,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,5500000,27452,0,012
土地,沙港南段901~930地號,1091213,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,7500000,37957,0,012
土地,湖西南段871~900地號,1091211,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1320000,4861,0,013
土地,湖西南段871~900地號,1091211,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,6360000,23273,0,013
土地,七美二段391~420地號,1090407,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,3051000,5429,0,014
土地,七美二段391~420地號,1091014,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1500000,5338,0,014
土地,七美二段391~420地號,1091028,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1500000,5338,0,014
土地,山水北段871~900地號,1020613,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1850000,1600,0,016
土地,山水北段871~900地號,1091218,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,38200000,31969,0,016
土地,興崁段511~540地號,1090801,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,3270000,10603,0,017
土地,興崁段511~540地號,1091120,土地2建物0車位0,,,其他,-1,0.0,0,0,0,有,無,14500000,6033,0,017
土地,外垵一段121~150地號,1090505,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,3340000,6954,0,018
土地,外垵一段121~150地號,1091223,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,1430000,6947,0,018
房地(土地+建物),澎湖縣馬公巿中華路211~240號,1011120,土地2建物1車位0,四層,七層,華廈(10層含以下有電梯),19,123.66,3,1,2,有,無,4800000,38816,0,019
房地(土地+建物)+車位,中華路211~240號,1091124,土地2建物1車位1,四層,七層,華廈(10層含以下有電梯),27,162.82,3,2,2,有,有,4550000,27945,0,019
土地,烏崁新段661~690地號,1060404,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,6842880,2420,0,020
土地,烏崁新段631~660地號,1091229,土地6建物0車位0,,,其他,-1,0.0,0,0,0,有,無,9807880,2576,0,020
土地,五福段61~90地號,1020515,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,11830000,10561,0,021
土地,五福段61~90地號,1091221,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,8000000,18767,0,021
房地(土地+建物),澎湖縣馬公巿中華路184巷1~30號,1020420,土地2建物1車位0,五層,五層,公寓(5樓含以下無電梯),20,33.120000000000005,1,1,1,有,無,1288000,38889,0,022
房地(土地+建物),中華路184巷1~30號,1091225,土地2建物1車位0,五層,五層,華廈(10層含以下有電梯),28,33.46,1,1,1,有,無,1000000,29886,0,022
土地,花宅段2221~2250地號,1091218,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,68000,1718,0,023
土地,花宅段2221~2250地號,1091222,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,50000,1684,0,023
房地(土地+建物),澎湖縣馬公巿貿商街121~150號,1041216,土地2建物1車位0,一層,十四層,住宅大樓(11層含以上有電梯),9,177.42000000000002,3,2,2,有,有,3143218,17716,0,024
房地(土地+建物)+車位,貿商街121~150號,1091231,土地2建物1車位1,一層,十四層,住宅大樓(11層含以上有電梯),14,177.42000000000002,3,2,2,有,有,5500000,31000,0,024
房地(土地+建物)+車位,貿商街121~150號,1100112,土地2建物1車位1,一層,十四層,住宅大樓(11層含以上有電梯),15,177.42000000000002,3,2,2,有,有,5800000,32691,0,024
房地(土地+建物)+車位,澎湖縣馬公巿三多路391~420號,1030724,土地1建物1車位1,九層,十層,華廈(10層含以下有電梯),18,108.02,3,1,2,有,有,4300000,39807,0,025
房地(土地+建物)+車位,三多路391~420號,1091209,土地1建物1車位1,九層,十層,華廈(10層含以下有電梯),25,108.02,3,2,2,有,有,4600000,42585,0,025
土地,山水北段511~540地號,1091223,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,16230000,15712,0,026
土地,山水北段511~540地號,1100111,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4020000,15819,0,026
土地,許家段61~90地號,1060301,土地3建物0車位0,,,其他,0,0.0,0,0,0,有,無,6100000,6246,0,027
土地,許家段61~90地號,1090706,土地3建物0車位0,,,其他,-1,0.0,0,0,0,有,無,5150000,5273,0,027
房地(土地+建物),澎湖縣馬公市三多路146巷31~60號,1061207,土地1建物1車位0,全,二層,透天厝,42,55.44,3,1,1,有,無,3600000,64935,0,029
房地(土地+建物),三多路146巷31~60號,1091130,土地1建物1車位0,全,二層,透天厝,45,55.44,3,3,2,有,無,4300000,77561,0,029
土地,六合段451~480地號,1050721,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,15248000,10587,0,030
土地,六合段451~480地號,1090925,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,18730000,13005,0,030
土地,文寮段331~360地號,1091008,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,8428000,12099,0,031
土地,文寮段331~360地號,1091231,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,42097000,60436,0,031
土地,合界段91~120地號,1091020,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,316000,1203,0,032
土地,合界段91~120地號,1100127,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,330000,1256,0,032
房地(土地+建物),澎湖縣馬公市民裕街36巷1~30號,1051022,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),22,110.5,3,2,2,有,無,3650000,33032,0,033
房地(土地+建物),民裕街36巷1~30號,1091203,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),26,111.22999999999999,3,2,2,有,無,4280000,38479,0,033
房地(土地+建物),澎湖縣馬公巿復興里中山路12巷1~30號,1040609,土地1建物1車位0,全,一層,透天厝,0,28.86,3,1,3,有,無,3000000,103950,0,034
房地(土地+建物),中山路12巷1~30號,1091227,土地1建物1車位0,全,一層,透天厝,-1,28.86,4,1,3,有,無,3900000,135135,0,034
土地,五福段691~720地號,1080930,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,19820000,10587,0,035
土地,五福段691~720地號,1091026,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,22250000,11885,0,035
房地(土地+建物),澎湖縣馬公巿石泉1~30號,1041216,土地1建物1車位0,全,二層,透天厝,25,80.8,4,1,2,有,無,3500000,43317,0,037
房地(土地+建物),石泉1~30號,1091220,土地1建物1車位0,全,二層,透天厝,30,80.8,4,1,2,有,無,3600000,44554,0,037
土地,東澳段481~510地號,1031204,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,22191550,34787,0,038
土地,東澳段481~510地號,1091120,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,29330000,45978,0,038
房地(土地+建物),澎湖縣馬公市朝陽路54巷1~30號,1080920,土地1建物1車位0,全,二層,透天厝,35,111.08,5,2,2,有,無,4000000,36010,0,039
房地(土地+建物),朝陽路54巷1~30號,1091117,土地1建物1車位0,全,二層,透天厝,36,111.08,5,1,3,有,無,6550000,58967,0,039
房地(土地+建物),四維路61~90號,1091231,土地1建物1車位0,全,二層,透天厝,40,119.83,5,2,3,有,無,6000000,50071,0,041
房地(土地+建物),四維路61~90號,1091231,土地1建物1車位0,全,二層,透天厝,40,89.87,5,2,3,有,無,6000000,66763,0,041
土地,許家段1201~1230地號,1041209,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,5300000,2438,0,042
土地,許家段1201~1230地號,1090304,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,4920000,3018,0,042
土地,許家段1201~1230地號,1090515,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,4388000,3991,0,042
土地,許家段1201~1230地號,1091231,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,7880000,20823,0,042
土地,許家段1201~1230地號,1091231,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,23340000,21733,0,042
土地,中衛段1621~1650地號,1081203,土地1建物0車位0,,,其他,0,0.0,0,0,0,有,無,18220000,10890,0,043
土地,中衛段1621~1650地號,1100114,土地1建物0車位0,,,其他,-1,0.0,0,0,0,有,無,68671000,41044,0,043
