編號,土地區段位置,土地移轉面積(平方公尺),使用分區或編定,權利人持分分母,權利人持分分子,移轉情形
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks,,,
RPRNMLSJKIPFFAX77DA,四維段,178.47,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPRNMLSJKIPFFAX77DA,四維段,61.60,非都市：一般農業區 ; 非都市編定：交通用地,6,1,持分移轉
RPXNMLRJKIPFFAX28DA,雙湖段,40.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,100,25,持分移轉
RPWNMLKKKIPFFAX57DA,湖西北段,413.00,非都市：一般農業區 ; 非都市編定：農牧用地,1029,413,持分移轉
RPWNMLKKKIPFFAX57DA,湖西北段,205.00,非都市：一般農業區 ; 非都市編定：農牧用地,1029,205,持分移轉
RPWNMLKKKIPFFAX57DA,湖西北段,205.00,非都市：一般農業區 ; 非都市編定：農牧用地,1029,205,持分移轉
RPWNMLKKKIPFFAX57DA,湖西北段,206.00,非都市：一般農業區 ; 非都市編定：農牧用地,1029,206,持分移轉
RPXNMLTJKIPFFAX48DA,雙湖段,40.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,100,25,持分移轉
RPSOMLRJKIPFFAX87DA,雙湖段,25.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,200,25,持分移轉
RPSOMLRJKIPFFAX87DA,雙湖段,25.29,非都市：鄉村區 ; 非都市編定：乙種建築用地,200,25,持分移轉
SPRNMLPKKIPFFAX67DA,北寮新段,95.94,非都市：一般農業區 ; 非都市編定：農牧用地,40,1,持分移轉
RPQNMLKKKIPFFAX96DA,機場段,543.32,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPPOMLTJKIPFFAX77DA,中西段,13.18,非都市：一般農業區 ; 非都市編定：農牧用地,20,1,持分移轉
RPRNMLPKKIPFFAX57DA,北寮新段,19.54,非都市：一般農業區 ; 非都市編定：農牧用地,40,1,持分移轉
RPOOMLTJKIPFFAX67DA,東衛段,348.84,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPVNMLTJKIPFFAX28DA,赤馬一段,171.37,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPTNMLLJKIPFFAX27DA,中屯新段,63.01,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉
RPPNMLRJKIPFFAX47DA,馬公段,6.00,都市：其他:商業區,9,3,持分移轉
RPPNMLRJKIPFFAX47DA,馬公段,5.67,都市：其他:商業區,9,3,持分移轉
RPPNMLRJKIPFFAX47DA,馬公段,8.33,都市：其他:商業區,9,3,持分移轉
RPPNMLRJKIPFFAX47DA,馬公段,14.00,都市：其他:商業區,9,3,持分移轉
RPQNMLLKKIPFFAX07DA,文寮段,197.67,非都市：一般農業區 ; 非都市編定：農牧用地,16,1,持分移轉
RPQNMLLKKIPFFAX07DA,文寮段,296.50,非都市：一般農業區 ; 非都市編定：農牧用地,128,12,持分移轉
RPQNMLLKKIPFFAX07DA,文寮段,296.50,非都市：一般農業區 ; 非都市編定：農牧用地,128,12,持分移轉
RPTNMLKKKIPFFAX27DA,小赤段,48.19,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
RPVNMLPKKIPFFAX08EA,內垵一段,230.50,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPTNMLMJKIPFFAX37DA,埕東段,29.20,都市：其他:住宅區,10000,548,持分移轉
RPUNMLQKKIPFFAX97DA,湖西南段,11.59,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPUNMLQKKIPFFAX97DA,湖西南段,365.31,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPUNMLQKKIPFFAX97DA,湖西南段,45.65,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
RPUNMLQKKIPFFAX97DA,湖西南段,10.81,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPUNMLQKKIPFFAX97DA,湖西南段,21.57,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
RPUNMLQKKIPFFAX97DA,湖西南段,23.44,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPUNMLQKKIPFFAX97DA,湖西南段,46.14,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉
RPUNMLQKKIPFFAX97DA,湖西南段,155.01,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPTNMLQKKIPFFAX87DA,許家段,150.42,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPXNMLSLPHPFFAX98DA,文石段,303.22,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPXNMLSLPHPFFAX98DA,文石段,145.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPVNMLKKKIPFFAX47DA,文石段,698.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉
RPWNMLPKKIPFFAX08DA,五福段,185.68,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉
